,https://roic.ai/company/MMEX,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,6400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,828609,531983,214439,179133
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-828609,-531983,-214439,-179133
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity
5,Research and Development Exp.,- -,- -,- -,1108831,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,1369375,3327161,2465835,2261987,1882899,1059469,780059,- -,- -,1116398,1331096,904306,867471
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1369375,3327161,2465835,2261987,1882899,1059469,780059,- -,- -,1116398,1331096,904306,867471
9,Other Expenses,29687,- -,- -,6741,6726,4994,5353,5005,233239,584106,1851,30914,34663,34875
10,Operating Expenses,29687,1369375,3327161,3581407,2268713,1887893,1064822,785064,233239,584106,1118249,1362010,938969,902346
11,COGS and Expenses,29687,1369375,3327161,3581407,2268713,1887893,1064822,785064,233239,584106,1946858,1893993,1153408,1081479
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,820873,3105088,1311164,614696,543381,529474,283261,1927980,1976307,1846603,1143495
14,Depreciation and Amortization,300,1179,- -,6741,4832,4994,5353,5005,1947,386,1851,30914,34663,34875
15,EBITDA,-22987,-1368196,-3327161,-3574666,-2263881,-1882899,-1059469,-780059,-231292,-583720,-1945007,-1863079,-1118745,-1046604
16,EBITDA ratio,-3.5917,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-23287,-1369375,-3327161,-3581407,-3201167,-5894615,-1064822,-785064,-233239,-584106,-1946858,-1893993,-1153408,-1081479
18,Operating Income ratio,-3.6386,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,750672,-3141420,-2034357,-614696,-543381,-2290614,-6181185,4176478,-2092837,-3240281,-23445407
20,Income Before Tax,- -,- -,- -,- -,-6342587,-7928972,-1679518,-1328445,-2523853,-6765291,2229620,-3986830,-4393689,-24526886
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-23287,-1429361,-3327161,-3476796,-6164266,-7857888,-1672665,-1321842,-2522015,-6763467,1841306,-3986830,-4393689,-24526886
24,Net Income ratio,-3.6386,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-23287.00,-204194.43,-1109053.67,-316072.36,-136983.69,-137857.68,-29345.00,-23190.21,-14011.19,-2719.53,1193.33,-1300.00,-6.57,-14.23
26,EPS Diluted,-23287.00,-204194.43,-1109053.67,-316072.36,-136983.69,-137857.68,-29345.00,-23190.21,-14011.19,-2719.53,897.76,-1300.00,-6.57,-14.23
27,Weighted Average Shares Outstanding,1,7,3,11,45,57,57,57,180,2487,1543,3149,669210,1723476
28,Weighted Average Shares Outstanding Diluted,1,7,3,11,45,57,57,57,180,2487,2051,3149,669210,1723476
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1440799/000147793212002946/0001477932-12-002946-index.htm,https://www.sec.gov/Archives/edgar/data/1440799/000147793215006761/0001477932-15-006761-index.htm,https://www.sec.gov/Archives/edgar/data/1440799/000147793216009804/0001477932-16-009804-index.htm,https://www.sec.gov/Archives/edgar/data/1440799/000147793216011309/0001477932-16-011309-index.htm,https://www.sec.gov/Archives/edgar/data/1440799/000147793216011309/0001477932-16-011309-index.html,https://www.sec.gov/Archives/edgar/data/1440799/000147793217003558/0001477932-17-003558-index.html,https://www.sec.gov/Archives/edgar/data/1440799/000147793218003614/0001477932-18-003614-index.html,https://www.sec.gov/Archives/edgar/data/1440799/000147793219004346/0001477932-19-004346-index.htm,https://www.sec.gov/Archives/edgar/data/1440799/000147793220004850/0001477932-20-004850-index.htm,https://www.sec.gov/Archives/edgar/data/1440799/000147793221005007/0001477932-21-005007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,76697,900,58293,118059,163673,729,434,141,1030,54513,304173,55188,66830,330449
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,76697,900,58293,118059,163673,729,434,141,1030,54513,304173,55188,66830,330449
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1500,- -,2389,135000,15994,- -,- -,8822,- -,- -,5000,38949,23145,37893
37,Total Current Assets,78197,900,60682,253059,179667,729,434,8963,1030,54513,309173,94137,89975,368342
38,PP&E,23264,- -,- -,19705,17034,12691,7338,2333,386,- -,301269,531167,507044,472169
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,58822,7331223,38822,28822,10000,- -,- -,900,900,900,900
45,Total Non-Current Assets,23264,- -,- -,78527,7348257,51513,36160,12333,386,- -,302169,532067,507944,473069
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,101461,900,60682,331586,7527924,52242,36594,21296,1416,54513,611342,626204,597919,841411
48,Accounts Payable,- -,41295,308023,520788,427519,648622,657426,669709,651189,694664,708072,706192,1001459,802640
49,Short-Term Debt,1750,- -,50000,665265,665000,2335580,2639968,2649951,570001,578717,478184,933837,2194541,1718587
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,100917,130767,453405,4678558,1503859,2701347,4346942,1581925,7731041,1268640,2173710,3126880,4090225
53,Total Current Liabilities,1750,142212,488790,1639458,5771077,4488061,5998741,7666602,2803115,9004422,2454896,3813739,6322880,6611452
54,Long-Term Debt,- -,- -,- -,- -,1064633,- -,- -,- -,- -,- -,102368,176140,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,23562,40418,201638,354828,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,23562,1105051,201638,354828,- -,- -,- -,102368,176140,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1750,142212,488790,1663020,6876128,4689699,6353569,7666602,2803115,9004422,2557264,3989879,6322880,6611452
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,1
63,Common Stock,2860,71925,39825,111657,452690,571882,571882,571882,180434,2487617,3627437,68174,13352830,3252
64,Retained Earnings,-23287,- -,-4779809,-10616451,-16780717,-24638605,-26311270,-27633112,-30155127,-36918594,-35077288,-39064118,-43457807,-67984693
65,Other Comprehensive Income/Loss,- -,- -,- -,-2894,-7339,-12332,-17685,-22691,-24637,-25023,-8312,- -,-73890,-108765
66,Other Total Stockholders Equity,120138,-213237,4311876,9288174,17277403,19802923,19808276,19813396,27574250,25884534,29502370,35622398,24444034,62310293
67,Total Stockholders Equity,99711,-141312,-428108,-1219514,942037,-4276132,-5948797,-7270525,-2425080,-8571466,-1955793,-3373546,-5734832,-5779912
68,Total Liabilities And Stockholders Equity,101461,900,60682,443506,7818165,413567,404772,396077,378035,432956,601471,616333,588048,831540
69,Minority Interest,- -,- -,- -,-111920,-290241,-361325,-368178,-374781,-376619,-378443,9871,9871,9871,9871
70,Total Liabilities & Equity,101461,900,60682,331586,7527924,52242,36594,21296,1416,54513,611342,626204,597919,841411
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1440799/000147793212002946/0001477932-12-002946-index.htm,https://www.sec.gov/Archives/edgar/data/1440799/000147793215006761/0001477932-15-006761-index.htm,https://www.sec.gov/Archives/edgar/data/1440799/000147793216009804/0001477932-16-009804-index.htm,https://www.sec.gov/Archives/edgar/data/1440799/000147793216011309/0001477932-16-011309-index.htm,https://www.sec.gov/Archives/edgar/data/1440799/000147793216011309/0001477932-16-011309-index.html,https://www.sec.gov/Archives/edgar/data/1440799/000147793217003558/0001477932-17-003558-index.html,https://www.sec.gov/Archives/edgar/data/1440799/000147793218003614/0001477932-18-003614-index.html,https://www.sec.gov/Archives/edgar/data/1440799/000147793219004346/0001477932-19-004346-index.htm,https://www.sec.gov/Archives/edgar/data/1440799/000147793220004850/0001477932-20-004850-index.htm,https://www.sec.gov/Archives/edgar/data/1440799/000147793221005007/0001477932-21-005007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-23287,-1429361,-3327161,-3476796,-6164266,-7857888,-1672665,-1321842,-2522015,-6763467,1841306,-3986830,-4393689,-24526886
74,Depreciation and Amortization,300,1179,- -,6741,4832,4994,5353,5005,1947,386,1851,30914,34663,34875
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,1163500,2640365,- -,- -,364942,- -,- -,- -,149921,321443,91930,84,34000
77,Change in Working Capital,-1500,-217759,-286796,-958291,-4205011,1104078,-1510975,-1659332,4855554,-6147824,6804186,-1573879,-2513303,-10205
78,Accounts Receivable,- -,-15118,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,41295,200060,294423,-65485,221103,16837,12283,-12985,49201,127890,-1880,255691,181916
81,Other Working Capital,76447,-141312,-428108,-1386399,-5591410,-4487332,-5998307,-7657639,-2802085,-8949909,-2145723,-3719602,-6232905,-6243110
82,Other Non-Cash Items,- -,407394,517985,3939728,8786809,5730600,3085526,2965876,-2409597,12479575,-10531877,3503787,6137727,23662533
83,Cash Provided by Operating Activities,-24487,-75047,-455607,-488618,-1577636,-653274,-92761,-10293,-74111,-281409,-1563091,-1934078,-734518,-805683
84,CAPEX,-23564,- -,- -,-22599,-5813,-650,- -,- -,- -,- -,-303120,-260812,-10540,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-831388,-5097454,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-23564,- -,- -,-853987,-5103267,-650,- -,- -,- -,- -,-303120,-260812,-10540,- -
90,Debt Repayment,- -,- -,- -,-1688346,-1500000,-20000,- -,- -,- -,- -,- -,-203000,-100000,-39198
91,Common Stock Issued,122998,1000,400000,- -,5206517,50000,- -,- -,- -,76369,284371,116252,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1750,-1750,113000,3148696,3020000,460980,92466,10000,75000,258523,1831500,2032653,856700,1108500
95,Cash Used/Provided by Financing Activities,124748,-750,513000,1460350,6726517,490980,92466,10000,75000,334892,2115871,1945905,756700,1069302
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-75797,57393,117745,45614,-162944,-295,-293,889,53483,249660,-248985,11642,263619
98,Cash at the End of Period,76697,900,58293,118059,163673,729,434,141,1030,54513,304173,55188,66830,330449
99,Cash at the Beginning of Period,- -,76697,900,314,118059,163673,729,434,141,1030,54513,304173,55188,66830
100,Free Cash Flow,-48051,-75047,-455607,-511217,-1583449,-653924,-92761,-10293,-74111,-281409,-1866211,-2194890,-745058,-805683
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1440799/000147793212002946/0001477932-12-002946-index.htm,https://www.sec.gov/Archives/edgar/data/1440799/000147793215006761/0001477932-15-006761-index.htm,https://www.sec.gov/Archives/edgar/data/1440799/000147793216009804/0001477932-16-009804-index.htm,https://www.sec.gov/Archives/edgar/data/1440799/000147793216011309/0001477932-16-011309-index.htm,https://www.sec.gov/Archives/edgar/data/1440799/000147793216011309/0001477932-16-011309-index.html,https://www.sec.gov/Archives/edgar/data/1440799/000147793217003558/0001477932-17-003558-index.html,https://www.sec.gov/Archives/edgar/data/1440799/000147793218003614/0001477932-18-003614-index.html,https://www.sec.gov/Archives/edgar/data/1440799/000147793219004346/0001477932-19-004346-index.htm,https://www.sec.gov/Archives/edgar/data/1440799/000147793220004850/0001477932-20-004850-index.htm,https://www.sec.gov/Archives/edgar/data/1440799/000147793221005007/0001477932-21-005007-index.htm
102,false,,,,,,,,,,,,,,
