,https://roic.ai/company/IOVA,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,1755561,1656000,1329367,2704597,15470000,28037000,71615000,99828000,166023000,201727000,259039000
6,General and Administrative Exp.,- -,- -,- -,- -,6476546,4655149,9335772,12390000,25602000,21262000,28430000,40849000,60210000,83664000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,6476546,4655149,9335772,12390000,25602000,21262000,28430000,40849000,60210000,83664000
9,Other Expenses,57140,15772,815413,19302721,- -,16656250,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,57140,15772,815413,21058282,8132546,22640766,12040369,27860000,53639000,92877000,128258000,206872000,261937000,342703000
11,COGS and Expenses,57140,15772,815413,21058282,8132546,22640766,12040369,27860000,53639000,92877000,128258000,206872000,261937000,342703000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,200000,745000,813000,- -,- -,- -,451000
13,Interest Expense (Gain),- -,- -,- -,151507,2419951,444729,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1332,1332,58597,2704,6211,7087,88221,999000,978000,952000,956000,1169000,1140000,10869000
15,EBITDA,-55808,-14440,-756816,-21055578,-8126335,-22633679,-11952148,-26861000,-52661000,-91925000,-127302000,-205703000,-260797000,-342703000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-57140,-15772,-815413,-21218318,-8132546,-22640766,-12040369,-27860000,-53639000,-92877000,-128258000,-206872000,-261937000,-342703000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,-792575,-4484311,4824927,-2740597,5660,200000,745000,813000,4678000,9316000,2356000,451000
20,Income Before Tax,-57140,- -,-1607988,- -,-3307619,-25381363,-12034709,-27660000,-52894000,-92064000,-123580000,-197556000,-259581000,-342252000
21,Income Before Tax Ratio,-Infinity,- -,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-57140,-15772,-1607988,-25694100,-3307619,-25381363,-12034709,-27660000,-52894000,-92064000,-123580000,-197556000,-259581000,-342252000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.04,-0.01,-2.00,-34.00,-4.00,-3.47,-0.48,-0.62,-1.85,-1.41,-1.27,-1.59,-1.88,-2.20
26,EPS Diluted,-0.04,-0.01,-2.00,-34.00,-4.00,-3.47,-0.48,-0.62,-1.85,-1.41,-1.27,-1.59,-1.88,-2.20
27,Weighted Average Shares Outstanding,1214400,1214400,652462,759239,798530,9762513,24985542,44410000,55268000,65242000,97277000,124336000,138301000,155508000
28,Weighted Average Shares Outstanding Diluted,1214400,1214400,652462,759239,798530,9762513,24985542,44410000,55268000,65242000,97277000,124336000,138301000,155508000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1425205/000116552709000090/0001165527-09-000090-index.html,https://www.sec.gov/Archives/edgar/data/1425205/000114420410017594/0001144204-10-017594-index.html,https://www.sec.gov/Archives/edgar/data/1425205/000114420411021982/v218522_10k.htm,https://www.sec.gov/Archives/edgar/data/1425205/000114420412018611/0001144204-12-018611-index.html,https://www.sec.gov/Archives/edgar/data/1425205/000151316013000055/gnbp10k2012.htm,https://www.sec.gov/Archives/edgar/data/1425205/000151316014000023/lion10k2013.htm,https://www.sec.gov/Archives/edgar/data/1425205/000114420415016315/v403564_10k.htm,https://www.sec.gov/Archives/edgar/data/1425205/000114420416087506/0001144204-16-087506-index.html,https://www.sec.gov/Archives/edgar/data/1425205/000114420417013535/0001144204-17-013535-index.html,https://www.sec.gov/Archives/edgar/data/1425205/000114420418014151/0001144204-18-014151-index.html,https://www.sec.gov/Archives/edgar/data/1425205/000114420419010702/0001144204-19-010702-index.html,https://www.sec.gov/Archives/edgar/data/1425205/000110465920024830/0001104659-20-024830-index.html,https://www.sec.gov/Archives/edgar/data/1425205/000155837021001858/0001558370-21-001858-index.htm,https://www.sec.gov/Archives/edgar/data/1425205/000155837022001976/0001558370-22-001976-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2905,8257,1297469,510217,- -,19672177,44909147,13642000,106717000,145373000,82152000,13969000,67329000,78229000
32,Short-Term Investments,- -,- -,- -,9391,- -,- -,- -,90058000,59753000,- -,386371000,293112000,562108000,- -
33,Cash and Short-Term Investments,2905,8257,1297469,519608,- -,19672177,44909147,103700000,166470000,145373000,468523000,307081000,629437000,78229000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,150,150,3447,4473,7275,173716,66134,277000,3042000,3917000,6851000,9412000,6663000,- -
37,Total Current Assets,3055,8407,1300916,524081,7275,19845893,44975281,103977000,169512000,149290000,475374000,316493000,636100000,- -
38,PP&E,2557,- -,- -,28349,22138,27756,1531566,1676000,2374000,2450000,2683000,19231000,113915000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,1225,160036,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,1225,160036,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,16000,- -,- -,- -,- -,- -,3633000,2764000,8931000,18443000,- -
45,Total Non-Current Assets,2557,1225,160036,44349,22138,27756,1531566,1676000,2374000,6083000,5447000,28162000,132358000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,777333000
47,Total Assets,5612,9632,1460952,568430,29413,19873649,46506847,105653000,171886000,155373000,480821000,344655000,768458000,777333000
48,Accounts Payable,- -,- -,30292,190048,1098271,412976,1248413,958000,863000,1232000,2739000,15567000,13513000,- -
49,Short-Term Debt,- -,- -,- -,5000000,6481250,- -,- -,- -,- -,- -,- -,7252000,6284000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3328,23120,792575,8159300,3769368,1856956,413347,672000,4105000,8660000,11659000,16265000,35074000,- -
53,Total Current Liabilities,3328,23120,822867,13349348,11348889,2269932,1661760,1630000,4968000,9892000,14398000,39084000,54871000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45375000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,230000,6600000,11714000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,230000,6600000,57089000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155674000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11500000,51659000,- -
61,Total Liabilities,3328,23120,822867,13349348,11348889,2269932,1661760,1630000,4968000,9892000,14628000,45684000,111960000,155674000
62,Preferred Stock,- -,- -,- -,- -,- -,17,6,- -,8000,7000,6000,4000,4000,- -
63,Common Stock,5060,5060,3068,3250,3412,835,1407,2000,3000,3000,5000,5000,6000,- -
64,Retained Earnings,-58716,-74488,-1682476,-27376576,-30684195,-64527185,-76561894,-104222000,-157116000,-249180000,-372760000,-570612000,-830193000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-2704,-8915,-16002,-104223,48000,29000,- -,-42000,220000,19000,-601000
66,Other Total Stockholders Equity,55940,55940,2317493,14595112,19370222,82146052,121509791,208195000,323994000,394651000,838984000,869354000,1486662000,- -
67,Total Stockholders Equity,2284,-13488,638085,-12780918,-11319476,17603717,44845087,104023000,166918000,145481000,466193000,298971000,656498000,621659000
68,Total Liabilities And Stockholders Equity,5612,9632,1460952,568430,29413,19873649,46506847,105653000,171886000,155373000,480821000,344655000,768458000,777333000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5612,9632,1460952,568430,29413,19873649,46506847,105653000,171886000,155373000,480821000,344655000,768458000,777333000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1425205/000116552709000090/0001165527-09-000090-index.html,https://www.sec.gov/Archives/edgar/data/1425205/000114420410017594/0001144204-10-017594-index.html,https://www.sec.gov/Archives/edgar/data/1425205/000114420411021982/v218522_10k.htm,https://www.sec.gov/Archives/edgar/data/1425205/000114420412018611/0001144204-12-018611-index.html,https://www.sec.gov/Archives/edgar/data/1425205/000151316013000055/gnbp10k2012.htm,https://www.sec.gov/Archives/edgar/data/1425205/000151316014000023/lion10k2013.htm,https://www.sec.gov/Archives/edgar/data/1425205/000114420415016315/v403564_10k.htm,https://www.sec.gov/Archives/edgar/data/1425205/000114420416087506/0001144204-16-087506-index.html,https://www.sec.gov/Archives/edgar/data/1425205/000114420417013535/0001144204-17-013535-index.html,https://www.sec.gov/Archives/edgar/data/1425205/000114420418014151/0001144204-18-014151-index.html,https://www.sec.gov/Archives/edgar/data/1425205/000114420419010702/0001144204-19-010702-index.html,https://www.sec.gov/Archives/edgar/data/1425205/000110465920024830/0001104659-20-024830-index.html,https://www.sec.gov/Archives/edgar/data/1425205/000155837021001858/0001558370-21-001858-index.htm,https://www.sec.gov/Archives/edgar/data/1425205/000155837022001976/0001558370-22-001976-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-57140,-15772,-1607988,-25694100,-3307619,-25381363,-12034709,-27660000,-52894000,-92064000,-123580000,-197556000,-259581000,-342252000
74,Depreciation and Amortization,1332,1332,58597,2704,6211,7087,88221,999000,978000,952000,956000,1169000,1140000,10869000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,18904000,11968000,20027000,24277000,40887000,69765000
77,Change in Working Capital,-1495,-14440,492762,-13303316,1483653,28917575,25737560,59033479,62197000,-25146000,321578000,-183567000,303820000,-162473000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,908223,-543560,-354941,-32000,-250000,369000,1507000,12706000,-2964000,6976000
81,Other Working Capital,-273,-14713,478049,-12825267,-11341614,17575961,43313521,102347000,164544000,139398000,460976000,277409000,581229000,418756000
82,Other Non-Cash Items,- -,14432,435824,32805513,-423712,-7205491,-22424319,-50753479,-61853000,25581000,-320230000,196788000,-291400000,196150000
83,Cash Provided by Operating Activities,-57303,-14448,-620805,-6189199,-2241467,-3662192,-8633247,-18381000,-32668000,-78709000,-101249000,-158889000,-205134000,-227941000
84,CAPEX,- -,- -,- -,-31053,- -,-12705,-1592030,-1143000,-1521000,-1028000,-1198000,-6917000,-46791000,-37574000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-160610000,-110249000,- -,-426081000,-417659000,-947663000,-725208000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,70600000,120664000,59705000,41000000,514601000,676601000,762914000
88,Other Investing Activites,- -,- -,- -,-50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-81053,- -,-12705,-1592030,-91153000,8894000,58677000,-386279000,90025000,-317853000,132000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,1910000,873000,250000,7126813,32240422,68307000,- -,- -,- -,- -,567043000,1586000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,19800,-4983,4615000,1481250,16220260,3221825,9960000,96904000,58688000,424307000,6131000,9379000,237682000
95,Cash Used/Provided by Financing Activities,- -,19800,1905017,5488000,1731250,23347073,35462247,78267000,96904000,58688000,424307000,6131000,576422000,239268000
