,https://roic.ai/company/RSSS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,3850746,12209916,14653374,24935473,33500438,42818541,45498526,36550910,31900143,34363945,25747276,28018441,28793922,31058737,31756345
2,COGS,3253120,10023768,11413544,21019225,29594012,34778307,35948380,28204613,25723942,27863280,19643082,20669116,20450461,21420855,21470331
3,Gross Profit,597626,2186148,3239830,3916248,3906426,8040234,9550146,8346297,6176201,6500665,6104194,7349325,8343461,9637882,10286014
4,Gross Profit Ratio,0.1552,0.1790,0.2211,0.1571,0.1166,0.1878,0.2099,0.2283,0.1936,0.1892,0.2371,0.2623,0.2898,0.3103,0.3239
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1798048,2139950,2121978,2644274
6,General and Administrative Exp.,981118,2172055,4019065,3590933,7870454,10722321,9072443,9617453,6397712,6825235,5645957,5175342,5316113,5816378,5875332
7,Selling and Marketing Exp.,23658,40437,158524,439877,618976,- -,- -,- -,- -,- -,3388248,2181694,2079045,2508238,2073878
8,"Selling, General and Administrative Exp.",1004776,2212492,4177589,4030810,8489430,10722321,9072443,9617453,6397712,6825235,9034205,7357036,7395158,8324616,7949210
9,Other Expenses,95467,341465,235660,206616,673881,1456130,590922,507678,174819,90846,133694,152397,38816,23654,11522
10,Operating Expenses,1100243,2553957,4413249,4237426,9163311,12178451,9663365,10125131,6572531,6916081,9167899,9307481,9573924,10470248,10605006
11,COGS and Expenses,4353363,12577725,15826793,25256651,38757323,46956758,45611745,38329744,32296473,34779361,28810981,29976597,30024385,31891103,32075337
12,Interest Income ,88491,111336,39527,4169,3231,1379,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),6347,32313,34993,6919,144069,220665,89411,55923,18056,17382,12000,4000,- -,- -,- -
14,Depreciation and Amortization,44179,278485,283583,270981,750190,1529222,617898,507678,174819,90846,178799,262990,153895,143568,83853
15,EBITDA,-364965,-27523,-715291,-28160,-4513347,-5104508,897560,-1286718,997986,-361468,-2067269,-1371972,-779023,-510838,-198032
16,EBITDA ratio,-0.0948,-0.0023,-0.0488,-0.0011,-0.1347,-0.1192,0.0197,-0.0352,0.0313,-0.0105,-0.0803,-0.0490,-0.0271,-0.0164,-0.0062
17,Operating Income,-502617,-367809,-1173419,-321178,-5256885,-6652378,363685,-1778834,-494452,-420703,-3084570,-1950136,-1254963,-851895,-283032
18,Operating Income ratio,-0.1305,-0.0301,-0.0801,-0.0129,-0.1569,-0.1554,0.0080,-0.0487,-0.0155,-0.0122,-0.1198,-0.0696,-0.0436,-0.0274,-0.0089
19,Total Other Income Expenses (Gains),- -,-33660,139552,2665,-150721,-202017,-173434,-71485,-16841,-48993,11861,54179,107308,80044,1147
20,Income Before Tax,- -,- -,-1033867,-318513,-5407606,-6854395,190251,-1850319,-511293,-469696,-3072709,-1895957,-1147655,-771851,-281885
21,Income Before Tax Ratio,- -,- -,-0.0706,-0.0128,-0.1614,-0.1601,0.0042,-0.0506,-0.0160,-0.0137,-0.1193,-0.0677,-0.0399,-0.0249,-0.0089
22,Income Tax expense (Gain),- -,- -,32174,1133,- -,-322106,-1671,16099,30892,28162,35495,39779,27040,7836,3204
23,Net Income,-415491,-338321,-1066041,-307193,-5407606,-6532289,191922,-1866418,774219,-497858,-2293563,-1678741,-959958,-662242,-285089
24,Net Income ratio,-0.1079,-0.0277,-0.0728,-0.0123,-0.1614,-0.1526,0.0042,-0.0511,0.0243,-0.0145,-0.0891,-0.0599,-0.0333,-0.0213,-0.0090
25,EPS,-0.04,-0.03,-0.08,-0.02,-0.36,-0.38,0.01,-0.11,0.04,-0.03,-0.10,-0.07,-0.04,-0.03,-0.01
26,EPS Diluted,-0.04,-0.03,-0.08,-0.02,-0.36,-0.38,0.01,-0.11,0.04,-0.03,-0.10,-0.07,-0.04,-0.03,-0.01
27,Weighted Average Shares Outstanding,10625003,12540226,12945163,12966830,14964504,17045824,17123460,17230311,17445812,17769827,23241572,23473105,23815761,24760790,26008368
28,Weighted Average Shares Outstanding Diluted,10625003,12540226,12945163,12966830,14964504,17045824,17262652,17230311,17962157,17769827,23241572,23473105,23815761,24760790,26008368
