,https://roic.ai/company/FLMN,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,70964000,95972000,98655000,68463000,40081000,68008000
2,COGS,40371000,39079000,22105000,16999000,16910000,- -
3,Gross Profit,30593000,56893000,76550000,51464000,23171000,68008000
4,Gross Profit Ratio,0.4311,0.5928,0.7759,0.7517,0.5781,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,6114000,8213000,9544000,11912000,11997000,14130000
7,Selling and Marketing Exp.,6605000,6505000,2368000,2396000,1993000,1752000
8,"Selling, General and Administrative Exp.",12719000,14718000,11912000,14308000,13990000,15882000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,12719000,14718000,11912000,14308000,13990000,15882000
11,COGS and Expenses,53090000,53797000,34017000,31307000,30900000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),3096000,2746000,2350000,2489000,2197000,-1924000
14,Depreciation and Amortization,37265000,37085000,18536000,12812000,14699000,- -
15,EBITDA,55072000,115349000,114303000,33569000,20057000,29627000
16,EBITDA ratio,0.7761,1.2019,1.1586,0.4903,0.5004,0.4356
17,Operating Income,17031000,43966000,63182000,37156000,7981000,32958000
18,Operating Income ratio,0.2400,0.4581,0.6404,0.5427,0.1991,0.4846
19,Total Other Income Expenses (Gains),-2273000,28729000,39078000,-2324000,-2072000,-1407000
20,Income Before Tax,14758000,72695000,102260000,34832000,5909000,31551000
21,Income Before Tax Ratio,0.2080,0.7575,1.0365,0.5088,0.1474,0.4639
22,Income Tax expense (Gain),- -,- -,3292000,3918000,589000,4059000
23,Net Income,14711000,75518000,90125000,14350000,2572000,27492000
24,Net Income ratio,0.2073,0.7869,0.9135,0.2096,0.0642,0.4042
25,EPS,0.17,0.88,0.20,0.31,0.05,0.28
26,EPS Diluted,0.17,0.88,0.20,0.31,0.05,0.28
27,Weighted Average Shares Outstanding,85855000,85855000,45855000,46290323,51440000,46985714
28,Weighted Average Shares Outstanding Diluted,85855000,85855000,45855000,46290323,51440000,46985714
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1703785/000121390018003075/0001213900-18-003075-index.htm,https://www.sec.gov/Archives/edgar/data/1703785/000156459019007840/0001564590-19-007840-index.htm,https://www.sec.gov/Archives/edgar/data/1703785/000156459020010843/0001564590-20-010843-index.htm,https://www.sec.gov/Archives/edgar/data/1703785/000156459021012915/0001564590-21-012915-index.htm,https://www.sec.gov/Archives/edgar/data/1703785/000156459022009887/0001564590-22-009887-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,8345000,7317000,2543000,2724000,2768000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,8345000,7317000,2543000,2724000,2768000
34,Net Receivables,- -,12564000,11271000,7889000,5419000,10018000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,4658000,1524000,1182000,766000,1220000
37,Total Current Assets,- -,25567000,20112000,11614000,8909000,14006000
