,https://roic.ai/company/PRTA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,1243000,507000,2658000,676000,50854000,1607000,1055000,27519000,955000,814000,853000,200577000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,9787000,24172000,34139000,26052000,38452000,58439000,119534000,134547000,101183000,50836000,74884000,82284000
6,General and Administrative Exp.,3618000,5579000,9929000,15051000,19051000,23105000,41056000,48226000,42482000,35736000,38703000,46318000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3618000,5579000,9929000,15051000,19051000,23105000,41056000,48226000,42482000,35736000,38703000,46318000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,13405000,29751000,44068000,41103000,57503000,81544000,160590000,182773000,143665000,86572000,113587000,128602000
11,COGS and Expenses,13405000,29751000,44068000,41103000,57503000,81544000,160590000,182773000,143665000,86572000,113587000,128602000
12,Interest Income ,- -,- -,5000,71000,79000,196000,- -,3546000,6389000,8203000,1369000,42000
13,Interest Expense (Gain),- -,- -,- -,154000,- -,- -,- -,3688000,3697000,8203000,1369000,42000
14,Depreciation and Amortization,191000,391000,468000,660000,743000,806000,2427000,3067000,3216000,6820000,6977000,6803000
15,EBITDA,-11971000,-28853000,-40937000,-39767000,-5596000,-79105000,-156537000,-150848000,-149202000,-62275000,-103081000,78766000
16,EBITDA ratio,-9.6307,-56.9093,-15.4014,-58.8269,-0.1100,-49.2253,-148.3763,-5.4816,-156.2325,-76.5049,-120.8453,0.3927
17,Operating Income,-12162000,-29244000,-41410000,-40427000,-6649000,-79937000,-159535000,-155254000,-158855000,-85697000,-112734000,71975000
18,Operating Income ratio,-9.7844,-57.6805,-15.5794,-59.8033,-0.1307,-49.7430,-151.2180,-5.6417,-166.3403,-105.2789,-132.1618,0.3588
19,Total Other Income Expenses (Gains),- -,- -,5000,-154000,310000,26000,571000,-2349000,2740000,8399000,1307000,-54000
20,Income Before Tax,-12162000,-29244000,-41405000,-40581000,-6339000,-79911000,-158964000,-157603000,-156115000,-77298000,-111427000,71921000
21,Income Before Tax Ratio,-9.7844,-57.6805,-15.5775,-60.0311,-0.1247,-49.7268,-150.6768,-5.7271,-163.4712,-94.9607,-130.6295,0.3586
22,Income Tax expense (Gain),320000,426000,6000,415000,811000,701000,1144000,-4366000,-470000,379000,-283000,4946000
23,Net Income,-12482000,-29670000,-41411000,-40996000,-7150000,-80612000,-160108000,-153237000,-155645000,-77677000,-111144000,66975000
24,Net Income ratio,-10.0418,-58.5207,-15.5798,-60.6450,-0.1406,-50.1630,-151.7611,-5.5684,-162.9791,-95.4263,-130.2978,0.3339
25,EPS,-0.71,-1.68,-2.84,-2.20,-0.29,-2.66,-4.66,-4.07,-3.93,-1.95,-2.78,1.51
26,EPS Diluted,-0.71,-1.68,-2.84,-2.20,-0.29,-2.66,-4.66,-4.07,-3.93,-1.95,-2.78,1.38
27,Weighted Average Shares Outstanding,17679000,17679000,14593000,18615000,24672000,30326000,34351000,37654000,39559000,39882000,39915000,44228000
28,Weighted Average Shares Outstanding Diluted,17679000,17679000,14593000,18615000,24672000,30326000,34351000,37654000,39559000,39882000,39915000,48464000
