,https://roic.ai/company/CEIX,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,1681262000,1340502000,1143514000,1321412000,1472790000,1375559000,879462000,1258947000
2,COGS,229817000,215836000,224590000,245694000,244836000,226764000,250750000,- -
3,Gross Profit,1451445000,1124666000,918924000,1075718000,1227954000,1148795000,628712000,1258947000
4,Gross Profit Ratio,0.8633,0.8390,0.8036,0.8141,0.8338,0.8351,0.7149,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,78724000,55720000,50027000,83605000,65346000,67111000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",78724000,55720000,50027000,83605000,65346000,67111000,- -,89113000
9,Other Expenses,1110332000,699594000,877177000,886709000,946450000,948012000,695598000,- -
10,Operating Expenses,1189056000,755314000,927204000,970314000,1011796000,1015123000,695598000,89113000
11,COGS and Expenses,1418873000,971150000,1151794000,1216008000,1256632000,1241887000,946348000,1223540000
12,Interest Income ,135000,410000,1166000,2619000,2146000,2937000,1230000,- -
13,Interest Expense (Gain),- -,7544000,14053000,26098000,83848000,66464000,61186000,63342000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,210760000,224583000
15,EBITDA,412305000,440160000,70114000,180955000,245652000,147004000,266163000,323332000
16,EBITDA ratio,0.2452,0.3284,0.0613,0.1369,0.1668,0.1069,0.3026,0.2568
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),149916000,73674000,73295000,64393000,-28545000,-35575000,57644000,- -
20,Income Before Tax,412305000,443026000,65015000,169797000,187613000,98097000,-9242000,35407000
21,Income Before Tax Ratio,0.2452,0.3305,0.0569,0.1285,0.1274,0.0713,-0.0105,0.0281
22,Income Tax expense (Gain),121353000,125605000,14565000,87228000,8828000,4539000,3972000,1297000
23,Net Income,290952000,307011000,41496000,67629000,152976000,76001000,-9755000,34110000
24,Net Income ratio,0.1731,0.2290,0.0363,0.0512,0.1039,0.0553,-0.0111,0.0271
25,EPS,10.37,10.95,-0.18,2.42,5.48,2.82,-0.37,0.99
26,EPS Diluted,10.37,10.95,-0.18,2.40,5.38,2.81,-0.37,0.99
27,Weighted Average Shares Outstanding,28046220,28046220,28046220,27945868,27928245,26938339,26364865,34480181
28,Weighted Average Shares Outstanding Diluted,28046220,28046220,28046220,28178750,28419762,27071108,26364865,34480181
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1710366/000171036618000006/0001710366-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1710366/000171036619000005/0001710366-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1710366/000171036620000006/0001710366-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1710366/000143774921002802/0001437749-21-002802-index.htm,https://www.sec.gov/Archives/edgar/data/1710366/000143774922003140/0001437749-22-003140-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,6639000,13311000,153979000,235677000,80293000,50850000,149913000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,6639000,13311000,153979000,235677000,80293000,50850000,149913000
34,Net Receivables,- -,98577000,119061000,168097000,128944000,172672000,160446000,104099000
35,Inventory,- -,52977000,50161000,53420000,48646000,54131000,56200000,62876000
36,Other Current Assets,- -,25104000,17601000,23744000,60688000,30933000,25445000,69452000
37,Total Current Assets,- -,183297000,200134000,399240000,473955000,338029000,292941000,386340000
38,PP&E,- -,2325181000,2180270000,2122297000,2106528000,2164797000,2102498000,1978550000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,259603000,184579000,75065000,77545000,103505000,68821000,57011000
44,Other Non-Current Assets,- -,99652000,122451000,110497000,102699000,87471000,59106000,151616000
45,Total Non-Current Assets,- -,2684436000,2487300000,2307859000,2286772000,2355773000,2230425000,2187177000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2867733000,2687434000,2707099000,2760727000,2693802000,2523366000,2573517000
48,Accounts Payable,- -,89404000,82897000,109100000,130930000,106223000,71229000,80343000
49,Short-Term Debt,- -,1032000,4076000,22482000,134812000,69751000,74087000,6682000
50,Tax Payable,- -,6071000,12732000,7510000,5050000,4753000,7126000,- -
51,Deferred Revenue,- -,4670000,10520000,6807000,151000,- -,- -,- -
52,Other Current Liabilities,- -,261882000,281601000,283820000,226283000,216290000,223154000,358207000
53,Total Current Liabilities,- -,356988000,379094000,422209000,492176000,392264000,368470000,445232000
54,Long-Term Debt,- -,285777000,301827000,856650000,708536000,653802000,638716000,594650000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1163129000,1206389000,1084599000,1008404000,1075341000,962661000,860822000
58,Total Non-Current Liabilities,- -,1448906000,1508216000,1941249000,1716940000,1729143000,1601377000,1455472000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,1106000,15515000,11803000,25690000,83928000,92099000,- -
61,Total Liabilities,- -,1805894000,1887310000,2363458000,2209116000,2121407000,1969847000,1900704000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,280000,274000,259000,340000,345000
64,Retained Earnings,- -,- -,- -,-43713000,182148000,259903000,246850000,280960000
