,https://roic.ai/company/GHAV,2013,2014,2015,2016,2017,2018
0,INCOME STATEMENT, , , , , , 
1,Revenue,1524576,311789,- -,210508,204303,169940
2,COGS,649161,157487,- -,50512,107196,89881
3,Gross Profit,875415,154302,- -,159996,97107,80059
4,Gross Profit Ratio,0.5742,0.4949,- -,0.7600,0.4753,0.4711
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,681066,469191,- -,271739,3658468,1171605
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",681066,469191,- -,271739,3658468,1171605
9,Other Expenses,233190,6155,- -,5057,16402,22545
10,Operating Expenses,914256,475346,- -,276796,3674870,1194150
11,COGS and Expenses,1563417,632833,- -,327308,3782066,1284031
12,Interest Income ,125,- -,- -,- -,- -,- -
13,Interest Expense (Gain),10000,83478,- -,- -,309908,789847
14,Depreciation and Amortization,486,484,- -,5057,16402,22545
15,EBITDA,-38229,-326123,- -,-111743,-8327407,-7758505
16,EBITDA ratio,-0.0251,-1.0460,- -,-0.5308,-40.7601,-45.6544
17,Operating Income,-38840,-322824,- -,-116800,-4131743,-1114091
18,Operating Income ratio,-0.0255,-1.0354,- -,-0.5548,-20.2236,-6.5558
19,Total Other Income Expenses (Gains),-9875,-87261,- -,- -,-4534539,-7460795
20,Income Before Tax,-48715,-410085,- -,-116800,-8666282,-8574886
21,Income Before Tax Ratio,-0.0320,-1.3153,- -,-0.5548,-42.4188,-50.4583
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,-48715,-410085,- -,-116800,-8653717,-8570897
24,Net Income ratio,-0.0320,-1.3153,- -,-0.5548,-42.3573,-50.4348
25,EPS,-0.06,-0.53,- -,-0.00,-0.15,-0.13
26,EPS Diluted,-0.06,-0.53,- -,-0.00,-0.15,-0.13
27,Weighted Average Shares Outstanding,774606,775297,- -,50000000,59473564,67933550
28,Weighted Average Shares Outstanding Diluted,774606,775297,- -,50000000,59473564,67933550
