,https://roic.ai/company/OPEN,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,1838066000,4740583000,2583121000,8021000000
2,COGS,1704638000,4439333000,2363324000,7291000000
3,Gross Profit,133428000,301250000,219797000,730000000
4,Gross Profit Ratio,0.0726,0.0635,0.0851,0.0910
5,Research and Development Exp.,28458000,51222000,58172000,134000000
6,General and Administrative Exp.,72350000,113446000,152769000,620000000
7,Selling and Marketing Exp.,196292000,384416000,194721000,544000000
8,"Selling, General and Administrative Exp.",268642000,497862000,347490000,1164000000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,297100000,549084000,405662000,1298000000
11,COGS and Expenses,2001738000,4988417000,2768986000,8589000000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),60456000,109728000,67806000,143000000
14,Depreciation and Amortization,12781000,39312000,62348000,55000000
15,EBITDA,-167677000,-191725000,-156543000,-463000000
16,EBITDA ratio,-0.0912,-0.0404,-0.0606,-0.0577
17,Operating Income,-163672000,-248000000,-185865000,-568000000
18,Operating Income ratio,-0.0890,-0.0523,-0.0720,-0.0708
19,Total Other Income Expenses (Gains),-75880000,-90918000,-100832000,-93000000
20,Income Before Tax,-239552000,-338918000,-286697000,-661000000
21,Income Before Tax Ratio,-0.1303,-0.0715,-0.1110,-0.0824
22,Income Tax expense (Gain),377000,252000,63000,1000000
23,Net Income,-241291000,-341017000,-286760000,-662000000
24,Net Income ratio,-0.1313,-0.0719,-0.1110,-0.0825
25,EPS,-0.46,-0.63,-2.62,-1.12
26,EPS Diluted,-0.46,-0.63,-2.62,-1.12
27,Weighted Average Shares Outstanding,544422565,544422565,109301000,592574000
28,Weighted Average Shares Outstanding Diluted,544422565,544422565,109301000,592574000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1801169/000180116921000011/0001801169-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1801169/000180116922000027/0001801169-22-000027-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,405080000,1412665000,1731000000
32,Short-Term Investments,- -,43576000,47637000,484000000
33,Cash and Short-Term Investments,- -,448656000,1460302000,2215000000
