,https://roic.ai/company/TRUP,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,37045000,55530000,83829000,115910000,146963000,188230000,242667000,303956000,383936000,502028000,698991000
2,COGS,29002000,44319000,68185000,96036000,121734000,154942000,199617000,252590000,319012000,- -,594645000
3,Gross Profit,8043000,11211000,15644000,19874000,25229000,33288000,43050000,51366000,64924000,502028000,104346000
4,Gross Profit Ratio,0.2171,0.2019,0.1866,0.1715,0.1717,0.1768,0.1774,0.1690,0.1691,1.0000,0.1493
5,Research and Development Exp.,1499000,3406000,4888000,9899000,11215000,9534000,9768000,9248000,10074000,- -,16866000
6,General and Administrative Exp.,4289000,6195000,8652000,14312000,15558000,15205000,16820000,18164000,20967000,21847000,31893000
7,Selling and Marketing Exp.,5206000,7149000,9091000,11608000,15231000,15247000,19104000,24999000,35451000,47837000,78647000
8,"Selling, General and Administrative Exp.",9495000,13344000,17743000,25920000,30789000,30452000,35924000,43163000,56418000,69684000,110540000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,17018000,11965000
10,Operating Expenses,10994000,16750000,22631000,35819000,42004000,39986000,45692000,52411000,66492000,86702000,139371000
11,COGS and Expenses,39996000,61069000,90816000,131855000,163738000,194928000,245309000,305001000,385504000,86702000,734016000
12,Interest Income ,69000,75000,86000,73000,75000,119000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),690000,535000,609000,6726000,325000,218000,533000,1198000,1349000,1381000,10000
14,Depreciation and Amortization,199000,349000,892000,1674000,2542000,3846000,4232000,4512000,5632000,7071000,11965000
15,EBITDA,-2938000,-5442000,-6766000,-12784000,-14224000,-2794000,2834000,4776000,5341000,2725000,-23245000
16,EBITDA ratio,-0.0793,-0.0980,-0.0807,-0.1103,-0.0968,-0.0148,0.0117,0.0157,0.0139,0.0054,-0.0333
17,Operating Income,-2951000,-5539000,-6987000,-15945000,-16775000,-6698000,-2642000,-1045000,-1920000,-4927000,-35196000
18,Operating Income ratio,-0.0797,-0.0997,-0.0833,-0.1376,-0.1141,-0.0356,-0.0109,-0.0034,-0.0050,-0.0098,-0.0504
19,Total Other Income Expenses (Gains),-876000,-787000,-1280000,-5239000,-316000,-160000,711000,111000,280000,-800000,-24000
20,Income Before Tax,-3827000,-6326000,-8267000,-21184000,-17091000,-6858000,-1931000,-934000,-1640000,-5727000,-35220000
21,Income Before Tax Ratio,-0.1033,-0.1139,-0.0986,-0.1828,-0.1163,-0.0364,-0.0080,-0.0031,-0.0043,-0.0114,-0.0504
22,Income Tax expense (Gain),92000,84000,-92000,-7000,114000,38000,-428000,-7000,169000,113000,310000
23,Net Income,-3919000,-6410000,-8175000,-21177000,-17205000,-6896000,-1503000,-927000,-1809000,-5840000,-35530000
24,Net Income ratio,-0.1058,-0.1154,-0.0975,-0.1827,-0.1171,-0.0366,-0.0062,-0.0030,-0.0047,-0.0116,-0.0508
25,EPS,-0.21,-5.31,-0.45,-0.76,-0.62,-0.24,-0.05,-0.03,-0.05,-0.16,-0.99
26,EPS Diluted,-0.21,-5.31,-0.45,-0.76,-0.62,-0.24,-0.05,-0.03,-0.05,-0.16,-0.99
27,Weighted Average Shares Outstanding,18370403,1533668,18370403,27830941,27638443,28527602,29588324,31961192,34645345,35858869,35858869
28,Weighted Average Shares Outstanding Diluted,18370403,1533668,18370403,27830941,27638443,28527602,29588324,31961192,34645345,35858869,35858869
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1371285/000137128515000006/a10-kq42014.htm,https://www.sec.gov/Archives/edgar/data/1371285/000137128516000128/0001371285-16-000128-index.html,https://www.sec.gov/Archives/edgar/data/1371285/000137128517000024/0001371285-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/1371285/000137128518000014/0001371285-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1371285/000137128519000039/0001371285-19-000039-index.html,https://www.sec.gov/Archives/edgar/data/1371285/000137128520000032/0001371285-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/1371285/000137128521000041/0001371285-21-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1371285/000137128522000048/0001371285-22-000048-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,4234000,14939000,53098000,17956000,23637000,25706000,26552000,29168000,139878000,87400000
32,Short-Term Investments,- -,10809000,16088000,22371000,25288000,29570000,37590000,54559000,69732000,89862000,126012000
33,Cash and Short-Term Investments,- -,15043000,31027000,75469000,43244000,53207000,63296000,81111000,98900000,229740000,213412000
34,Net Receivables,- -,2289000,7771000,7887000,8196000,10118000,20367000,31565000,54408000,99065000,165217000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,939000,935000,1299000,2193000,2062000,2895000,5300000,5513000,8222000,12325000
