,https://roic.ai/company/GDRX,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,249522000,388224000,550700000,745424000
2,COGS,6035000,14016000,29587000,46716000
3,Gross Profit,243487000,374208000,521113000,698708000
4,Gross Profit Ratio,0.9758,0.9639,0.9463,0.9373
5,Research and Development Exp.,43894000,29300000,61816000,125860000
6,General and Administrative Exp.,8359000,14692000,461451000,154686000
7,Selling and Marketing Exp.,104177000,176967000,255135000,370217000
8,"Selling, General and Administrative Exp.",112536000,191659000,716586000,524903000
9,Other Expenses,9806000,13573000,18430000,34539000
10,Operating Expenses,166236000,234532000,796832000,685302000
11,COGS and Expenses,172271000,248548000,826419000,732018000
12,Interest Income ,154000,715000,160000,59000
13,Interest Expense (Gain),22193000,49569000,27913000,23642000
14,Depreciation and Amortization,9806000,13573000,18430000,34539000
15,EBITDA,84347000,146120000,-257107000,48004000
16,EBITDA ratio,0.3380,0.3764,-0.4669,0.0644
17,Operating Income,77251000,139676000,-275719000,13406000
18,Operating Income ratio,0.3096,0.3598,-0.5007,0.0180
19,Total Other Income Expenses (Gains),-24903000,-56698000,-27731000,-23583000
20,Income Before Tax,52348000,82978000,-303450000,-10177000
21,Income Before Tax Ratio,0.2098,0.2137,-0.5510,-0.0137
22,Income Tax expense (Gain),8555000,16930000,-9827000,15077000
23,Net Income,43793000,66048000,-293623000,-25254000
24,Net Income ratio,0.1755,0.1701,-0.5332,-0.0339
25,EPS,0.04,0.19,-1.07,0.01
26,EPS Diluted,0.04,0.18,-1.07,0.01
27,Weighted Average Shares Outstanding,356066000,352653000,274696000,411223000
28,Weighted Average Shares Outstanding Diluted,362603000,357255000,274696000,411223000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1809519/000156459021012614/0001564590-21-012614-index.htm,https://www.sec.gov/Archives/edgar/data/1809519/000095017022002348/0000950170-22-002348-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,34600000,26050000,968691000,941109000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,34600000,26050000,968691000,941109000
34,Net Receivables,35023000,55518000,97293000,126411000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,3448000,5014000,20384000,21307000
37,Total Current Assets,73071000,86582000,1086368000,1088827000
38,PP&E,988000,34175000,50769000,49317000
39,Goodwill,220420000,236225000,261116000,329696000
40,Intangible Assets,18270000,26445000,56719000,133778000
41,Intangible Assets,238690000,262670000,317835000,463474000
42,Investments,- -,- -,- -,- -
43,Tax Assets,866000,2207000,13117000,- -
44,Other Non-Current Assets,1176000,1162000,2025000,6007000
45,Total Non-Current Assets,241720000,300214000,383746000,518798000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,314791000,386796000,1470114000,1607625000
48,Accounts Payable,7200000,7851000,10291000,17501000
49,Short-Term Debt,5430000,9966000,11568000,12880000
50,Tax Payable,- -,1349000,- -,- -
51,Deferred Revenue,258000,3453000,6852000,6869000
52,Other Current Liabilities,3732000,12103000,30840000,43863000
53,Total Current Liabilities,16620000,33373000,59551000,81113000
54,Long-Term Debt,716806000,663893000,659888000,689450000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,3456000,- -,- -,244000
57,Other Non-Current Liabilities,740336000,777112000,39316000,5138000
58,Total Non-Current Liabilities,1460598000,1441005000,699204000,694832000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,40066000,38006000,39443000
61,Total Liabilities,1477218000,1474378000,758755000,775945000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,451000,460000,39000,40000
64,Retained Earnings,-1162878000,-1096830000,-1390453000,-1415707000
65,Other Comprehensive Income/Loss,-554000,-1267000,- -,- -
66,Other Total Stockholders Equity,554000,10055000,2101773000,2247347000
67,Total Stockholders Equity,-1162427000,-1087582000,711359000,831680000
68,Total Liabilities And Stockholders Equity,314791000,386796000,1470114000,1607625000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,314791000,386796000,1470114000,1607625000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1809519/000156459021012614/0001564590-21-012614-index.htm,https://www.sec.gov/Archives/edgar/data/1809519/000095017022002348/0000950170-22-002348-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,43793000,66048000,-293623000,-25254000
74,Depreciation and Amortization,9806000,13573000,18430000,34539000
75,Deferred Income Tax,-2433000,-5674000,-10910000,12851000
76,Stock Based Compensation,1762000,3747000,397285000,160462000
77,Change in Working Capital,-11771000,-3242000,973608000,-11796000
78,Accounts Receivable,-12843000,-14517000,-16139000,-43949000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,665000,515000,2154000,4207000
81,Other Working Capital,56451000,53209000,1026817000,- -
82,Other Non-Cash Items,4096000,8834000,-953449000,7977000
83,Cash Provided by Operating Activities,45253000,83286000,131341000,178779000
