,https://roic.ai/company/TELL,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,8600000,7300000,10600000,9000000,10700000,13900000,14000000,13000000,12500000,13600000,17000000,19900000,15200000,13400000,16329765,14008362,14352105,15595941,20523703,21870786,26562435,30675225,40894810,28190577,28524557,18176877,13712000,7070000,7601000,4459000,- -,5441000,10286000,28774000,37434000,71275000
2,COGS,3900000,2800000,2800000,2900000,2800000,3300000,3300000,3500000,3900000,3600000,4400000,11100000,7000000,6400000,6581314,5115959,7913887,7381469,8641531,10301683,11484850,12486101,12184473,11629200,11389588,9247199,12897000,8571000,7380000,6238000,54000,8044000,7682000,27517000,34451000,47919000
3,Gross Profit,4700000,4500000,7800000,6100000,7900000,10600000,10700000,9500000,8600000,10000000,12600000,8800000,8200000,7000000,9748451,8892403,6438218,8214472,11882172,11569103,15077585,18189124,28710337,16561377,17134969,8929678,815000,-1501000,221000,-1779000,-54000,-2603000,2604000,1257000,2983000,23356000
4,Gross Profit Ratio,0.5465,0.6164,0.7358,0.6778,0.7383,0.7626,0.7643,0.7308,0.6880,0.7353,0.7412,0.4422,0.5395,0.5224,0.5970,0.6348,0.4486,0.5267,0.5789,0.5290,0.5676,0.5930,0.7021,0.5875,0.6007,0.4913,0.0594,-0.2123,0.0291,-0.3990,-Infinity,-0.4784,0.2532,0.0437,0.0797,0.3277
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59498000,44034000,59629000,27492000,50186000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,3700000,3200000,3300000,2800000,3015741,2834052,2454155,3146767,5422338,4195215,5086025,5336422,6692192,7888276,14022843,15920237,13091000,11829000,9085000,8611000,5214000,98874000,81777000,87487000,47349000,85903000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2200000,1400000,1700000,2000000,3700000,5900000,4900000,4900000,3000000,3300000,3700000,3200000,3300000,2800000,3015741,2834052,2454155,3146767,5422338,4195215,5086025,5336422,6692192,7888276,14022843,15920237,13091000,11829000,9085000,8611000,5214000,98874000,81777000,87487000,47349000,85903000
9,Other Expenses,700000,1200000,1700000,1900000,2800000,3300000,5200000,3800000,3300000,3400000,3300000,2100000,2200000,2400000,3670417,3473758,3447444,3718660,6341998,6994253,6194604,10683069,24618029,6798024,-2137064,5180649,8035000,8267000,3484000,1563000,71000,- -,- -,- -,- -,- -
10,Operating Expenses,2900000,2600000,3400000,3900000,6500000,9200000,10100000,8700000,6300000,6700000,7000000,5300000,5500000,5200000,6686158,6307810,5901599,6865427,11764336,11189468,11280629,16019491,31310221,14686300,11885779,21100886,21126000,20096000,12569000,10174000,5285000,158372000,125811000,147116000,74841000,136089000
