,https://roic.ai/company/KRT,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,140058000,175434000,224910000,295518000,364244000
2,COGS,98753000,131979000,163891000,206393000,256417000
3,Gross Profit,41305000,43455000,61019000,89125000,107827000
4,Gross Profit Ratio,0.2949,0.2477,0.2713,0.3016,0.2960
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,28791000,31999000,38710000,39242000,52421000
7,Selling and Marketing Exp.,6506000,9324000,16473000,22186000,32261000
8,"Selling, General and Administrative Exp.",35297000,41323000,55183000,61428000,84682000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,35297000,41323000,55183000,61428000,84682000
11,COGS and Expenses,134050000,173302000,219074000,267821000,341099000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1278000,1455000,4752000,5492000,52421000
14,Depreciation and Amortization,3119000,3960000,5953000,8569000,10044000
15,EBITDA,9042000,7107000,13210000,36837000,89993000
16,EBITDA ratio,0.0646,0.0405,0.0587,0.1247,0.2471
17,Operating Income,6008000,2132000,5836000,27697000,23145000
18,Operating Income ratio,0.0429,0.0122,0.0259,0.0937,0.0635
19,Total Other Income Expenses (Gains),-1363000,-585000,-2891000,-5770000,4383000
20,Income Before Tax,4645000,1547000,2945000,21927000,27528000
21,Income Before Tax Ratio,0.0332,0.0088,0.0131,0.0742,0.0756
22,Income Tax expense (Gain),96000,1671000,781000,5259000,5089000
23,Net Income,4549000,21000,1724000,17517000,22439000
24,Net Income ratio,0.0325,0.0001,0.0077,0.0593,0.0616
25,EPS,0.21,0.08,0.09,0.92,1.13
26,EPS Diluted,0.21,0.08,0.09,0.92,1.12
27,Weighted Average Shares Outstanding,14724996,14830312,20190000,19117000,19117000
28,Weighted Average Shares Outstanding Diluted,14724996,14830312,20190000,19117000,19117000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1758021/000162828022007993/0001628280-22-007993-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,791000,965000,802000,448000,6483
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,791000,965000,802000,448000,6483
34,Net Receivables,11643000,15095000,21712000,23838000,32776
35,Inventory,28517000,29518000,35428000,48961000,58472
36,Other Current Assets,1368000,2041000,3085000,6530000,5141
37,Total Current Assets,42319000,47619000,61027000,79777000,102872
38,PP&E,19813000,38115000,59020000,95533000,93475
39,Goodwill,- -,- -,- -,3113000,3510
40,Intangible Assets,- -,- -,- -,- -,380
41,Intangible Assets,- -,- -,- -,3113000,3890
42,Investments,1251000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,64000,- -
44,Other Non-Current Assets,708000,10279000,13306000,2617000,7362
45,Total Non-Current Assets,21772000,48394000,72326000,101327000,104727
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,64091000,96013000,133353000,181104000,207599
48,Accounts Payable,11622000,15110000,19025000,20069000,- -
49,Short-Term Debt,25100000,37639000,7207000,11685000,1178
50,Tax Payable,- -,- -,26000,41000,85
51,Deferred Revenue,187000,2097000,676000,551000,1215
52,Other Current Liabilities,8718000,5664000,9020000,10832000,28371
