,https://roic.ai/company/APPH,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,- -,9050000
2,COGS,- -,41938000
3,Gross Profit,- -,-32888000
4,Gross Profit Ratio,- -,-3.6340
5,Research and Development Exp.,- -,- -
6,General and Administrative Exp.,- -,- -
7,Selling and Marketing Exp.,- -,- -
8,"Selling, General and Administrative Exp.",16295000,107245000
9,Other Expenses,176000,- -
10,Operating Expenses,16471000,107245000
11,COGS and Expenses,16471373,149183000
12,Interest Income ,- -,- -
13,Interest Expense (Gain),1423208,658000
14,Depreciation and Amortization,175843,10794000
15,EBITDA,-15839468,-153745000
16,EBITDA ratio,-Infinity,-16.9884
17,Operating Income,-16471000,-200034000
18,Operating Income ratio,-Infinity,-22.1032
19,Total Other Income Expenses (Gains),-967519,34837000
20,Income Before Tax,-17438519,-165197000
21,Income Before Tax Ratio,-Infinity,-18.2538
22,Income Tax expense (Gain),9186,989000
23,Net Income,-17447705,-166186000
24,Net Income ratio,-Infinity,-18.3631
25,EPS,-0.46,-1.74
26,EPS Diluted,-0.46,-1.74
27,Weighted Average Shares Outstanding,38072000,95571000
28,Weighted Average Shares Outstanding Diluted,38072000,95571000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1807707/000110465921075808/0001104659-21-075808-index.htm,https://www.sec.gov/Archives/edgar/data/1807707/000180770722000028/0001807707-22-000028-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,21908907,150755000
32,Short-Term Investments,100048410,- -
33,Cash and Short-Term Investments,121957317,150755000
34,Net Receivables,- -,1575000
35,Inventory,3387113,4998000
36,Other Current Assets,-99567407,31169000
37,Total Current Assets,25777023,188497000
38,PP&E,153952508,348923000
39,Goodwill,- -,- -
40,Intangible Assets,- -,- -
41,Intangible Assets,- -,- -
42,Investments,- -,- -
43,Tax Assets,- -,- -
44,Other Non-Current Assets,1187967,16644000
45,Total Non-Current Assets,155140475,365567000
46,Other Assets,- -,- -
47,Total Assets,180917498,554064000
48,Accounts Payable,1341822,8553000
49,Short-Term Debt,148178148,28771000
50,Tax Payable,- -,- -
51,Deferred Revenue,- -,- -
52,Other Current Liabilities,5260828,15913000
53,Total Current Liabilities,154780798,53237000
54,Long-Term Debt,- -,107575000
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,- -,2418000
57,Other Non-Current Liabilities,46577992,3194000
58,Total Non-Current Liabilities,46577992,113187000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,60753301,5689000
61,Total Liabilities,201358790,166424000
62,Preferred Stock,- -,- -
63,Common Stock,92359870,10000
64,Retained Earnings,-21128000,-187314000
65,Other Comprehensive Income/Loss,- -,-1951000
66,Other Total Stockholders Equity,-91673162,576895000
67,Total Stockholders Equity,-20441292,387640000
68,Total Liabilities And Stockholders Equity,180917498,554064000
69,Minority Interest,- -,- -
70,Total Liabilities & Equity,180917498,554064000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1807707/000110465921075808/0001104659-21-075808-index.htm,https://www.sec.gov/Archives/edgar/data/1807707/000180770722000028/0001807707-22-000028-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,-17447705,-166186000
74,Depreciation and Amortization,175843,10794000
75,Deferred Income Tax,9186,989000
76,Stock Based Compensation,153897,40910000
77,Change in Working Capital,2928328,-16280000
78,Accounts Receivable,- -,-1316000
79,Inventory,-2962000,-1611000
80,Accounts Payable,1175000,402000
81,Other Working Capital,-129003775,- -
82,Other Non-Cash Items,1033718,25849000
83,Cash Provided by Operating Activities,-13146733,-103924000
84,CAPEX,-35682287,-300653000
85,Acquisitions Net,- -,-14756000
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,-287,- -
89,Cash Used for Investing Activites,-35682287,-315409000
90,Debt Repayment,-258607,- -
91,Common Stock Issued,- -,- -
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,64965264,573734000
95,Cash Used/Provided by Financing Activities,64706657,573734000
96,Effect of Forex Changes on Cash,- -,- -
97,Net Change In Cash,15877637,128846000
98,Cash at the End of Period,21908907,150755000
99,Cash at the Beginning of Period,6031270,21909000
100,Free Cash Flow,-48829020,-404577000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1807707/000110465921075808/0001104659-21-075808-index.htm,https://www.sec.gov/Archives/edgar/data/1807707/000180770722000028/0001807707-22-000028-index.htm
102,false,,
