,https://roic.ai/company/JAGX,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,258381,141523,4361186,4416145,5775257,9385000,4335000
2,COGS,- -,- -,123457,51966,880405,2765747,3815812,3280000,2333000
3,Gross Profit,- -,- -,134924,89557,3480781,1650398,1959445,6105000,2002000
4,Gross Profit Ratio,- -,- -,0.5222,0.6328,0.7981,0.3737,0.3393,0.6505,0.4618
5,Research and Development Exp.,- -,4220338,6475851,7206864,4269455,5154748,5819817,6413000,15079000
6,General and Administrative Exp.,- -,- -,5339351,5983238,11247647,12277222,13502625,14387000,17103000
7,Selling and Marketing Exp.,- -,- -,765091,485440,3083739,9831576,6936314,6609000,8894000
8,"Selling, General and Administrative Exp.",- -,- -,6104442,6468678,14331386,22108798,20438939,20996000,25997000
9,Other Expenses,- -,- -,- -,- -,- -,- -,648800,8623000,1634000
10,Operating Expenses,- -,- -,12580293,13675542,18600841,27263546,26907556,36032000,42710000
11,COGS and Expenses,- -,8315662,12703750,13727508,19481246,30029293,30723368,39312000,45043000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,3317287,985549,1209632,2628685,5730648,2792000,-8421000
14,Depreciation and Amortization,- -,- -,5155,47494,584339,1319003,1928210,1727000,- -
15,EBITDA,- -,-8367085,-12969108,-13700737,-33355885,-28198369,-30870578,-29290000,-61021000
16,EBITDA ratio,- -,-Infinity,-50.1937,-96.8093,-7.6484,-6.3853,-5.3453,-3.1209,-14.0764
17,Operating Income,- -,-8315662,-12445369,-13585985,-34247060,-30823968,-28948111,-26647000,-40708000
18,Operating Income ratio,- -,-Infinity,-48.1667,-95.9984,-7.8527,-6.9798,-5.0124,-2.8393,-9.3905
19,Total Other Income Expenses (Gains),- -,-293913,-3846181,-1147795,-902796,-1322089,-9581325,-7162000,-11892000
20,Income Before Tax,- -,-8609575,-16291550,-14733780,-35149856,-32146057,-38529436,-33809000,-52600000
21,Income Before Tax Ratio,- -,-Infinity,-63.0524,-104.1087,-8.0597,-7.2792,-6.6715,-3.6025,-12.1338
22,Income Tax expense (Gain),- -,- -,- -,- -,-13181242,- -,10000,- -,- -
23,Net Income,- -,-8609575,-16291550,-14733780,-21968614,-32146057,-38539436,-33809000,-52600000
24,Net Income ratio,- -,-Infinity,-63.0524,-104.1087,-5.0373,-7.2792,-6.6732,-3.6025,-12.1338
25,EPS,- -,-6362.85,-8504.80,-4252.40,-1606.46,-459.89,-27.03,-3.00,-1.17
26,EPS Diluted,- -,-6362.85,-8504.80,-4252.40,-1606.46,-459.89,-27.03,-3.00,-1.17
27,Weighted Average Shares Outstanding,- -,1457,1953,3476,13789,69911,1655110,12880870,13406108
28,Weighted Average Shares Outstanding Diluted,- -,1457,1953,3476,13789,69911,1655110,12880870,13406108
