,https://roic.ai/company/FRG,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,84627000,85414000,109100000,147613000,159696000,162172000,173429000,173985000,174872000,132546000,2152504000,3255204000
2,COGS,37398000,- -,45148000,79027000,80842000,87884000,86988000,78149000,78893000,67938000,1160108000,1920799000
3,Gross Profit,47229000,85414000,63952000,68586000,78854000,74288000,86441000,95836000,95979000,64608000,992396000,1334405000
4,Gross Profit Ratio,0.5581,1.0000,0.5862,0.4646,0.4938,0.4581,0.4984,0.5508,0.5489,0.4874,0.4610,0.4099
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,17871000,45699000,25709000,31212000,34756000,40604000,43927000,58159000,69012000,42038000,- -,- -
7,Selling and Marketing Exp.,12872000,15078000,15346000,15293000,15124000,18308000,16420000,11073000,12326000,12532000,- -,- -
8,"Selling, General and Administrative Exp.",30743000,60777000,41055000,46505000,49880000,58912000,60347000,69232000,81338000,54570000,916274000,1108054000
9,Other Expenses,-5447000,6232000,-8106000,-8755000,-5847000,-8408000,-6394000,3283000,2090000,1552000,- -,- -
10,Operating Expenses,25296000,67009000,32949000,37750000,44033000,50504000,53953000,72515000,83428000,56122000,916274000,1108054000
11,COGS and Expenses,62694000,67009000,78097000,116777000,124875000,138388000,140941000,150664000,162321000,124060000,2076382000,3028853000
12,Interest Income ,- -,10110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1947000,1954000,1854000,2039000,1355000,1889000,2039000,2557000,3181000,3023000,101751000,133114000
14,Depreciation and Amortization,6389000,5855000,6560000,5750000,7836000,8499000,6872000,8325000,11454000,13631000,62543000,72765000
15,EBITDA,26220000,34445000,36219000,36586000,44827000,23889000,39389000,31649000,19116000,12659000,131388000,536129000
16,EBITDA ratio,0.3098,0.4033,0.3320,0.2479,0.2807,0.1473,0.2271,0.1819,0.1093,0.0955,0.0610,0.1647
17,Operating Income,16363000,28515000,29655000,30836000,34821000,15392000,32488000,23321000,7599000,-859000,76122000,226351000
18,Operating Income ratio,0.1934,0.3338,0.2718,0.2089,0.2180,0.0949,0.1873,0.1340,0.0435,-0.0065,0.0354,0.0695
19,Total Other Income Expenses (Gains),1521000,-1879000,-1850000,-2039000,815000,-1891000,-2010000,-2554000,-3118000,-3136000,-106938000,-67923000
20,Income Before Tax,17884000,26636000,27805000,28797000,35636000,13501000,30478000,20767000,4481000,-3995000,-30816000,158428000
21,Income Before Tax Ratio,0.2113,0.3118,0.2549,0.1951,0.2231,0.0833,0.1757,0.1194,0.0256,-0.0301,-0.0143,0.0487
22,Income Tax expense (Gain),6882000,10874000,10394000,11170000,13654000,4811000,11058000,7754000,4346000,-1839000,-57970000,-33538000
23,Net Income,11002000,15762000,17411000,17627000,21982000,8690000,19420000,13013000,135000,-2156000,25064000,363788000
24,Net Income ratio,0.1300,0.1845,0.1596,0.1194,0.1376,0.0536,0.1120,0.0748,0.0008,-0.0163,0.0116,0.1118
25,EPS,0.97,1.39,19.35,1.26,1.57,0.63,1.41,0.94,0.01,-0.16,0.70,8.83
26,EPS Diluted,0.97,1.39,19.35,1.25,1.51,0.61,1.38,0.94,0.01,-0.16,0.70,8.67
27,Weighted Average Shares Outstanding,11361258,11361258,900000,12783214,12991000,12738000,12814775,12895561,12928762,13800884,34531362,40199681
28,Weighted Average Shares Outstanding Diluted,11361258,11361258,900000,14072358,14537000,14295000,14024761,13916908,13977748,13800884,34971935,40964182
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1528930/000152893021000013/0001528930-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1528930/000152893022000004/0001528930-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,2112000,1662000,19848000,19013000,46080000,21387000,9906000,16427000,18522000,22983000,151502000,292714000
32,Short-Term Investments,- -,- -,- -,3619000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2112000,1662000,19848000,22632000,46080000,21387000,9906000,16427000,18522000,22983000,151502000,292714000
34,Net Receivables,57429000,66526000,77062000,71306000,65656000,65927000,71722000,74483000,66816000,67704000,90610000,118698000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,302307000,673170000
36,Other Current Assets,5041000,5243000,5369000,9195000,13796000,18551000,19220000,24757000,14370000,2405000,20772000,393630000
37,Total Current Assets,64582000,73431000,102279000,103133000,125532000,105865000,100848000,115667000,99708000,93092000,565191000,1478212000
38,PP&E,13127000,18228000,23948000,33037000,38343000,36232000,40957000,39789000,38636000,32676000,654381000,1164627000
39,Goodwill,1913000,1913000,1913000,5685000,2997000,3377000,4228000,8576000,8640000,6566000,456977000,806536000
40,Intangible Assets,16107000,17253000,22158000,10921000,14295000,14672000,16270000,21224000,22837000,19161000,134695000,350638000
41,Intangible Assets,18020000,19166000,24071000,16606000,17292000,18049000,20498000,29800000,31477000,25727000,591672000,1157174000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35249000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,343000,315000,- -,- -
44,Other Non-Current Assets,31157000,36968000,38443000,16754000,17596000,24000000,31028000,19012000,7839000,8191000,26417000,77909000
45,Total Non-Current Assets,62304000,74362000,86462000,66397000,73231000,78281000,92483000,88601000,78295000,66909000,1272470000,2434959000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,126886000,147793000,188741000,169530000,198763000,184146000,193331000,204268000,178003000,160001000,1837661000,3913171000
48,Accounts Payable,8384000,15625000,36063000,30202000,33259000,41661000,36641000,36096000,32427000,30954000,- -,- -
49,Short-Term Debt,2079000,1973000,2736000,3400000,6797000,3934000,5947000,7738000,18113000,13108000,237078000,659271000
50,Tax Payable,6579000,6778000,6689000,5897000,9676000,2147000,3581000,6442000,4511000,447000,- -,- -
