,https://roic.ai/company/ALC,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,6596000000,6792000000,7153000000,7508000000,6833000000,8291000000
2,COGS,3466000000,3588000000,3584000000,3846000000,3893000000,3639000000
3,Gross Profit,3130000000,3204000000,3569000000,3662000000,2940000000,4652000000
4,Gross Profit Ratio,0.4745,0.4717,0.4990,0.4877,0.4303,0.5611
5,Research and Development Exp.,482000000,488000000,574000000,656000000,673000000,842000000
6,General and Administrative Exp.,2526000000,2596000000,2790000000,2847000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2526000000,2596000000,2790000000,2847000000,2694000000,3076000000
9,Other Expenses,93000000,197000000,76000000,346000000,55000000,154000000
10,Operating Expenses,3101000000,3281000000,3440000000,3849000000,3422000000,4072000000
11,COGS and Expenses,6595000000,6869000000,7402000000,7695000000,7315000000,7711000000
12,Interest Income ,1000000,- -,- -,8000000,6000000,3000000
13,Interest Expense (Gain),-101000000,-37000000,-39000000,113000000,124000000,120000000
14,Depreciation and Amortization,1289000000,1334000000,1622000000,1425000000,1626000000,1219000000
15,EBITDA,1075000000,1583000000,1283000000,1206000000,1115000000,1757000000
16,EBITDA ratio,0.1630,0.2331,0.1794,0.1606,0.1632,0.2119
17,Operating Income,10000000,-77000000,-248000000,-187000000,-482000000,580000000
18,Operating Income ratio,0.0015,-0.0113,-0.0347,-0.0249,-0.0705,0.0700
19,Total Other Income Expenses (Gains),-123000000,-50000000,-52000000,-145000000,-153000000,-162000000
20,Income Before Tax,-113000000,-127000000,-300000000,-332000000,-635000000,418000000
21,Income Before Tax Ratio,-0.0171,-0.0187,-0.0419,-0.0442,-0.0929,0.0504
22,Income Tax expense (Gain),57000000,30000000,-73000000,324000000,-104000000,42000000
23,Net Income,-170000000,256000000,-227000000,-656000000,-531000000,376000000
24,Net Income ratio,-0.0258,0.0377,-0.0317,-0.0874,-0.0777,0.0454
25,EPS,-0.35,0.52,-0.64,-1.34,-1.09,0.77
26,EPS Diluted,-0.35,0.52,-0.64,-1.34,-1.09,0.77
27,Weighted Average Shares Outstanding,488700000,488700000,488700000,488200000,489000000,489000000
28,Weighted Average Shares Outstanding Diluted,488700000,488700000,488700000,488200000,489000000,489000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1167379/000162828020002214/0001628280-20-002214-index.html,https://www.sec.gov/Archives/edgar/data/1167379/000116737921000007/0001167379-21-000007-index.htm,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,172000000,227000000,822000000,1557000000,1575000000
32,Short-Term Investments,- -,- -,- -,33000000,12000000,3000000
33,Cash and Short-Term Investments,- -,172000000,227000000,855000000,1569000000,1578000000
