,https://roic.ai/company/REKR,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,11519460,9661800,12128406,22135818,48562441,19320000,9234000,14294000
2,COGS,6396620,5496720,6959514,13792473,34765781,9058000,3533000,9788000
3,Gross Profit,5122840,4165080,5168892,8343345,13796660,10262000,5701000,4506000
4,Gross Profit Ratio,0.4447,0.4311,0.4262,0.3769,0.2841,0.5312,0.6174,0.3152
5,Research and Development Exp.,- -,- -,- -,- -,- -,1429000,3185000,8292000
6,General and Administrative Exp.,4705790,3795680,5262768,12981744,18833280,14151000,12117000,22955000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,2222000,2247000,4474000
8,"Selling, General and Administrative Exp.",4705790,3795680,5262768,12981744,18833280,16373000,14364000,27429000
9,Other Expenses,302250,0,- -,- -,- -,- -,- -,3552000
10,Operating Expenses,5008040,3795680,5262768,12981744,18833280,17802000,17549000,39273000
11,COGS and Expenses,11404660,9292400,12222282,26774217,53599061,26860000,21082000,49061000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-20,- -,165079,213492,609461,4098000,1846000,89000
14,Depreciation and Amortization,79650,70270,51870,688955,1366312,1867000,1961000,3552000
15,EBITDA,194410,439670,-42006,-4433353,-3698476,-8400000,-10352000,-19322000
16,EBITDA ratio,0.0169,0.0455,-0.0035,-0.2003,-0.0762,-0.4348,-1.1211,-1.3518
17,Operating Income,114800,369400,-93876,-4638399,-5036620,-9089000,-11848000,-31215000
18,Operating Income ratio,0.0100,0.0382,-0.0077,-0.2095,-0.1037,-0.4704,-1.2831,-2.1838
19,Total Other Income Expenses (Gains),-20,- -,-165079,-697401,-637629,-5276000,-2091000,769000
20,Income Before Tax,114780,369400,-258955,-5335800,-5674249,-14365000,-13939000,-30446000
21,Income Before Tax Ratio,0.0100,0.0382,-0.0214,-0.2410,-0.1168,-0.7435,-1.5095,-2.1300
22,Income Tax expense (Gain),- -,- -,-219971,-294666,29250,47000,23000,3819000
23,Net Income,114780,369400,-38984,-5041134,-5703499,-14412000,-14182000,-26782000
24,Net Income ratio,0.0100,0.0382,-0.0032,-0.2277,-0.1174,-0.7460,-1.5358,-1.8737
25,EPS,0.01,0.03,-0.00,-0.46,-0.44,-0.85,-0.64,-1.11
26,EPS Diluted,0.01,0.03,-0.00,-0.46,-0.44,-0.85,-0.64,-1.11
27,Weighted Average Shares Outstanding,13934020,13934020,13933784,11767304,15409014,20033023,24192680,24192680
28,Weighted Average Shares Outstanding Diluted,13934020,13934020,13933784,11767304,15409014,20033023,24192680,24192680
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1697851/000165495418003839/0001654954-18-003839-index.htm,https://www.sec.gov/Archives/edgar/data/1697851/000119312519221464/0001193125-19-221464-index.htm,https://www.sec.gov/Archives/edgar/data/1697851/000165495420003502/0001654954-20-003502-index.htm,https://www.sec.gov/Archives/edgar/data/1697851/000165495421002727/0001654954-21-002727-index.htm,https://www.sec.gov/Archives/edgar/data/1697851/000143774922007845/0001437749-22-007845-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,632310,567870,2788587,1957212,2767183,1180000,20595000,25796000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,75000,- -
33,Cash and Short-Term Investments,632310,567870,2788587,1957212,2767183,1180000,20670000,25796000
34,Net Receivables,1627070,1734020,1997831,8182294,5264949,4831000,1378000,1173000
35,Inventory,- -,- -,- -,155716,72702,302000,1264000,1194000
36,Other Current Assets,96950,73750,81011,687966,425530,3917000,808000,2519000
37,Total Current Assets,2356330,2375640,4867429,10983188,8530364,10230000,24120000,30682000
38,PP&E,147030,134110,119069,648339,1467281,1265000,1473000,16092000
39,Goodwill,- -,- -,- -,3092616,3092616,6336000,6336000,53451000
40,Intangible Assets,- -,- -,- -,5468874,4834503,8244000,7038000,21406000
41,Intangible Assets,- -,- -,- -,8561490,7927119,14580000,13374000,74857000
42,Investments,- -,- -,- -,262140,- -,- -,75000,- -
43,Tax Assets,- -,- -,219982,- -,- -,- -,- -,- -
44,Other Non-Current Assets,39280,39280,276245,143583,130485,2917000,1360000,-26434000
45,Total Non-Current Assets,186310,173390,615296,9615552,9524885,18762000,16282000,64515000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2542640,2549030,5482725,20598740,18055249,28992000,40402000,95197000
48,Accounts Payable,378750,419480,577268,1390877,1593726,- -,3898000,- -
49,Short-Term Debt,- -,- -,- -,3663586,4130423,1894000,980000,1227000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,117636,207059,749000,1126000,- -
52,Other Current Liabilities,735490,547130,575203,3060512,2643027,7689000,-86000,12594000
53,Total Current Liabilities,1114240,966610,1152471,8232611,8574235,10332000,5918000,13821000
54,Long-Term Debt,- -,- -,457289,1405994,964733,20409000,1449000,10061000
55,Deferred Revenue,- -,- -,- -,- -,- -,775000,958000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,10000,24000,38000
57,Other Non-Current Liabilities,- -,52380,2326311,4449797,5060158,6501000,6862000,872000
58,Total Non-Current Liabilities,- -,52380,2783600,5855791,6024891,27695000,9293000,10971000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,969000,441000,- -
61,Total Liabilities,1114240,1018990,3936071,14088402,14599126,38027000,15211000,10971000
62,Preferred Stock,- -,- -,- -,2408610,24,- -,- -,- -
63,Common Stock,- -,- -,500,1447,1877,2000,3000,4000
64,Retained Earnings,830700,932330,-430395,-5833660,-12063791,-28408000,-43050000,-69883000
65,Other Comprehensive Income/Loss,- -,-469520,-515911,-633014,-978150,-807000,-1033000,- -
66,Other Total Stockholders Equity,597700,1067230,2492460,10566955,16496163,20178000,69271000,170966000
67,Total Stockholders Equity,1428400,1530040,1546654,6510338,3456123,-9035000,25191000,101087000
68,Total Liabilities And Stockholders Equity,2542640,2549030,5482725,20598740,18055249,28992000,40402000,112058000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-16861000
70,Total Liabilities & Equity,2542640,2549030,5482725,20598740,18055249,28992000,40402000,95197000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1697851/000165495418003839/0001654954-18-003839-index.htm,https://www.sec.gov/Archives/edgar/data/1697851/000119312519221464/0001193125-19-221464-index.htm,https://www.sec.gov/Archives/edgar/data/1697851/000165495420003502/0001654954-20-003502-index.htm,https://www.sec.gov/Archives/edgar/data/1697851/000165495421002727/0001654954-21-002727-index.htm,https://www.sec.gov/Archives/edgar/data/1697851/000143774922007845/0001437749-22-007845-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,114780,369400,-38984,-5041134,-5703499,-14412000,-14182000,-26782000
74,Depreciation and Amortization,79650,70270,51870,688955,1366312,1867000,1961000,3552000
75,Deferred Income Tax,- -,- -,-219982,-294666,- -,10000,14000,-3819000
76,Stock Based Compensation,- -,- -,26844,408465,464509,446000,796000,3909000
77,Change in Working Capital,-140590,166940,2305928,-964381,-2794448,-58129,18304000,-1341000
78,Accounts Receivable,- -,-106950,-263809,-158512,1442345,-5101000,-298000,300000
79,Inventory,- -,- -,- -,12056,83014,-229000,-962000,70000
80,Accounts Payable,- -,-40730,157786,-398315,202849,954000,889000,- -
81,Other Working Capital,1242090,1409030,3714958,2750577,-43871,-102000,18202000,16861000
82,Other Non-Cash Items,-10,-345950,-2261755,2035615,4614282,-9184871,-21956000,6448000
83,Cash Provided by Operating Activities,53830,260660,-136079,-3167146,-2052844,-21332000,-15063000,-18033000
84,CAPEX,-32070,-57340,-36833,-289657,-1079854,-806000,-1037000,-6272000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,1475000,250000,5188000,-47367000
89,Cash Used for Investing Activites,-32070,-57340,-36833,-289657,395146,-556000,5188000,-47367000
90,Debt Repayment,- -,- -,- -,-7111163,-43201019,-611000,-7266000,- -
91,Common Stock Issued,- -,- -,- -,- -,2796500,2949000,29930000,103000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-319000
93,Dividends Paid,- -,- -,-125615,-251509,-344724,-108000,- -,- -
94,Other Financing Activites,-319910,-267760,2519248,9988100,43216912,18763000,6354000,71208000
95,Cash Used/Provided by Financing Activities,-319910,-267760,2393633,2625428,2467669,20993000,29018000,70992000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-298150,-64440,2220721,-831375,809971,-902000,19143000,5592000
98,Cash at the End of Period,-298150,567870,2788587,1957212,2767183,1866000,21009000,26601000
99,Cash at the Beginning of Period,- -,632310,567866,2788587,1957212,2768000,1866000,21009000
100,Free Cash Flow,21760,203320,-172912,-3456803,-3132698,-22138000,-16100000,-24305000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1697851/000165495418003839/0001654954-18-003839-index.htm,https://www.sec.gov/Archives/edgar/data/1697851/000119312519221464/0001193125-19-221464-index.htm,https://www.sec.gov/Archives/edgar/data/1697851/000165495420003502/0001654954-20-003502-index.htm,https://www.sec.gov/Archives/edgar/data/1697851/000165495421002727/0001654954-21-002727-index.htm,https://www.sec.gov/Archives/edgar/data/1697851/000143774922007845/0001437749-22-007845-index.htm
102,false,,,,,,,,
