,https://roic.ai/company/RAPT,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,5042000,3813000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,5042000,- -
4,Gross Profit Ratio,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,25618000,31767000,34910000,45485000,56985000
6,General and Administrative Exp.,3713000,5180000,8719000,12771000,16037000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3713000,5180000,8719000,12771000,16037000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,29331000,36947000,43629000,58256000,73022000
11,COGS and Expenses,29331000,36947000,43629000,58256000,73022000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,1384000,1237000,1330000,1123000,996000
15,EBITDA,-27947000,-35710000,-42299000,-50779000,-68208000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-10.0712,-17.8883
17,Operating Income,-29331000,-36947000,-43629000,-53214000,-69209000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-10.5541,-18.1508
19,Total Other Income Expenses (Gains),216000,800000,1292000,1312000,5000
20,Income Before Tax,-29115000,-36147000,-42337000,-51902000,-69204000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-10.2939,-18.1495
22,Income Tax expense (Gain),- -,- -,660000,990000,- -
23,Net Income,-29115000,-36147000,-42997000,-52892000,-69204000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-10.4903,-18.1495
25,EPS,-2.01,-2.50,-9.89,-2.19,-2.53
26,EPS Diluted,-2.01,-2.50,-9.89,-2.19,-2.53
27,Weighted Average Shares Outstanding,14461086,14461086,4346400,24134305,27390326
28,Weighted Average Shares Outstanding Diluted,14461086,14461086,4346400,24134305,27390326
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1673772/000156459020014162/0001564590-20-014162-index.htm,https://www.sec.gov/Archives/edgar/data/1673772/000156459021012250/0001564590-21-012250-index.htm,https://www.sec.gov/Archives/edgar/data/1673772/000156459022009488/0001564590-22-009488-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,47517000,63798000,77383000,24918000,24027000
32,Short-Term Investments,- -,- -,- -,86592000,165627000
33,Cash and Short-Term Investments,47517000,63798000,77383000,111510000,189654000
34,Net Receivables,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,725000,1264000,3123000,4088000,3319000
37,Total Current Assets,48242000,65062000,80506000,115598000,192973000
38,PP&E,1913000,4159000,3707000,2982000,2741000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,86592000,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,236000,389000,389000,-86203000,2922000
45,Total Non-Current Assets,2149000,4548000,4096000,3371000,5663000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,50391000,69610000,84602000,118969000,198636000
48,Accounts Payable,1106000,1771000,1143000,2383000,1999000
49,Short-Term Debt,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,4000000,4096000,1016000
52,Other Current Liabilities,2142000,2872000,4113000,5263000,6580000
53,Total Current Liabilities,3248000,4643000,9256000,11742000,9595000
54,Long-Term Debt,- -,- -,- -,- -,- -
55,Deferred Revenue,905000,969000,2225000,- -,511000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,108643000,- -,- -,- -,2150000
58,Total Non-Current Liabilities,109548000,969000,2225000,- -,2661000
59,Other Liabilities,- -,- -,- -,3048000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,112796000,5612000,11481000,14790000,12256000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,1000,2000,2000,2000,3000
64,Retained Earnings,-82806000,-118953000,-161950000,- -,-284046000
65,Other Comprehensive Income/Loss,-3769000,-4969000,-6059000,-177000,-206000
66,Other Total Stockholders Equity,24169000,187918000,241128000,104354000,470629000
67,Total Stockholders Equity,-62405000,63998000,73121000,104179000,186380000
68,Total Liabilities And Stockholders Equity,50391000,69610000,84602000,118969000,198636000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,50391000,69610000,84602000,118969000,198636000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1673772/000156459020014162/0001564590-20-014162-index.htm,https://www.sec.gov/Archives/edgar/data/1673772/000156459021012250/0001564590-21-012250-index.htm,https://www.sec.gov/Archives/edgar/data/1673772/000156459022009488/0001564590-22-009488-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-29115000,-36147000,-42997000,-52892000,-69204000
74,Depreciation and Amortization,1384000,1237000,1330000,1123000,996000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,716000,1170000,2051000,8686000,9952000
77,Change in Working Capital,-114000,15425000,10831000,32606000,-4298000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-80000,1475000,736000,2390000,933000
81,Other Working Capital,44994000,60419000,71250000,103856000,-3467000
82,Other Non-Cash Items,6000,-14638000,-6689000,-30014000,1528000
83,Cash Provided by Operating Activities,-27123000,-32953000,-35474000,-40491000,-61026000
84,CAPEX,-1124000,-3500000,-888000,-398000,-755000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-139334000,-164977000
87,Sales/Maturities of Investments,- -,- -,- -,52297000,84385000
88,Other Investing Activites,- -,- -,45000,- -,- -
89,Cash Used for Investing Activites,-1124000,-3500000,-843000,-87435000,-81347000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,246000,266000,35523000,74565000,139460000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,29856000,52468000,14379000,896000,2022000
95,Cash Used/Provided by Financing Activities,30102000,52734000,49902000,75461000,141482000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,1855000,16281000,13585000,-52465000,-891000
98,Cash at the End of Period,47517000,63798000,77383000,24918000,24027000
99,Cash at the Beginning of Period,45662000,47517000,63798000,77383000,24918000
100,Free Cash Flow,-28247000,-36453000,-36362000,-40889000,-61781000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1673772/000156459020014162/0001564590-20-014162-index.htm,https://www.sec.gov/Archives/edgar/data/1673772/000156459021012250/0001564590-21-012250-index.htm,https://www.sec.gov/Archives/edgar/data/1673772/000156459022009488/0001564590-22-009488-index.htm
102,false,,,,,
