,https://roic.ai/company/TAK,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,923132000000,963480000000,1005060000000,1046081000000,1086431000000,1122960000000,1212207000000,1305167000000,1374802000000,1538336000000,1465965000000,1419385000000,1508932000000,1557267000000,1691685000000,1777824000000,1807378000000,1732051000000,1770531000000,2097224000000,3291188000000,3197812000000
2,COGS,432333000000,384013000000,337854000000,300344000000,269395000000,279179000000,282102000000,279662000000,278631000000,289543000000,285064000000,317582000000,433194000000,447628000000,490263000000,520990000000,535405000000,558755000000,495921000000,659690000000,1089764000000,994308000000
3,Gross Profit,490799000000,579467000000,667206000000,745737000000,817036000000,843781000000,930105000000,1025505000000,1096171000000,1248793000000,1180901000000,1101803000000,1075738000000,1109639000000,1201422000000,1256834000000,1271973000000,1173296000000,1274610000000,1437534000000,2201424000000,2203504000000
4,Gross Profit Ratio,0.5317,0.6014,0.6638,0.7129,0.7520,0.7514,0.7673,0.7857,0.7973,0.8118,0.8055,0.7763,0.7129,0.7126,0.7102,0.7070,0.7038,0.6774,0.7199,0.6854,0.6689,0.6891
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,341560000000,382096000000,345927000000,312303000000,325441000000,368298000000,492381000000,455833000000
6,General and Administrative Exp.,319356000000,- -,385963000000,- -,- -,- -,- -,- -,- -,834229000000,666683000000,640197000000,810711000000,811618000000,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,108096000000,94006000000,94522000000,- -,175516000000,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",319356000000,- -,385963000000,- -,- -,- -,- -,- -,- -,942325000000,760689000000,734719000000,810711000000,987134000000,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,- -,353365000000,- -,435051000000,445403000000,458503000000,527296000000,567005000000,673048000000,- -,1000000,- -,- -,- -,720589000000,1003992000000,795218000000,705126000000,707380000000,908871000000,1434335000000,1409360000000
10,Operating Expenses,319356000000,353365000000,385963000000,435051000000,445403000000,458503000000,527296000000,567005000000,673048000000,942325000000,760690000000,734719000000,810711000000,987134000000,1062149000000,1386088000000,1141145000000,1017429000000,1032821000000,1277169000000,1926716000000,1865193000000
11,COGS and Expenses,751689000000,737378000000,723817000000,735395000000,714798000000,737682000000,809398000000,846667000000,951679000000,1231868000000,1045754000000,1052301000000,1243905000000,1434762000000,1552412000000,1907078000000,1676550000000,1576184000000,1528742000000,1936859000000,3016480000000,2859501000000
12,Interest Income ,- -,9927000000,- -,10129000000,10896000000,18098000000,34211000000,56244000000,62063000000,11379000000,1976000000,1731000000,6296000000,16303000000,49297000000,15357000000,21645000000,12274000000,39543000000,6619000000,11202000000,1781000000
13,Interest Expense (Gain),1194000000,1020000000,759000000,420000000,359000000,334000000,365000000,247000000,333000000,1621000000,1429000000,1335000000,1883000000,3323000000,30720000000,32878000000,31931000000,23250000000,31928000000,48158000000,149010000000,130806000000
14,Depreciation and Amortization,33364000000,33605000000,28430000000,29962000000,28083000000,31226000000,28728000000,28820000000,31690000000,118081000000,114825000000,106722000000,150194000000,201106000000,215743000000,260951000000,197381000000,222787000000,182127000000,272446000000,583649000000,559671000000
15,EBITDA,235629000000,295628000000,399737000000,459629000000,471617000000,469229000000,543703000000,650716000000,606243000000,515438000000,529666000000,477251000000,401447000000,331793000000,402413000000,145651000000,346537000000,388810000000,431438000000,415612000000,671856000000,1056546000000
16,EBITDA ratio,0.2552,0.3068,0.3977,0.4394,0.4341,0.4179,0.4485,0.4986,0.4410,0.3351,0.3613,0.3362,0.2660,0.2131,0.2379,0.0819,0.1917,0.2245,0.2437,0.1982,0.2041,0.3304
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122505000000,139274000000,-129254000000,130828000000,155867000000,241789000000,204969000000,100408000000,509269000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0787,0.0823,-0.0727,0.0724,0.0900,0.1366,0.0977,0.0305,0.1593
19,Total Other Income Expenses (Gains),31321000000,36974000000,92184000000,121212000000,74511000000,55824000000,115148000000,166879000000,153719000000,92078000000,-4382000000,4488000000,-12549000000,7202000000,19577000000,-16183000000,-10289000000,-12521000000,-24584000000,-110073000000,-161162000000,-143034000000
20,Income Before Tax,202764000000,263076000000,373427000000,431898000000,446144000000,441102000000,517957000000,625379000000,576842000000,398546000000,415829000000,371572000000,252478000000,129707000000,158851000000,-145437000000,120539000000,143346000000,217205000000,94896000000,-60754000000,366235000000
21,Income Before Tax Ratio,0.2196,0.2730,0.3715,0.4129,0.4107,0.3928,0.4273,0.4792,0.4196,0.2591,0.2837,0.2618,0.1673,0.0833,0.0939,-0.0818,0.0667,0.0828,0.1227,0.0452,-0.0185,0.1145
