,https://roic.ai/company/CETY,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,6460000,6210000,6350000,9310000,6880000,7400000,2150000,2800000,4550000,4960000,3550000,3533500,2355020,2047330,957630,1331170,1610010,1406004
2,COGS,5090000,4990000,4950000,7020000,5110000,5820000,1680000,2000000,3150000,3580000,2580000,2741150,1686120,1283010,544750,810490,952780,- -
3,Gross Profit,1370000,1220000,1400000,2290000,1770000,1580000,470000,800000,1400000,1380000,970000,792350,668900,764320,412880,520680,657230,1406004
4,Gross Profit Ratio,0.2121,0.1965,0.2205,0.2460,0.2573,0.2135,0.2186,0.2857,0.3077,0.2782,0.2732,0.2242,0.2840,0.3733,0.4311,0.3911,0.4082,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,140000,140000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2080000,1970000,1820000,1880000,1430000,1390000,930000,730000,1170000,1310000,1370000,1756590,2371380,1962420,1616740,2044390,2070400,-480812
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2078109,1964325,1822824,1875295,1433827,1418904,930742,727838,1174600,1308463,1365978,1756587,2421508,2041117,1616735,2044392,1941935,1694483
9,Other Expenses,- -,- -,- -,- -,-1448,667,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41437,-2175295
10,Operating Expenses,2078109,1964325,1822824,1875295,1572379,1559571,930742,727838,1174600,1308463,1365978,1756587,2421508,2041117,1616735,2044392,1983372,-480812
11,COGS and Expenses,7170000,6950000,6910000,8890000,6680000,7380000,1900000,2730000,4320000,4890000,3950000,4497730,4539810,3342120,2161490,2854880,3064620,2641620
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-540000,-450000,-160000,-230000,-150000,-140000,-30000,-20000,136897,187883,293472,313254,385143,422541,1011000,-862536,1317643,1329230
14,Depreciation and Amortization,299691,241086,215020,234071,237851,68172,52762,40975,35683,43224,37980,42108,42122,41444,54650,52444,41437,32912
15,EBITDA,-1480309,-1128914,-574980,154071,457851,-191828,52762,260975,272580,111107,-318548,-879828,-2142665,-1235745,-1149200,-3620112,-1196900,-2073622
16,EBITDA ratio,-0.2291,-0.1818,-0.0905,0.0165,0.0665,-0.0259,0.0245,0.0932,0.0599,0.0224,-0.0897,-0.2490,-0.9098,-0.6036,-1.2000,-2.7195,-0.7434,-1.4748
17,Operating Income,-708053,-747906,-425134,415767,201099,18564,-457288,67819,228720,71510,-398874,-964231,-1752612,-1276795,-1203854,-1523710,-1454609,-1235616
18,Operating Income ratio,-0.1096,-0.1204,-0.0670,0.0447,0.0292,0.0025,-0.2127,0.0242,0.0503,0.0144,-0.1124,-0.2729,-0.7442,-0.6236,-1.2571,-1.1446,-0.9035,-0.8788
19,Total Other Income Expenses (Gains),-541947,-172094,-214866,-265767,168901,-138564,487288,172181,-118720,-191510,-251126,-270959,-817318,-422935,-1010996,-1286310,-1101371,-2200148
20,Income Before Tax,-1250000,-920000,-640000,150000,370000,-120000,30000,240000,110000,-120000,-650000,-1235190,-2569930,-1699730,-2214850,-2810020,-2555980,-3435764
