,https://roic.ai/company/VKIN,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,50000,1190000,1830000,2400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,- -,- -,95920,376830,1982020,7967970,34592850,- -
2,COGS,- -,30000,310000,250000,360000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49970,248290,1136880,3835550,12203780,- -
3,Gross Profit,- -,20000,880000,1580000,2040000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45950,128540,845140,4132420,22389070,- -
4,Gross Profit Ratio,- -,0.4000,0.7395,0.8634,0.8500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4790,0.3411,0.4264,0.5186,0.6472,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,150000,330000,1070000,1070000,- -,- -,- -,- -,- -,- -,- -,52024,25198,814317,465592,444328,566651,620087,1796035,8110490,9568852,6184560,4966059
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",150000,330000,1070000,1070000,- -,- -,- -,- -,- -,- -,- -,52024,25198,814317,465592,444328,566651,620087,1796035,8110490,9568852,6184560,4966059
9,Other Expenses,- -,140000,32594,76275,1894490,813096,537355,59413,66281,170950,147325,- -,- -,24675,- -,4227,- -,34352,121535,58075,86023,391482,76826052
10,Operating Expenses,150000,470000,1102594,1146275,1894490,813096,537355,59413,66281,170950,147325,52024,25198,838992,465592,448555,566651,654439,1917570,8168565,9654875,6576042,81792111
11,COGS and Expenses,150000,500000,1420000,1450000,2260000,820000,720000,60000,70000,170000,70000,50000,30000,840000,480000,450000,557170,905390,3525100,8675712,14511160,29716270,81792111
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5384,2527
13,Interest Expense (Gain),- -,- -,- -,- -,- -,9240,- -,- -,- -,29561,27332,- -,- -,- -,12322,2495,- -,297824,2483308,1604185,7880273,20963939,27019120
14,Depreciation and Amortization,- -,10000,27308,73046,32361,49960,84128,- -,- -,- -,- -,- -,- -,- -,- -,4227,5053,34352,98570,507150,1644690,10940212,13515177
15,EBITDA,-150000,-380000,-302692,453046,182361,-770000,-790000,-60000,-40000,-170000,80000,-50000,-30000,-3110000,-417678,-522495,-552120,-1564994,-2863312,20849665,-6503417,12513301,-28011596
16,EBITDA ratio,-Infinity,-7.6000,-0.2544,0.2476,0.0760,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-8.3536,-Infinity,-Infinity,-16.3156,-7.5984,10.5194,-0.8162,0.3617,-Infinity
17,Operating Income,-150000,-450000,-232769,433435,146564,-813096,-537355,-59413,-66281,-170950,-147325,-52024,-25198,-3637578,-418526,-448555,-566651,-608480,-3251134,-6693692,-7167145,4876585,-41525331
18,Operating Income ratio,-Infinity,-9.0000,-0.1956,0.2368,0.0611,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-8.3705,-Infinity,-Infinity,-6.3436,-8.6276,-3.3772,-0.8995,0.1410,-Infinity
19,Total Other Income Expenses (Gains),- -,60000,-97231,-53435,3436,-6904,-252645,-587,-3719,950,80000,2024,-4802,527578,-11474,-71445,-84819,-1288690,-2194056,25432022,-8861225,-24267435,-22462914
20,Income Before Tax,-150000,-390000,-330000,380000,150000,-820000,-790000,-60000,-70000,-170000,- -,-50000,-30000,-3110000,-430000,-520000,-651470,-1897170,-5445190,18738330,-16028370,-19390850,-63988245
21,Income Before Tax Ratio,-Infinity,-7.8000,-0.2773,0.2077,0.0625,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-8.6000,-Infinity,-Infinity,-19.7787,-14.4500,9.4542,-2.0116,-0.5605,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,910830,-910830,- -,- -
23,Net Income,-150000,-390000,-330000,380000,150000,-610000,-790000,-60000,-40000,-170000,80000,-50000,-30000,-3110000,-430000,-520000,-651470,-1897170,-5445190,17827500,-15117550,-19390850,-63988245
24,Net Income ratio,-Infinity,-7.8000,-0.2773,0.2077,0.0625,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-8.6000,-Infinity,-Infinity,-19.7787,-14.4500,8.9946,-1.8973,-0.5605,-Infinity
25,EPS,-1.00,-1.50,-9.00,9.00,4.50,-675.00,-13.50,-0.73,-0.45,-2.07,0.90,-0.45,-0.27,-7.56,-0.19,-0.24,-0.27,-0.27,-1.08,2.88,-1.62,-1.80,-2.42
26,EPS Diluted,-1.00,-1.50,-9.00,9.00,4.50,-675.00,-13.72,-0.73,-0.45,-2.07,0.90,-0.45,-0.27,-7.56,-0.19,-0.24,-0.27,-0.27,-1.08,2.88,-1.62,-1.80,-2.42
27,Weighted Average Shares Outstanding,150000,260000,35520,37651,38095,1037,57977,74631,80898,81280,87078,110628,110628,478457,2238132,2102464,2677169,2974174,5080106,6954369,9105550,10708854,26459005
28,Weighted Average Shares Outstanding Diluted,150000,260000,35520,37651,39299,1037,57977,74631,80898,81280,87078,110628,110628,478457,2238132,2102464,2677169,2974174,5080106,6954369,9105550,10708854,26459005
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1102432/000114036108008060/form10k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1102432/000147793213004332/0001477932-13-004332-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1102432/000147793214001885/0001477932-14-001885-index.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793215002243/0001477932-15-002243-index.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793216014081/0001477932-16-014081-index.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793217001789/0001477932-17-001789-index.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793218002059/0001477932-18-002059-index.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793219001357/0001477932-19-001357-index.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793220001647/vkin_10k.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793221001656/0001477932-21-001656-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,200000,500000,200000,- -,- -,- -,100000,- -,- -,- -,- -,200000,- -,1350,30590,18610,5735260,4009890,5638720,3976783
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,200000,500000,200000,- -,- -,- -,100000,- -,- -,- -,- -,200000,- -,1350,30590,18610,5735260,4009890,5638720,3976783
34,Net Receivables,- -,100000,500000,900000,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153880,143120,1122010,258300,2864110,4050631
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10,87520,- -,124450,169000,3862756
37,Total Current Assets,- -,100000,500000,1100000,1400000,200000,- -,- -,- -,100000,- -,- -,- -,- -,200000,- -,1350,184460,249250,6857270,4392640,8671830,11890170
38,PP&E,- -,100000,200000,200000,100000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,335170,516470,3002860,39327520,132025140,120252050,433168
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,300000,200000,200000,300000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,300000,200000,200000,300000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2267252,2267252,- -,68128,87156,106930,- -,- -,- -,- -
