,https://roic.ai/company/EVTN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,164000,195000,54000,83000,3000,19000,128070,310376,288431,103558000,464526000,652437000,2141163000,773368000,1191559,576780,1091343,562059,265160,1308762,2824083,79965
2,COGS,57000,19000,49000,18000,1000,- -,34444,134499,77246,116700000,58209000,132657000,819605000,389754000,484541,178992,448220,45474,112193,703271,1172874,47897
3,Gross Profit,107000,176000,5000,65000,2000,19000,93626,175877,211185,-13142000,406317000,519780000,1321558000,383614000,707018,397788,643123,516585,152967,605491,1651209,32068
4,Gross Profit Ratio,0.6524,0.9026,0.0926,0.7831,0.6667,1.0000,0.7311,0.5667,0.7322,-0.1269,0.8747,0.7967,0.6172,0.4960,0.5934,0.6897,0.5893,0.9191,0.5769,0.4626,0.5847,0.4010
5,Research and Development Exp.,95000,135000,148000,295000,589000,637000,730774,592181,603288,697302000,498624000,744343000,472171000,75009000,22421,- -,- -,- -,12705,- -,- -,2601
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,711667,1455458,- -,1796355,1031597,1118180,898525,936585,968972,1078327,1039548,1057857
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,711667,1455458,- -,1796355,1031597,1118180,898525,936585,968972,1078327,1039548,1057857
9,Other Expenses,663000,576000,408000,335000,751000,1111000,455999,421975,1525901,-695851566,-498125376,-743598657,-469810395,-74933991,- -,- -,- -,- -,-12705,- -,- -,-724282
10,Operating Expenses,758000,711000,556000,630000,1340000,1748000,1186773,1014156,2129189,1450434,1210291,2199801,2360605,1871364,1054018,1118180,898525,936585,968972,1078327,1039548,336176
11,COGS and Expenses,815000,730000,605000,648000,1341000,1748000,1221217,1148655,2206435,1450434000,1210291000,2332458000,2360605000,1871364000,1538559,1118180,898525,936585,968972,1078327,1039548,1060458
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,4748,- -,1173,266,19,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,76000,51000,10000,5000,13000,- -,- -,3776,13521,10779,7812,5242,8388,10148,14743,20018,24393,33325,24028,17624,10418
14,Depreciation and Amortization,116000,116000,105000,45000,32000,159000,2720,54020,11880,22648,22648,22617,22648,35301,22617,22618,22093,22035,22108,45059,86828,88110
15,EBITDA,-576000,-348000,70000,-511000,-1303000,-1570000,-1088285,-779511,-1906124,-1475887831,-814453573,-1687783571,-1044261110,-1496094311,-324383,-697774,-233309,-285764,3224103,-427777,698489,-932280
16,EBITDA ratio,-3.5122,-1.7846,1.2963,-6.1566,-434.3333,-82.6316,-8.4976,-2.5115,-6.6086,-14.2518,-1.7533,-2.5869,-0.4877,-1.9345,-0.2722,-1.2098,-0.2138,-0.5084,12.1591,-0.3269,0.2473,-11.6586
17,Operating Income,-651000,-535000,-551000,-565000,-1338000,-1729000,-1093147,-838279,-1918004,-1463576,-803974,-1680021,-1039047,-1487750,-347000,-720392,-255402,-420000,-816005,-472836,611661,-1028390
18,Operating Income ratio,-3.9695,-2.7436,-10.2037,-6.8072,-446.0000,-91.0000,-8.5355,-2.7008,-6.6498,-0.0141,-0.0017,-0.0026,-0.0005,-0.0019,-0.2912,-1.2490,-0.2340,-0.7473,-3.0774,-0.3613,0.2166,-12.8605
19,Total Other Income Expenses (Gains),-41000,-5000,516000,9000,3000,- -,2142,- -,- -,-1474460424,-813683026,-1686133979,-1043249953,-1494650250,-10148,-14743,-20018,-115793,2886675,-24028,-17624,-2418
20,Income Before Tax,-692000,-540000,- -,- -,- -,- -,- -,- -,- -,-1475924000,-814487000,-1687814000,-1044289000,-1496138000,-357148,-735135,-275420,-535793,2070670,-496864,594037,-1030808
21,Income Before Tax Ratio,-4.2195,-2.7692,- -,- -,- -,- -,- -,- -,- -,-14.2521,-1.7534,-2.5869,-0.4877,-1.9346,-0.2997,-1.2746,-0.2524,-0.9533,7.8091,-0.3796,0.2103,-12.8907
22,Income Tax expense (Gain),-34000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203601,1098000,- -,- -,- -
23,Net Income,-658000,-540000,-86000,-566000,-1340000,-1742000,-1091005,-833531,-1921780,-1475924000,-814487000,-1687814000,-1044289000,-1496138000,-357148,-735135,-275420,-535793,2070670,-496864,594037,-1030808
24,Net Income ratio,-4.0122,-2.7692,-1.5926,-6.8193,-446.6667,-91.6842,-8.5188,-2.6856,-6.6629,-14.2521,-1.7534,-2.5869,-0.4877,-1.9346,-0.2997,-1.2746,-0.2524,-0.9533,7.8091,-0.3796,0.2103,-12.8907
25,EPS,-1.00,-0.70,-0.10,-0.80,-0.90,-1.00,-0.60,-0.50,-1.10,-0.60,-0.30,-0.60,-0.30,-0.50,-0.10,-0.20,-0.10,-0.20,0.60,-0.10,0.20,-0.24
26,EPS Diluted,-1.00,-0.70,-0.10,-0.80,-0.90,-1.00,-0.60,-0.50,-1.10,-0.60,-0.30,-0.60,-0.30,-0.50,-0.10,-0.20,-0.10,-0.20,0.50,-0.10,0.10,-0.24
27,Weighted Average Shares Outstanding,683400,738300,743500,750900,1467445,1689937,1825780,1825780,1828280,2383278,2503709,2720176,3206934,3317978,3346449,3346449,3346449,3346449,3352200,3491737,3578449,4346815
28,Weighted Average Shares Outstanding Diluted,683400,738300,743500,750900,1467445,1689937,1825780,1987691,1828280,2383278,2503709,2720176,3206934,3317978,3346449,3346449,3346449,3346449,4313986,3491737,4591935,4346815
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1043894/000109991009000042/0001099910-09-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991010000023/0001099910-10-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991011000081/0001099910-11-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991012000111/0001099910-12-000111-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991013000077/0001099910-13-000077-index.html,https://www.sec.gov/Archives/edgar/data/1043894/000109991014000055/0001099910-14-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991015000051/0001099910-15-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991016000327/0001099910-16-000327-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991017000052/0001099910-17-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991018000024/0001099910-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991019000022/0001099910-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/1043894/000109991020000018/0001099910-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991021000039/0001099910-21-000039-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,167000,150000,221000,76691,390393,201066,31910000,59110000,442812000,147198000,425309000,135954,182916,73713,40973,1010434,1223863,674844,336564
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,167000,150000,221000,76691,390393,201066,31910000,59110000,442812000,147198000,425309000,135954,182916,73713,40973,1010434,1223863,674844,336564
34,Net Receivables,- -,- -,- -,10000,- -,- -,- -,61341,- -,25000000,- -,277636000,375463000,41580000,123072,24900,94277,1452,154104,4039,297755,1176
35,Inventory,- -,- -,- -,71000,70000,79000,126034,198146,295267,174581000,203158000,206563000,327314000,315755000,218027,420110,96235,76897,171434,376318,117984,113335
36,Other Current Assets,- -,- -,- -,5000,5000,3000,- -,- -,- -,-20000,- -,- -,- -,21000000,- -,5825,- -,- -,15721,207250,20579,12174
37,Total Current Assets,- -,- -,- -,253000,225000,303000,202725,649880,496333,231471000,262268000,927011000,849975000,803644000,477053,633751,264225,119322,1351693,1811470,1111162,463249
38,PP&E,- -,- -,- -,78000,46000,35000,5338,4755,226242,203594000,180946000,158329000,135681000,100380000,77763,55145,33052,11017,439495,394436,349377,312468
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
