,https://roic.ai/company/FENG,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,222626000,262347000,528695543,950592000,1111004000,1424475000,1637860000,1609196000,1444907000,1575092000,1377379000,1531062000,1208845000,1030331000
2,COGS,163502000,170062000,299422702,554676000,631299000,696355000,781632000,829386000,726807000,727197000,596548000,768302000,559286000,597397000
3,Gross Profit,59124000,92285000,229272841,395916000,479705000,728120000,856228000,779810000,718100000,847895000,780831000,762760000,649559000,432934000
4,Gross Profit Ratio,0.2656,0.3518,0.4337,0.4165,0.4318,0.5111,0.5228,0.4846,0.4970,0.5383,0.5669,0.4982,0.5373,0.4202
5,Research and Development Exp.,17104000,16579000,31012453,69021000,91292000,108683000,149996000,170714000,161880000,192325000,204723000,242757000,171989000,158586000
6,General and Administrative Exp.,37613000,27727000,39955184,77078000,106736000,97849000,137818000,183989000,181677000,146923000,162568000,271788000,277931000,334189000
7,Selling and Marketing Exp.,33855000,46364000,76151842,164082000,197038000,273399000,330777000,346133000,339171000,493664000,537562000,615783000,279429000,276254000
8,"Selling, General and Administrative Exp.",71468000,74091000,116107026,241160000,303774000,371248000,468595000,530122000,520848000,640587000,700130000,887571000,557360000,610443000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,88572000,90670000,147119479,310181000,395066000,479931000,618591000,700836000,682728000,832912000,904853000,1130328000,729349000,769029000
11,COGS and Expenses,252074000,260732000,446542181,864857000,1026365000,1176286000,1400223000,1530222000,1409535000,1560109000,1501401000,1898630000,1288635000,1366426000
12,Interest Income ,- -,- -,581942,9682000,32869000,32775000,46535000,27906000,35113000,54286000,47445000,28407000,35421000,47304000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,7061000,22221000,13544000,5089000,- -,- -
14,Depreciation and Amortization,- -,- -,8117398,12292000,21130000,31465000,36323000,45473000,41952000,35618000,32471000,112332000,78911000,- -
15,EBITDA,-28302000,1947000,92699267,129913000,145466000,348607000,347791000,144574000,143713000,110094000,2898000,865491000,478257000,-185120000
16,EBITDA ratio,-0.1271,0.0074,0.1753,0.1367,0.1309,0.2447,0.2123,0.0898,0.0995,0.0699,0.0021,0.5653,0.3956,-0.1797
17,Operating Income,-29448000,1615000,82153362,85735000,84639000,248189000,237637000,78974000,35372000,14983000,-124022000,-305517000,-102576000,-336095000
18,Operating Income ratio,-0.1323,0.0062,0.1554,0.0902,0.0762,0.1742,0.1451,0.0491,0.0245,0.0095,-0.0900,-0.1995,-0.0849,-0.3262
19,Total Other Income Expenses (Gains),1146000,332000,2428507,31886000,39697000,67422000,72859000,18928000,56937000,34224000,78515000,1049760000,549198000,83610000
20,Income Before Tax,-28302000,1947000,84581869,117621000,124336000,315611000,310496000,97902000,92309000,49207000,-45507000,744243000,446622000,-252485000
21,Income Before Tax Ratio,-0.1271,0.0074,0.1600,0.1237,0.1119,0.2216,0.1896,0.0608,0.0639,0.0312,-0.0330,0.4861,0.3695,-0.2451
22,Income Tax expense (Gain),-149000,1660000,10498612,15146000,16977000,37588000,48377000,25517000,14089000,14783000,20105000,20241000,18977000,20581000
23,Net Income,-28153000,287000,74083257,102475000,107359000,279554000,263091000,73584000,80611000,37472000,-63222000,727829000,380369000,-205701000
24,Net Income ratio,-0.1265,0.0011,0.1401,0.1078,0.0966,0.1963,0.1606,0.0457,0.0558,0.0238,-0.0459,0.4754,0.3147,-0.1996
25,EPS,-0.72,-0.80,-4.08,-13.04,1.36,3.68,3.52,1.04,1.12,0.56,-0.88,10.00,5.20,-2.80
