,https://roic.ai/company/NICE,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,21000000,39800000,69300000,91000000,123601000,153163000,127108000,162505000,224258000,252643000,311110000,409644000,517374000,624162000,583115000,689451000,793831000,879012000,949284000,1011639000,926867000,1015542000,1332152000,1444519000,1573912000,1648016000,1921150000
2,COGS,10000000,16800000,30400000,38700000,45087000,74802000,73767000,84747000,106315000,114308000,136226000,174214000,206342000,238746000,237205000,269075000,307305000,351223000,364948000,375583000,303582000,337733000,468673000,496815000,531768000,561952000,624456000
3,Gross Profit,11000000,23000000,38900000,52300000,78514000,78361000,53341000,77758000,117943000,138335000,174884000,235430000,311032000,385416000,345910000,420376000,486526000,527789000,584336000,636056000,623285000,677809000,863479000,947704000,1042144000,1086064000,1296694000
4,Gross Profit Ratio,0.5238,0.5779,0.5613,0.5747,0.6352,0.5116,0.4197,0.4785,0.5259,0.5476,0.5621,0.5747,0.6012,0.6175,0.5932,0.6097,0.6129,0.6004,0.6156,0.6287,0.6725,0.6674,0.6482,0.6561,0.6621,0.6590,0.6750
5,Research and Development Exp.,- -,- -,7400000,10800000,13825000,21498000,19190000,17925000,22833000,24866000,30896000,44880000,59632000,78445000,77382000,97083000,109127000,121387000,136563000,148560000,128485000,141528000,181107000,183830000,193718000,218182000,271187000
6,General and Administrative Exp.,10400000,17600000,21800000,33400000,42151000,61364000,62189000,64300000,83541000,93441000,110571000,155653000,205681000,107248000,72791000,76345000,95650000,96134000,88304000,85602000,90349000,116569000,129071000,153323000,168022000,180733000,225406000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147879000,141526000,178407000,199044000,230162000,248618000,264207000,225817000,268349000,361328000,370659000,399304000,445102000,536192000
8,"Selling, General and Administrative Exp.",10400000,17600000,21800000,33400000,42151000,61364000,62189000,64300000,83541000,93441000,110571000,155653000,205681000,255127000,214317000,254752000,294694000,326296000,336922000,349809000,316166000,384918000,490399000,523982000,567326000,625835000,761598000
9,Other Expenses,700000,1100000,- -,- -,7005000,6786000,17967000,29092000,7082000,- -,137533000,179467000,215687000,243428000,253301000,288165000,331179000,385317000,272515000,267631000,316349000,354554000,510494000,539188000,573956000,- -,- -
10,Operating Expenses,11100000,18700000,29200000,44200000,62981000,89648000,99346000,111317000,113456000,118307000,279000000,380000000,481000000,577000000,545000000,640000000,735000000,833000000,746000000,766000000,761000000,881000000,1182000000,1247000000,1335000000,844017000,1032785000
11,COGS and Expenses,21100000,35500000,59600000,82900000,108068000,164450000,173113000,196064000,219771000,232615000,279024000,379665000,480830000,586811000,544916000,640399000,734803000,831496000,869004000,894262000,760761000,881366000,1182081000,1246903000,1335195000,1405969000,1657241000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12548000,1962000,13038000,11511000,6846000,6307000,5617000,7274000,6560000,3686000,11299000,20533000,19139000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,613000,705000,3903000,930000,103000,182000,73000,66000,2199000,15858000,18059000,18836000,17418000,- -
14,Depreciation and Amortization,700000,1100000,- -,- -,7005000,11853000,15289000,11508000,19088000,14998000,13964000,22197000,30931000,42740000,47217000,57110000,66958000,95477000,91355000,73349000,57964000,77801000,156301000,157142000,173230000,182026000,184092000
15,EBITDA,1200000,6300000,-3100000,4800000,22188000,6807000,-31308000,-22124000,27384000,41872000,51435000,53189000,78565000,91940000,93718000,119046000,136772000,149480000,175217000,188447000,347693000,218332000,301819000,361916000,426339000,436959000,424711000
16,EBITDA ratio,0.0571,0.1583,-0.0447,0.0527,0.1795,0.0444,-0.2463,-0.1361,0.1221,0.1657,0.1653,0.1298,0.1519,0.1473,0.1607,0.1727,0.1723,0.1701,0.1846,0.1863,0.3751,0.2150,0.2266,0.2505,0.2709,0.2651,0.2211
17,Operating Income,-100000,4300000,9700000,8100000,15533000,-11287000,-46005000,-33559000,4487000,20028000,32086000,17097000,32834000,37351000,38199000,49052000,59028000,45632000,79753000,111825000,166106000,134176000,150071000,197616000,238717000,242047000,263909000
