,https://roic.ai/company/RVNC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,557000,717000,617000,383000,300000,300000,262000,3729000,413000,15325000,77798000
2,COGS,5000,- -,- -,- -,- -,- -,- -,- -,- -,4769000,23410000
3,Gross Profit,552000,717000,617000,- -,- -,- -,- -,- -,- -,10556000,54388000
4,Gross Profit Ratio,0.9910,1.0000,1.0000,- -,- -,- -,- -,- -,- -,0.6888,0.6991
5,Research and Development Exp.,22735000,32708000,27831000,33390000,47529000,50381000,80361000,92500000,102861000,125795000,116255000
6,General and Administrative Exp.,- -,- -,- -,19043000,25088000,29075000,37398000,53863000,62011000,149743000,28307000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166420000
8,"Selling, General and Administrative Exp.",- -,- -,- -,19043000,25088000,29075000,37398000,53863000,62011000,149743000,194727000
9,Other Expenses,5555000,11195000,11011000,- -,- -,- -,- -,- -,- -,8180000,18082000
10,Operating Expenses,28290000,43903000,38842000,52433000,72617000,79456000,117759000,146363000,164872000,283718000,329064000
11,COGS and Expenses,28295000,43903000,38842000,52433000,72617000,79456000,117759000,146363000,164872000,288487000,352474000
12,Interest Income ,15000,7000,2000,44000,231000,1170000,1410000,4023000,5532000,4322000,337000
13,Interest Expense (Gain),17790000,28959000,15164000,10672000,1190000,1082000,457000,44000,- -,15148000,6273000
14,Depreciation and Amortization,1983000,1777000,1881000,2051000,1995000,1445000,1468000,1726000,2909000,10250000,19853000
15,EBITDA,-25090000,-27523000,-35403000,-50194000,-70291000,-86743000,-118662000,-137798000,-156520000,-259311000,-255184000
16,EBITDA ratio,-45.0449,-38.3863,-57.3793,-131.0548,-234.3033,-289.1433,-452.9084,-36.9531,-378.9831,-16.9208,-3.2801
17,Operating Income,-27738000,-43186000,-38225000,-52050000,-72317000,-88215000,-120424000,-142634000,-164459000,-273162000,-274676000
18,Operating Income ratio,-49.7989,-60.2315,-61.9530,-135.9008,-241.0567,-294.0500,-459.6336,-38.2499,-398.2058,-17.8246,-3.5306
19,Total Other Income Expenses (Gains),-17125000,-15073000,-14223000,-10867000,-1159000,-1055000,-163000,3066000,5030000,-11547000,-6634000
20,Income Before Tax,-44863000,-58259000,-52448000,-62917000,-73476000,-89270000,-120587000,-139568000,-159429000,-284709000,-281310000
21,Income Before Tax Ratio,-80.5440,-81.2538,-85.0049,-164.2742,-244.9200,-297.5667,-460.2557,-37.4277,-386.0266,-18.5781,-3.6159
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,3000000,- -,-2620000,- -
23,Net Income,-44863000,-58259000,-52448000,-62917000,-73476000,-89270000,-120587000,-142568000,-159429000,-282089000,-281310000
24,Net Income ratio,-80.5440,-81.2538,-85.0049,-164.2742,-244.9200,-297.5667,-460.2557,-38.2322,-386.0266,-18.4071,-3.6159
25,EPS,-6.25,-27.20,-2.96,-3.24,-3.02,-3.18,-4.01,-3.94,-3.67,-4.86,-4.17
26,EPS Diluted,-6.25,-27.20,-2.96,-3.24,-3.02,-3.18,-4.01,-3.94,-3.67,-4.86,-4.17
27,Weighted Average Shares Outstanding,7176794,2146617,17744416,19391523,24340466,28114784,30101125,36171582,43460804,58009162,67507818
28,Weighted Average Shares Outstanding Diluted,7176794,2146617,17744416,19391523,24340466,28114784,30101125,36171582,43460804,58009162,67507818
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1479290/000162828015001461/0001628280-15-001461-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929016000031/0001479290-16-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929017000013/0001479290-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929018000038/0001479290-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929019000030/0001479290-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929020000042/0001479290-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929021000057/0001479290-21-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929022000034/0001479290-22-000034-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,29621000,4083000,3914000,171032000,201615000,63502000,282896000,73256000,171160000,333558000,110623000
32,Short-Term Investments,- -,- -,- -,- -,50688000,122026000,- -,102556000,118955000,102947000,114448000
33,Cash and Short-Term Investments,29621000,4083000,3914000,171032000,252303000,185528000,282896000,175812000,290115000,436505000,225071000
34,Net Receivables,- -,- -,225000,300000,158000,6026000,48000,27000000,- -,1829000,3348000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,5876000,10154000
36,Other Current Assets,498000,1322000,675000,1399000,1502000,1141000,2267000,5110000,6487000,5793000,7544000
37,Total Current Assets,30119000,5405000,4814000,172731000,253963000,192695000,285211000,207922000,296602000,450003000,246117000
38,PP&E,8439000,6980000,14315000,19274000,19708000,10585000,9250000,14449000,41286000,47131000,69001000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,146964000,146964000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,71343000,55334000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,218307000,202298000
42,Investments,- -,- -,- -,- -,1751000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1370000,1038000,3516000,464000,400000,1080000,1238000,3977000,2399000,4779000,13747000
45,Total Non-Current Assets,9809000,8018000,17831000,19738000,21859000,11665000,10488000,18426000,43685000,270217000,285046000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,39928000,13423000,22645000,192469000,275822000,204360000,295699000,226348000,340287000,720220000,531163000
48,Accounts Payable,777000,1805000,5526000,3149000,2657000,3754000,6805000,8434000,8010000,12657000,10603000
49,Short-Term Debt,- -,- -,- -,2635000,- -,- -,- -,- -,- -,2635000,4746000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,500000,- -,83000,- -,- -,- -,- -,8588000,7911000,7851000,9362000
52,Other Current Liabilities,7578000,116130000,41952000,4452000,9380000,15893000,14097000,14948000,25058000,37821000,42578000
53,Total Current Liabilities,8855000,117935000,47561000,10236000,12037000,19647000,20902000,31970000,40979000,60964000,67289000
54,Long-Term Debt,63492000,10995000,2632000,- -,- -,- -,- -,- -,- -,180526000,319766000
55,Deferred Revenue,10000000,- -,- -,- -,- -,- -,- -,42684000,47948000,77294000,74152000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,113063000,101220000,130001000,5864000,10533000,7642000,5952000,6072000,25870000,27146000,1485000
58,Total Non-Current Liabilities,186555000,112215000,132633000,5864000,10533000,7642000,5952000,48756000,73818000,284966000,395403000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,2038000,945000,5000,905000,8481000,5347000,1872000,- -,29340000,31583000,43877000
