,https://roic.ai/company/ADUS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,194567000,236306000,259305000,271732000,273100000,244315000,265941000,312942000,336815000,400688000,425715000,518119000,648791000,764775000,864499000
2,COGS,139268000,167254000,182693000,191853000,191305000,180264000,198202000,229207000,245492000,294593000,310119000,379843000,469553000,538538000,594651000
3,Gross Profit,55299000,69052000,76612000,79879000,81795000,64051000,67739000,83735000,91323000,106095000,115596000,138276000,179238000,226237000,269848000
4,Gross Profit Ratio,0.2842,0.2922,0.2955,0.2940,0.2995,0.2622,0.2547,0.2676,0.2711,0.2648,0.2715,0.2669,0.2763,0.2958,0.3121
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,44233000,52112000,59924000,63841000,- -,46362000,50118000,61834000,70452000,84213000,76902000,105025000,133569000,169679000,189418000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",44233000,52112000,59924000,63841000,- -,46362000,50118000,61834000,70452000,84213000,76902000,105025000,133569000,169679000,189418000
9,Other Expenses,6029000,6092000,4913000,4046000,70011000,2521000,2160000,3830000,4717000,6647000,14922000,8914000,10917000,12051000,14494000
10,Operating Expenses,50262000,58204000,64837000,67887000,70011000,48883000,52278000,65664000,75169000,90860000,91824000,113939000,144486000,181730000,203912000
11,COGS and Expenses,189530000,225458000,247530000,259740000,261316000,229147000,250480000,294871000,320661000,385453000,401943000,493782000,614039000,720268000,798563000
12,Interest Income ,144000,51000,- -,- -,2263000,155000,188000,18000,47000,2812000,66000,2592000,1523000,624000,268000
13,Interest Expense (Gain),4952000,5806000,6773000,- -,2524000,1723000,674000,698000,786000,2332000,4472000,5016000,3105000,3189000,5806000
14,Depreciation and Amortization,6029000,6092000,4913000,4046000,3554000,2544000,2160000,3830000,4717000,6647000,6663000,8642000,10574000,12051000,14494000
15,EBITDA,11210000,16991000,16688000,13034000,1612000,16709000,25791000,22199000,21058000,24997000,33332000,35659000,46275000,57182000,80698000
16,EBITDA ratio,0.0576,0.0719,0.0644,0.0480,0.0059,0.0684,0.0970,0.0709,0.0625,0.0624,0.0783,0.0688,0.0713,0.0748,0.0933
17,Operating Income,5037000,10848000,11775000,11992000,-4205000,15663000,15461000,18071000,16024000,15235000,26239000,24299000,34752000,44507000,65936000
18,Operating Income ratio,0.0259,0.0459,0.0454,0.0441,-0.0154,0.0641,0.0581,0.0577,0.0476,0.0380,0.0616,0.0469,0.0536,0.0582,0.0763
19,Total Other Income Expenses (Gains),-4808000,-5755000,-6773000,-3004000,-261000,-1568000,-486000,-680000,-739000,686000,-4189000,-2424000,-1582000,-2565000,-5538000
20,Income Before Tax,229000,5093000,5002000,8988000,-4466000,14095000,14975000,17391000,15285000,15921000,22050000,21875000,33170000,41942000,60398000
21,Income Before Tax Ratio,0.0012,0.0216,0.0193,0.0331,-0.0164,0.0577,0.0563,0.0556,0.0454,0.0397,0.0518,0.0422,0.0511,0.0548,0.0699
22,Income Tax expense (Gain),32000,1070000,1400000,2960000,-2485000,4807000,3812000,5428000,3932000,3994000,8589000,4498000,7359000,8809000,15272000
23,Net Income,197000,4023000,3602000,6028000,-1981000,7635000,19145000,12243000,11623000,12024000,13608000,17503000,25237000,33133000,45126000
24,Net Income ratio,0.0010,0.0170,0.0139,0.0222,-0.0073,0.0313,0.0720,0.0391,0.0345,0.0300,0.0320,0.0338,0.0389,0.0433,0.0522
