,https://roic.ai/company/TLRY,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,443703,6466448,15171308,28629592,175247598,390996129,513085000
2,COGS,- -,- -,- -,-195867,1883444,2331500,-3078784,119504065,253313820,389903000
3,Gross Profit,- -,- -,- -,639570,4583003,12839808,31708376,55743533,137682309,123182000
4,Gross Profit Ratio,- -,- -,- -,1.4414,0.7087,0.8463,1.1075,0.3181,0.3521,0.2401
5,Research and Development Exp.,- -,- -,- -,55945,168991,365523,380001,1028086,1851385,830000
6,General and Administrative Exp.,98511,45338,113600,5328393,2213851,5253318,24641907,70829268,88299076,111575000
7,Selling and Marketing Exp.,- -,- -,- -,579516,2759021,4946527,9207659,20673319,29923508,44115000
8,"Selling, General and Administrative Exp.",98511,45338,113600,5907910,4972872,10199845,33849566,91502587,118222584,155690000
9,Other Expenses,- -,- -,10888,45629,277370,709662,3090417,10409460,15678372,35221000
10,Operating Expenses,98511,45338,124488,6009484,5419233,11275030,37319984,102940133,135752341,191741000
11,COGS and Expenses,98511,45338,124488,5813617,7302677,13606530,34241200,222444198,389066161,581644000
12,Interest Income ,2082,3349,2713,104789,215829,827913,4933810,10606061,5788461,2926000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,287340,1046942,5746489,24783176,30903000
14,Depreciation and Amortization,- -,- -,- -,306470,952178,1941576,6678000,22940000,49271000,67832000
15,EBITDA,-98511,-45338,-124488,-4958654,337240,5444683,35531715,17123296,15861727,-277658000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-11.1756,0.0522,0.3589,1.2411,0.0977,0.0406,-0.5412
17,Operating Income,-98511,- -,- -,-2732245,-836230,-1033241,-9638068,-107283814,-47623408,-132171000
18,Operating Income ratio,-Infinity,- -,- -,-6.1578,-0.1293,-0.0681,-0.3366,-0.6122,-0.1218,-0.2576
19,Total Other Income Expenses (Gains),2082,3349,2713,-2532879,221292,4249008,37444842,95720621,-10569041,-212815000
20,Income Before Tax,-96428,-41989,-121775,-5265124,-614938,3215767,27806773,-11563193,-58192449,-344986000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-11.8663,-0.0951,0.2120,0.9713,-0.0660,-0.1488,-0.6724
22,Income Tax expense (Gain),- -,- -,- -,- -,-920062,99290,4969484,631190,2823938,-8972000
23,Net Income,-96428,-41989,-121775,-5265124,305124,3116477,22837290,-12194383,-61016387,-367421000
