,https://roic.ai/company/SNRG,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , 
1,Revenue,15721,273376,1000106,1384193,1604606
2,COGS,50847,392256,868594,1153340,1524240
3,Gross Profit,-35126,-118880,131512,230853,80366
4,Gross Profit Ratio,-2.2343,-0.4349,0.1315,0.1668,0.0501
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,432346,1103412,3633294,2026955,1154377
7,Selling and Marketing Exp.,- -,- -,- -,253915,- -
8,"Selling, General and Administrative Exp.",432346,1103412,3633294,2280870,1154377
9,Other Expenses,69525,-21771,32025,9644,11207
10,Operating Expenses,501871,1081641,3665319,2290514,1165584
11,COGS and Expenses,552718,1473897,4533913,3443854,2689824
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),14532,168900,360209,587219,1151877
14,Depreciation and Amortization,726,93676,395780,421643,509951
15,EBITDA,-536271,-1949905,-3138027,-1886323,-490363
16,EBITDA ratio,-34.1118,-7.1327,-3.1377,-1.3628,-0.3056
17,Operating Income,-536997,-1200521,-3533807,-2059661,-1085218
18,Operating Income ratio,-34.1579,-4.3915,-3.5334,-1.4880,-0.6763
19,Total Other Income Expenses (Gains),-14532,-1011960,-360209,-835524,-1066973
20,Income Before Tax,-551529,-2212481,-3894016,-2895185,-2152191
21,Income Before Tax Ratio,-35.0823,-8.0932,-3.8936,-2.0916,-1.3413
22,Income Tax expense (Gain),- -,- -,- -,- -,-139877
23,Net Income,-551529,-2212481,-3894016,-2895185,-2012314
24,Net Income ratio,-35.0823,-8.0932,-3.8936,-2.0916,-1.2541
25,EPS,-0.01,-0.05,-0.10,-0.07,-0.03
26,EPS Diluted,-0.01,-0.05,-0.10,-0.07,-0.03
27,Weighted Average Shares Outstanding,40247531,40247531,39466561,43934530,67820781
28,Weighted Average Shares Outstanding Diluted,40247531,40247531,39466561,43934530,67820781
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1652539/000106299319001496/0001062993-19-001496-index.html,https://www.sec.gov/Archives/edgar/data/1652539/000106299320001675/0001062993-20-001675-index.htm,https://www.sec.gov/Archives/edgar/data/1652539/000106299321003657/0001062993-21-003657-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,1774,126117,42711,7926,6457
32,Short-Term Investments,148960,- -,- -,- -,- -
33,Cash and Short-Term Investments,150734,126117,42711,7926,6457
34,Net Receivables,25211,192194,129981,180478,- -
35,Inventory,- -,53964,18550,5389,24740
36,Other Current Assets,19586,53719,23172,513826,496701
37,Total Current Assets,195531,425994,214414,707619,527898
38,PP&E,880,3864588,3361110,4762453,- -
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,1670,147100,135189,237271,188180
41,Intangible Assets,1670,147100,135189,237271,188180
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -
45,Total Non-Current Assets,2550,4011688,3496299,4999724,188180
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,198081,4437682,3710713,5707343,716078
48,Accounts Payable,292595,413442,353728,958313,1073454
49,Short-Term Debt,- -,- -,3929353,7199706,375140
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,12494,4790
52,Other Current Liabilities,390639,2251463,762281,740848,8904828
53,Total Current Liabilities,683234,2664905,5045362,8911361,10358212
54,Long-Term Debt,- -,2332535,- -,3859401,6327520
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,160580,207599,- -,- -
58,Total Non-Current Liabilities,- -,2493115,207599,3859401,6327520
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,219784,288708,218069,375140
61,Total Liabilities,683234,5158020,5252961,8911361,161041
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,2004407,3576111,4031,5180,8288
64,Retained Earnings,-2447815,-4660296,-8554312,-11449497,- -
65,Other Comprehensive Income/Loss,- -,-97810,-465492,-911955,-354211
66,Other Total Stockholders Equity,-41745,461657,7473525,9152254,-4415027
67,Total Stockholders Equity,-485153,-720338,-1542248,-3204018,-4760950
68,Total Liabilities And Stockholders Equity,198081,4437682,3710713,5707343,-4599909
69,Minority Interest,- -,- -,- -,- -,5315987
70,Total Liabilities & Equity,198081,4437682,3710713,5707343,716078
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1652539/000106299319001496/0001062993-19-001496-index.html,https://www.sec.gov/Archives/edgar/data/1652539/000106299320001675/0001062993-20-001675-index.htm,https://www.sec.gov/Archives/edgar/data/1652539/000106299321003657/0001062993-21-003657-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-551529,-2212481,-3894016,-2895185,-2012314
74,Depreciation and Amortization,726,93676,395780,421643,509951
75,Deferred Income Tax,- -,- -,- -,- -,-120918
76,Stock Based Compensation,- -,360250,2350000,1039600,57020
77,Change in Working Capital,220713,-1751208,-2592037,-3372794,-1626572
78,Accounts Receivable,-16177,-18879,40591,20635,-56193
79,Inventory,- -,-52136,32732,13798,-18279
80,Accounts Payable,179487,96902,-22775,566159,91052
81,Other Working Capital,-487703,-2238911,-4830948,-8203742,-9830314
82,Other Non-Cash Items,- -,2441911,3108294,4037072,2709246
83,Cash Provided by Operating Activities,-330090,-1067852,-631979,-769664,-483587
84,CAPEX,- -,-3193971,-1543,-224537,- -
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,-150960,- -,- -,- -,- -
87,Sales/Maturities of Investments,-150960,154020,- -,- -,- -
88,Other Investing Activites,150960,-319939,- -,-1479893,-379526
89,Cash Used for Investing Activites,-150960,-3219193,-1543,-1692764,-379526
90,Debt Repayment,-59964,-829701,-273110,-347373,-143584
91,Common Stock Issued,357631,513874,650240,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,212476,4797269,216928,3303104,520137
95,Cash Used/Provided by Financing Activities,510143,4481442,594058,2955731,376553
96,Effect of Forex Changes on Cash,-27319,-70054,-43942,-60290,17293
97,Net Change In Cash,- -,124343,-83406,433013,-1469
98,Cash at the End of Period,1774,126117,42711,475724,6457
99,Cash at the Beginning of Period,- -,1774,126117,42711,7926
100,Free Cash Flow,-330090,-4261823,-633522,-994201,-483587
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1652539/000106299319001496/0001062993-19-001496-index.html,https://www.sec.gov/Archives/edgar/data/1652539/000106299320001675/0001062993-20-001675-index.htm,https://www.sec.gov/Archives/edgar/data/1652539/000106299321003657/0001062993-21-003657-index.htm
102,false,,,,,
