,https://roic.ai/company/PSSR,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7930000,4230000,2850000,2560000,- -,- -,- -,1680000,1110000,1478952,1053243,1100000,1756602,940637,1645687,2136914,2916928,3808773,4314222,5698236,7572381,8960310,10958202,13608691,12507382,11035058,11489667,12538059,14892495,13871495,14817799,15046149,11528813,6157185
2,COGS,6230000,4780000,2920000,2540000,- -,- -,- -,1350000,1190000,1024699,930019,100000,680834,462424,815538,1622191,1839502,2002335,1265428,1875320,2390200,3373842,4816895,5908377,5848657,5751450,5087017,5433122,6377104,6449931,10481134,8368025,6187442,2277356
3,Gross Profit,1700000,-550000,-70000,20000,- -,- -,- -,330000,-80000,454253,123224,1000000,1075768,478213,830149,514723,1077426,1806438,3048794,3822916,5182181,5586468,6141307,7700314,6658725,5283608,6402650,7104937,8515391,7421564,4336665,6678124,5341371,3879829
4,Gross Profit Ratio,0.2144,-0.1300,-0.0246,0.0078,- -,- -,- -,0.1964,-0.0721,0.3071,0.1170,0.9091,0.6124,0.5084,0.5044,0.2409,0.3694,0.4743,0.7067,0.6709,0.6844,0.6235,0.5604,0.5658,0.5324,0.4788,0.5573,0.5667,0.5718,0.5350,0.2927,0.4438,0.4633,0.6301
5,Research and Development Exp.,730000,760000,450000,260000,- -,- -,- -,170000,180000,147383,121789,100000,148540,287938,404608,403080,392766,392496,419078,307323,289609,278058,290555,403884,481788,635316,673016,724683,826227,783014,593708,556261,338001,206884
6,General and Administrative Exp.,1660000,1410000,1170000,1080000,- -,- -,- -,300000,270000,277267,634242,1000000,1218825,1643899,2125040,1940961,1694567,1920008,2051341,2511672,3798806,4037381,4408129,5322341,4798951,3723233,4626071,5478454,6481260,8021182,8887985,9253583,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1660000,1410000,1170000,1080000,- -,- -,- -,300000,270000,277267,634242,1000000,1218825,1643899,2125040,1940961,1694567,1920008,2051341,2511672,3798806,4037381,4408129,5322341,4798951,3723233,4626071,5478454,6481260,8021182,8887985,9253583,- -,2520133
9,Other Expenses,20000,- -,80000,100000,- -,- -,- -,370000,-0,- -,- -,100000,179653,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6466682,- -
10,Operating Expenses,2410000,2170000,1700000,1440000,- -,- -,- -,840000,450000,424650,756031,1200000,1547018,1931837,2529648,2344041,2087333,2312504,2470419,2818995,4088415,4315439,4698684,5726225,5280739,4358549,5299087,6203137,7307487,8804196,9481693,9809844,6804683,2727017
