,https://roic.ai/company/YEXT,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,60002000,89724000,124261000,170201000,228283000,298829000,354661000,390577000
2,COGS,24832000,31033000,36950000,44095000,57413000,77030000,86404000,98299000
3,Gross Profit,35170000,58691000,87311000,126106000,170870000,221799000,268257000,292278000
4,Gross Profit Ratio,0.5861,0.6541,0.7026,0.7409,0.7485,0.7422,0.7564,0.7483
5,Research and Development Exp.,11945000,16201000,19316000,25687000,36098000,49445000,58146000,68350000
6,General and Administrative Exp.,8988000,18806000,29166000,40079000,51572000,77231000,76026000,83420000
7,Selling and Marketing Exp.,31588000,49822000,81529000,126980000,158845000,218076000,228417000,230467000
8,"Selling, General and Administrative Exp.",40576000,68628000,110695000,167059000,210417000,295307000,304443000,313887000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,52521000,84829000,130011000,192746000,246515000,344752000,362589000,382237000
11,COGS and Expenses,77353000,115862000,166961000,236841000,303928000,421782000,448993000,480536000
12,Interest Income ,- -,- -,- -,1134000,1557000,4099000,532000,22000
13,Interest Expense (Gain),- -,- -,- -,359000,72000,308000,614000,544000
14,Depreciation and Amortization,1193000,3106000,4082000,5123000,6813000,19193000,22815000,26079000
15,EBITDA,-16080000,-23444000,-39000000,-60921000,-67730000,-100946000,-71166000,-65359000
16,EBITDA ratio,-0.2680,-0.2613,-0.3139,-0.3579,-0.2967,-0.3378,-0.2007,-0.1673
17,Operating Income,-17351000,-26138000,-42700000,-66640000,-75645000,-122953000,-94332000,-89959000
18,Operating Income ratio,-0.2892,-0.2913,-0.3436,-0.3915,-0.3314,-0.4114,-0.2660,-0.2303
19,Total Other Income Expenses (Gains),78000,-412000,-382000,237000,1030000,2506000,-263000,-2023000
20,Income Before Tax,-17273000,-26550000,-43082000,-66403000,-74615000,-120447000,-94595000,-91982000
21,Income Before Tax Ratio,-0.2879,-0.2959,-0.3467,-0.3901,-0.3269,-0.4031,-0.2667,-0.2355
22,Income Tax expense (Gain),- -,-55000,68000,162000,222000,1097000,97000,1277000
23,Net Income,-17273000,-26495000,-43150000,-66565000,-74837000,-121544000,-94692000,-93259000
24,Net Income ratio,-0.2879,-0.2953,-0.3473,-0.3911,-0.3278,-0.4067,-0.2670,-0.2388
25,EPS,-0.23,-0.35,-0.58,-0.85,-0.76,-1.09,-0.79,-0.73
26,EPS Diluted,-0.23,-0.35,-0.58,-0.85,-0.76,-1.09,-0.79,-0.73
27,Weighted Average Shares Outstanding,74664448,74664448,74664448,78632448,98387366,111758946,119690378,127814447
28,Weighted Average Shares Outstanding Diluted,74664448,74664448,74664448,78632448,98387366,111758946,119690378,127814447
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1614178/000161417818000095/0001614178-18-000095-index.html,https://www.sec.gov/Archives/edgar/data/1614178/000161417819000075/0001614178-19-000075-index.html,https://www.sec.gov/Archives/edgar/data/1614178/000161417820000078/0001614178-20-000078-index.html,https://www.sec.gov/Archives/edgar/data/1614178/000161417821000065/0001614178-21-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1614178/000161417822000014/0001614178-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,48952000,30028000,24420000,34367000,91755000,256076000,230411000,261210000
32,Short-Term Investments,- -,- -,- -,83974000,51021000,- -,- -,- -
33,Cash and Short-Term Investments,48952000,30028000,24420000,118341000,142776000,256076000,230411000,261210000
34,Net Receivables,12620000,24182000,27646000,44656000,55341000,80583000,97455000,101607000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
