,https://roic.ai/company/INN,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,135107462,121199736,135635069,134284346,189542000,298958000,403466000,463455000,473935000,515377000,567270000,549348000,234463000,361926000
2,COGS,57567088,59057711,66170831,94381232,79208000,120206000,156538000,173854000,174829000,190385000,341427000,333197000,200397000,244613000
3,Gross Profit,77540374,62142025,69464238,39903114,110334000,178752000,246928000,289601000,299106000,324992000,225843000,216151000,34066000,117313000
4,Gross Profit Ratio,0.5739,0.5127,0.5121,0.2972,0.5821,0.5979,0.6120,0.6249,0.6311,0.6306,0.3981,0.3935,0.1453,0.3241
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,6560225,6039000,8218000,19884000,21204000,19292000,19597000,40030000,40197000,27261000,39286000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,6560225,6039000,8218000,19884000,21204000,19292000,19597000,40030000,40197000,27261000,39286000
9,Other Expenses,56309371,54140063,57349281,26378314,89770000,134031000,170271000,186026000,193258000,221146000,101013000,99445000,114440000,103323000
10,Operating Expenses,56309371,54140063,57349281,32938539,95809000,142249000,190155000,207230000,212550000,240743000,141043000,139642000,141701000,142609000
11,COGS and Expenses,113876459,113197774,123520112,127319771,175017000,262455000,346693000,381084000,387379000,431128000,482470000,472839000,342098000,387222000
12,Interest Income ,194687,49805,47483,15756,35000,83000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),17025180,18320736,26362265,13192327,15585000,20137000,26968000,30414000,28091000,29687000,41944000,41030000,43300000,43368000
14,Depreciation and Amortization,23027566,24243567,27298178,29854930,34871000,53143000,65325000,64052000,72406000,85927000,101013000,99445000,109619000,105955000
15,EBITDA,53957762,26249971,32942121,37785182,48142000,84052000,113908000,219456000,206852000,216502000,232956000,224585000,10956000,85223000
16,EBITDA ratio,0.3994,0.2166,0.2429,0.2814,0.2540,0.2811,0.2823,0.4735,0.4365,0.4201,0.4107,0.4088,0.0467,0.2355
17,Operating Income,21231003,496126,5639273,6710812,10815000,33248000,47157000,80010000,82487000,83895000,125199000,119406000,-109410000,-33266000
18,Operating Income ratio,0.1571,0.0041,0.0416,0.0500,0.0571,0.1112,0.1169,0.1726,0.1740,0.1628,0.2207,0.2174,-0.4666,-0.0919
19,Total Other Income Expenses (Gains),-6941718,-16810458,-26357595,-13212602,-15680000,-21729000,-25982000,45799000,24324000,17300000,-34995000,-35558000,-38459000,-33845000
20,Income Before Tax,14289285,-16314332,-20718322,-6501790,-4865000,11519000,21175000,125809000,106811000,101195000,90204000,83848000,-147869000,-67111000
21,Income Before Tax Ratio,0.1058,-0.1346,-0.1528,-0.0484,-0.0257,0.0385,0.0525,0.2715,0.2254,0.1964,0.1590,0.1526,-0.6307,-0.1854
22,Income Tax expense (Gain),826300,- -,202163,-2324983,-1238000,4894000,744000,553000,-1450000,1674000,-922000,1500000,1376000,1473000
23,Net Income,13078716,-16314332,-20920485,-2937092,-1076000,5878000,20871000,124437000,107805000,99214000,90921000,82610000,-143339000,-65573000
24,Net Income ratio,0.0968,-0.1346,-0.1542,-0.0219,-0.0057,0.0197,0.0517,0.2685,0.2275,0.1925,0.1603,0.1504,-0.6114,-0.1812
25,EPS,0.07,-0.09,-0.11,-0.12,-0.04,-0.12,0.05,1.25,1.00,0.79,0.68,0.65,-1.52,-0.80
26,EPS Diluted,0.07,-0.09,-0.11,-0.12,-0.04,-0.12,0.05,1.24,1.00,0.79,0.68,0.65,-1.52,-0.80
27,Weighted Average Shares Outstanding,185900000,185900000,185900000,27278000,50967000,70327000,85242000,85920000,86874000,99406000,103623000,103887000,104141000,104471000
