,https://roic.ai/company/LTMAQ,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,969800000,1077300000,1236667000,1425154000,1428341000,1452434000,1638800000,2092945000,2506353000,3033960000,3524923000,4534282000,3673696000,4390502000,5585440000,9722189000,12924537000,12093501000,9740045000,8988340000,9613907000,9895456000,10070063000,3923667000,4884015000
2,COGS,564800000,640400000,683786000,876014000,754781000,1270811000,1350981000,1634161000,1963848000,2200095000,- -,2874695000,2522778000,3012698000,4078598000,7642643000,10057200000,9624500000,7636700000,6967000000,7441800000,7962800000,7951300000,4513200000,4963485000
3,Gross Profit,405000000,436900000,552881000,549140000,673560000,181623000,287819000,458784000,542505000,833865000,- -,1659587000,1150918000,1377804000,1506842000,2079546000,2867337000,2469001000,2103345000,2021340000,2172107000,1932656000,2118763000,-589533000,-79470000
4,Gross Profit Ratio,0.4176,0.4056,0.4471,0.3853,0.4716,0.1250,0.1756,0.2192,0.2165,0.2748,- -,0.3660,0.3133,0.3138,0.2698,0.2139,0.2219,0.2042,0.2159,0.2249,0.2259,0.1953,0.2104,-0.1503,-0.0163
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,1002637000,845581000,1003653000,1140520000,1302300000,489550000,481934000,155126000,331831000,405716000,869504000,1136115000,980660000,878006000,872954000,938931000,721270000,735218000,499512000,439494000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,-192686000,-223974000,-291693000,-345387000,-403899000,- -,458262000,114462000,- -,479829000,803619000,1025896000,957072000,783304000,747426000,699600000,619200000,580046000,294278000,291820000
8,"Selling, General and Administrative Exp.",309200000,360200000,206343000,223456000,200533000,809951000,621607000,711960000,795133000,898401000,489550000,940196000,269588000,331831000,885545000,1673123000,2162011000,1937732000,1661310000,1620380000,1638531000,1340470000,1315264000,793790000,731314000
9,Other Expenses,16200000,32200000,979484000,1118309000,1177556000,968949000,1303109000,1629152000,2019330000,2327439000,- -,183207000,100483000,172428000,- -,159210000,159162000,20956000,40033000,-27365000,-69511000,-88420000,153107000,371982000,271345000
10,Operating Expenses,325400000,392400000,1185827000,1341765000,1378089000,1778900000,1924716000,2341112000,2814463000,3225840000,- -,1123403000,370071000,504259000,885545000,1832333000,2321173000,1958688000,1701343000,1593015000,1569020000,1252050000,1468371000,1165772000,1002659000
11,COGS and Expenses,890200000,1032800000,1869613000,2217779000,2132870000,3049711000,3275697000,3975273000,4778311000,5425935000,3111552000,3998098000,2892849000,3516957000,4964143000,9474976000,12378373000,11583188000,9338043000,8560015000,9010820000,9214850000,9419671000,5678972000,5966144000
12,Interest Income ,- -,- -,- -,5261000,5476000,3757000,6277000,10830000,12426000,7897000,18043000,16212000,- -,14946000,14453000,77489000,72828000,90500000,75080000,74949000,78695000,53253000,26283000,50397000,21107000
13,Interest Expense (Gain),- -,17000000,- -,31669000,35463000,40758000,39350000,36459000,39191000,60739000,76224000,82690000,153109000,155279000,139077000,260225000,459312000,402540000,374366000,384978000,385073000,345988000,569444000,530631000,748019000
14,Depreciation and Amortization,-16200000,-32200000,37652000,-42035000,-51439000,-67817000,-72631000,-77443000,-80456000,-122802000,146790000,177923000,- -,- -,404672000,- -,1041733000,991264000,- -,- -,- -,- -,1232395000,- -,- -
15,EBITDA,55300000,15800000,85619000,48427000,-5686000,10755000,68616000,150861000,133594000,226074000,591112000,661042000,428722000,656088000,925735000,373393000,1199862000,1426223000,-23291000,617402000,713881000,611705000,1938572000,-4565444000,-3330537000
16,EBITDA ratio,0.0570,0.0147,0.0692,0.0340,-0.0040,0.0074,0.0419,0.0721,0.0533,0.0745,0.1677,0.1458,0.1167,0.1494,0.1657,0.0384,0.0928,0.1179,-0.0024,0.0687,0.0743,0.0618,0.1925,-1.1636,-0.6819
17,Operating Income,79600000,44500000,50840000,83389000,50252000,62063000,111717000,172100000,141636000,302622000,413371000,536184000,300774000,873545000,506651000,276076000,643905000,541416000,448540000,493299000,706779000,758619000,753127000,-4530086000,-3425785000
18,Operating Income ratio,0.0821,0.0413,0.0411,0.0585,0.0352,0.0427,0.0682,0.0822,0.0565,0.0997,0.1173,0.1183,0.0819,0.1990,0.0907,0.0284,0.0498,0.0448,0.0461,0.0549,0.0735,0.0767,0.0748,-1.1546,-0.7014
19,Total Other Income Expenses (Gains),-8100000,3700000,-2873000,-24596000,-39962000,-24249000,-9820000,19745000,33223000,-14485000,-45273000,-135755000,-23255000,-371513000,-124291000,-149474000,-927793000,-476183000,-805655000,-219425000,-332561000,-461590000,-611211000,-575637000,-658422000
20,Income Before Tax,71500000,- -,47967000,58793000,10290000,37814000,101897000,191845000,174859000,288137000,368098000,400429000,277519000,502032000,382360000,126602000,-283888000,65233000,-357115000,273874000,374218000,297029000,141916000,-5105723000,-4084207000
21,Income Before Tax Ratio,0.0737,- -,0.0388,0.0413,0.0072,0.0260,0.0622,0.0917,0.0698,0.0950,0.1044,0.0883,0.0755,0.1143,0.0685,0.0130,-0.0220,0.0054,-0.0367,0.0305,0.0389,0.0300,0.0141,-1.3013,-0.8362
22,Income Tax expense (Gain),7400000,- -,385000,10407000,-552000,7006000,18342000,28293000,28258000,46837000,59775000,64690000,44487000,81107000,61789000,102212000,-20069000,292404000,-178383000,163204000,173504000,83782000,-53697000,-550188000,568935000
23,Net Income,64100000,31000000,47582000,48386000,10842000,30808000,83555000,163552000,146601000,241300000,308323000,335739000,231126000,419702000,320197000,10956000,-281114000,-259985000,-219274000,69220000,155304000,181935000,190430000,-4545887000,-4647491000
24,Net Income ratio,0.0661,0.0288,0.0385,0.0340,0.0076,0.0212,0.0510,0.0781,0.0585,0.0795,0.0875,0.0740,0.0629,0.0956,0.0573,0.0011,-0.0218,-0.0215,-0.0225,0.0077,0.0162,0.0184,0.0189,-1.1586,-0.9516
25,EPS,0.21,0.10,0.15,0.15,0.03,0.10,0.26,0.51,0.46,0.75,0.90,0.98,0.67,1.23,0.93,0.03,-0.51,-0.20,-0.40,0.13,0.26,0.30,0.31,-7.50,-7.66
26,EPS Diluted,0.21,0.10,0.15,0.15,0.03,0.10,0.26,0.51,0.46,0.75,0.90,0.98,0.67,1.22,0.93,0.03,-0.51,-0.20,-0.40,0.13,0.26,0.30,0.31,-7.50,-7.66
27,Weighted Average Shares Outstanding,307955752,312760054,318023897,318023897,327767492,294005660,321748464,325319161,322097149,321748464,341807299,341807299,341807299,341758494,343349430,415871667,551847819,545547819,545547819,546559599,606407693,606407693,606407693,606407693,606407693
28,Weighted Average Shares Outstanding Diluted,307955752,312760054,318023897,318023897,327767492,294005660,321748464,325319161,322097149,321748464,341807299,341807299,341807299,342865404,343349430,415871667,551847819,545547819,545547819,546559599,606407693,606407693,606407693,606407693,606407693
