,https://roic.ai/company/SRRA,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,300000,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,2843000,19078000,26356000,33895000,30157000,41078000,53249000,45118000,67150000
6,General and Administrative Exp.,1162000,3500000,9472000,14180000,12462000,14339000,13743000,20123000,27435000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1162000,3500000,9472000,14180000,12462000,14339000,13743000,20123000,27435000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,4005000,22578000,35828000,48075000,42619000,55417000,66992000,65241000,94585000
11,COGS and Expenses,4005000,22578000,35828000,48075000,42619000,55417000,66992000,65241000,94585000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2719000,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1000,12000,111000,197000,258000,111000,83000,238000,305000
15,EBITDA,-3910000,-22479000,-35717000,-47878000,-42361000,-55306000,-45983000,-80522000,-94280000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-268.4067,-Infinity
17,Operating Income,-4005000,-22578000,-35828000,-48075000,-42619000,-55417000,-66992000,-64941000,-94585000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-216.4700,-Infinity
19,Total Other Income Expenses (Gains),-2827000,-1293000,-17377000,351000,760000,1780000,-21443000,-15819000,-77000
20,Income Before Tax,-6832000,-23871000,-53205000,-47724000,-41859000,-53637000,-88435000,-80760000,-94662000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-269.2000,-Infinity
22,Income Tax expense (Gain),- -,2000,55000,143000,156000,-302000,-160000,142000,-3000
23,Net Income,-6832000,-23873000,-53260000,-47867000,-42015000,-53335000,-88275000,-80902000,-94659000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-269.6733,-Infinity
25,EPS,-24.21,-53.60,-1258.80,-63.20,-33.60,-30.00,-30.30,-7.70,-7.14
26,EPS Diluted,-24.21,-53.60,-1258.80,-63.20,-33.60,-30.00,-30.30,-7.70,-7.14
27,Weighted Average Shares Outstanding,518099,420572,359987,756006,1247482,1768480,2913487,10506739,13252605
28,Weighted Average Shares Outstanding Diluted,518099,420572,359987,756006,1247482,1768480,2913487,10506739,13252605
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1290149/000119312516490742/0001193125-16-490742-index.html,https://www.sec.gov/Archives/edgar/data/1290149/000119312517066582/0001193125-17-066582-index.html,https://www.sec.gov/Archives/edgar/data/1290149/000119312518059374/0001193125-18-059374-index.html,https://www.sec.gov/Archives/edgar/data/1290149/000119312519055556/0001193125-19-055556-index.html,https://www.sec.gov/Archives/edgar/data/1290149/000119312520059703/0001193125-20-059703-index.html,https://www.sec.gov/Archives/edgar/data/1290149/000156459021012234/0001564590-21-012234-index.htm,https://www.sec.gov/Archives/edgar/data/1290149/000156459022009473/0001564590-22-009473-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,2429000,29154000,150180000,109007000,100348000,106046000,147528000,104055000,104749000
32,Short-Term Investments,- -,10010000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2429000,39164000,150180000,109007000,100348000,106046000,147528000,104055000,104749000
34,Net Receivables,- -,- -,- -,70000,103000,914000,197000,311000,147000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,30000,561000,1673000,1273000,1274000,1792000,2172000,2104000,2497000
37,Total Current Assets,2459000,39725000,151853000,110350000,101725000,108752000,149897000,106470000,107393000
38,PP&E,1000,214000,566000,400000,154000,168000,702000,370000,929000
