,https://roic.ai/company/M&M.NS,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,95655156000,126484096000,179122798000,244452900000,267563500000,315685400000,368423600000,594176300000,613640500000,668455600000,637636900000,689436600000,820688600000,907703800000,1030152300000,937645100000,732650500000
2,COGS,53933224000,68504059000,89064441000,114715100000,129559900000,151353200000,198723600000,366092900000,420446600000,451151400000,429717000000,452315100000,494467600000,524082100000,592997800000,525520400000,384755200000
3,Gross Profit,41721932000,57980037000,90058357000,129737800000,138003600000,164332200000,169700000000,228083400000,193193900000,217304200000,207919900000,237121500000,326221000000,383621700000,437154500000,412124700000,347895300000
4,Gross Profit Ratio,0.4362,0.4584,0.5028,0.5307,0.5158,0.5206,0.4606,0.3839,0.3148,0.3251,0.3261,0.3439,0.3975,0.4226,0.4244,0.4395,0.4748
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,21391900000,774800000,889400000,890600000,1159400000,1265400000,1445500000,1788100000,1761500000,1814600000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,35766100000,42369100000,50158000000,55137500000,59202400000,50107100000,61901700000,80809800000,70472900000,39955000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,57158000000,43143900000,51047400000,56028100000,60361800000,51372500000,63347200000,82597900000,72234400000,41769600000
9,Other Expenses,30569739000,40395225000,63869427000,95777600000,107196900000,116736600000,116849500000,106469900000,132269300000,138712400000,144596700000,177820200000,195635200000,220815500000,242403000000,264010500000,203141300000
10,Operating Expenses,30569739000,40395225000,63869427000,95777600000,107196900000,116736600000,116849500000,163627900000,175413200000,189759800000,200624800000,238182000000,247007700000,284162700000,325000900000,336244900000,244910900000
11,COGS and Expenses,84502963000,108899284000,152933868000,210492700000,236756800000,268089800000,315573100000,529720800000,595859800000,640911200000,630341800000,690497100000,741475300000,808244800000,917998700000,861765300000,629666100000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,1041000000,41212300000,54231700000,61424800000,66104400000,3432400000,3324000000,4241800000,4667700000,4558600000
13,Interest Expense (Gain),1360604000,2193748000,2992024000,5895200000,7501600000,9798300000,9742100000,17995700000,21558600000,28120000000,30174200000,32213500000,35552600000,38790400000,49081000000,59376400000,59903500000
14,Depreciation and Amortization,2423840000,2928169000,3891501000,5866300000,7651400000,8834500000,10094700000,19406500000,20845500000,21749500000,21275800000,26123000000,29415100000,32799000000,39907700000,49762900000,43988900000
15,EBITDA,13627148000,21848465000,27812134000,34044700000,34692400000,54960400000,63804900000,82077000000,102742400000,111501000000,100024900000,109085600000,124945400000,170370600000,170683200000,130165800000,138475400000
16,EBITDA ratio,0.1425,0.1727,0.1553,0.1393,0.1297,0.1741,0.1732,0.1381,0.1674,0.1668,0.1569,0.1582,0.1522,0.1877,0.1657,0.1388,0.1890
17,Operating Income,11152193000,17584812000,26188930000,33960200000,30806700000,47595600000,52850500000,64455500000,17780700000,27544400000,7295100000,-1060500000,79213300000,99459000000,112153600000,75879800000,102984400000
18,Operating Income ratio,0.1166,0.1390,0.1462,0.1389,0.1151,0.1508,0.1435,0.1085,0.0290,0.0412,0.0114,-0.0015,0.0965,0.1096,0.1089,0.0809,0.1406
19,Total Other Income Expenses (Gains),-1210289000,440294000,-4164927000,-8920300000,-8265500000,-7296000000,-7701800000,-22620300000,38023000000,30651600000,35831900000,43448900000,-15710700000,3796200000,-23445200000,-59333700000,-49507100000
20,Income Before Tax,9941904000,18025106000,22024003000,25039900000,22541200000,40299600000,45148700000,41835200000,55803700000,58196000000,43127000000,42388400000,63502600000,103255200000,88708400000,16546100000,53477300000
21,Income Before Tax Ratio,0.1039,0.1425,0.1230,0.1024,0.0842,0.1277,0.1225,0.0704,0.0909,0.0871,0.0676,0.0615,0.0774,0.1138,0.0861,0.0176,0.0730
22,Income Tax expense (Gain),3027326000,4029382000,5957150000,6572000000,5485300000,11542000000,13170800000,14075600000,19346300000,14962200000,17200200000,18636500000,22997300000,23677300000,28539900000,19756100000,16458100000
23,Net Income,6815378000,12697166000,14971459000,15711200000,14054100000,24785600000,30797300000,30599200000,40992000000,46669300000,31374700000,32112600000,36980400000,75103900000,53154600000,1270400000,18124900000
24,Net Income ratio,0.0712,0.1004,0.0836,0.0643,0.0525,0.0785,0.0836,0.0515,0.0668,0.0698,0.0492,0.0466,0.0451,0.0827,0.0516,0.0014,0.0247
25,EPS,7.66,14.10,15.82,16.46,12.89,22.54,26.73,26.59,34.76,39.53,26.56,27.13,34.16,69.20,48.91,1.15,16.33
26,EPS Diluted,6.91,12.93,14.44,14.96,12.07,21.09,25.64,25.46,33.38,37.91,25.34,25.85,33.98,68.86,48.70,1.04,16.15
27,Weighted Average Shares Outstanding,889999128,900447060,946428492,954489464,1090091788,1099677538,1152206978,1175840006,1179510522,1180646542,1181222934,1183838896,1082414158,1085246206,1086805987,1104452959,1109369466
28,Weighted Average Shares Outstanding Diluted,977335160,982977176,1020233116,1021518568,1178969440,1190941332,1199549728,1227972200,1227972200,1230892742,1237833234,1242195456,1088406796,1090616906,1091566022,1109043880,1114380096
29,SEC Link,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10123808000,11871854000,20451183000,17279900000,29675100000,27371200000,22205700000,34794900000,38228400000,46328400000,27203900000,27918300000,29457900000,44666300000,61390000000,47450300000,33745900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,19205700000,26174700000,36272300000,40483400000,53968100000,69587400000,77153800000,89544700000,100064900000,200577200000
33,Cash and Short-Term Investments,10123808000,11871854000,20451183000,17279900000,29675100000,27371200000,22205700000,54000600000,64403100000,82600700000,67687300000,81886400000,99045300000,121820100000,150934700000,147515200000,234323100000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,12622419000,16654904000,24286056000,32754200000,32714600000,35489900000,54491500000,71576700000,84169000000,83535400000,84533900000,106289900000,88860100000,93355700000,122001600000,111118600000,96154100000
36,Other Current Assets,44267354000,68793004000,95658801000,119251200000,123358900000,140301100000,209242800000,164529100000,191628900000,229808200000,245279900000,277273600000,300957800000,375584400000,421124100000,381820500000,390901900000
37,Total Current Assets,67013581000,97319762000,140396040000,169285300000,185748600000,203162200000,285940000000,290106400000,340201000000,395944300000,397501100000,465449900000,488863200000,590760200000,694060400000,640454300000,721379100000
38,PP&E,19560582000,23878279000,38468672000,55040600000,75901000000,90170500000,144519900000,148160100000,166504800000,173018900000,185196300000,203844200000,198642200000,226350600000,246815100000,269689300000,220892200000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,19973400000,13439900000,7642700000,7794600000,5586100000,21596700000,20736000000,15123100000,13049000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,32162700000,12907200000,19261300000,27949800000,38015200000,45145100000,56566400000,69874700000,80645100000,58581000000
41,Intangible Assets,661820000,2177130000,9398788000,21214500000,15517100000,15032800000,19958700000,32162700000,32880600000,32701200000,35592500000,45809800000,50731200000,78163100000,90610700000,95768200000,71630000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,15060700000,20087300000,22251400000,38506500000,33473600000,33406900000,30382000000,33449900000,34178900000,-9240700000
43,Tax Assets,- -,- -,147088000,175700000,1884000000,- -,- -,3381600000,3383600000,3816700000,4677700000,7091400000,9066700000,8416000000,15029100000,12905300000,17173200000
