,https://roic.ai/company/KREF,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,19690000,35261000,78734000,115586000,116905000,125628000,151945000
2,COGS,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1994000,2270000,18428000,24158000,27657000,14238000,14235000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1994000,2270000,4936000,7812000,10522000,14238000,14235000
9,Other Expenses,- -,- -,13064000,21188000,20478000,- -,- -
10,Operating Expenses,- -,- -,18000000,29000000,31000000,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,12536000,32659000,83145000,183575000,274335000,269188000,279950000
13,Interest Expense (Gain),554000,7432000,21224000,85017000,158860000,127312000,114439000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,15731000
15,EBITDA,17710000,38943000,81388000,174691000,249404000,182121000,268037000
16,EBITDA ratio,0.8994,1.1044,1.0337,1.5114,2.1334,1.4497,1.7640
17,Operating Income,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,17565000,32626000,61181000,89737000,90544000,54809000,137867000
21,Income Before Tax Ratio,0.8921,0.9253,0.7771,0.7764,0.7745,0.4363,0.9073
22,Income Tax expense (Gain),393000,354000,1102000,-70000,579000,412000,684000
23,Net Income,16763000,31157000,59062000,89744000,89965000,54397000,137183000
24,Net Income ratio,0.8513,0.8836,0.7501,0.7764,0.7696,0.4330,0.9028
25,EPS,0.32,0.60,1.30,1.58,1.58,0.96,2.47
26,EPS Diluted,0.32,0.60,1.30,1.58,1.57,0.96,2.45
27,Weighted Average Shares Outstanding,52174338,52174338,45320358,55136548,57426912,55985014,55637480
28,Weighted Average Shares Outstanding Diluted,52174338,52174338,45321360,55171061,57532490,56057237,56011243
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1631596/000163159618000003/0001631596-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1631596/000163159619000005/0001631596-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1631596/000163159620000006/0001631596-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1631596/000163159621000013/0001631596-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1631596/000163159622000012/0001631596-22-000012-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,26686000,96189000,103120000,86531000,67619000,110832000,271487000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,26686000,96189000,103120000,86531000,67619000,110832000,271487000
34,Net Receivables,1376000,3876000,8423000,16178000,16305000,15412000,15241000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,-8423000,-16178000,-16305000,- -,- -
37,Total Current Assets,- -,- -,103120000,86531000,67619000,- -,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,24407000,36445000,14390000,30734000,37469000,33651000,35537000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,7268960000,5098402000,4935625000,- -,- -
45,Total Non-Current Assets,- -,- -,7283350000,5129136000,4973094000,- -,- -
46,Other Assets,4716927000,6265403000,- -,- -,- -,4965612000,6703239000
47,Total Assets,4716927000,6265403000,7386470000,5215667000,5040713000,4965612000,6703239000
48,Accounts Payable,4815000,2890000,4088000,12045000,10049000,10204000,14148000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,5284439000,1110064000,30953000,- -,- -
53,Total Current Liabilities,- -,- -,5288527000,1122109000,41002000,- -,- -
54,Long-Term Debt,122133000,439144000,1046272000,2974548000,3892304000,3879472000,5294969000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,122133000,439144000,1046272000,2974548000,3892304000,3879472000,5294969000
59,Other Liabilities,4552686000,6199510000,- -,- -,- -,7799678000,10636627000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,4430553000,5760366000,6334799000,4096657000,3933306000,3920206000,5341658000
62,Preferred Stock,125000,125000,949000,2846000,1694000,1852000,69000
63,Common Stock,136000,242000,537000,576000,575000,556000,613000
64,Retained Earnings,8681000,17914000,6280000,-225000,-8594000,-65698000,-38208000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,272518000,479417000,1052328000,1131991000,1130037000,1108696000,1398960000
67,Total Stockholders Equity,281460000,497698000,1060094000,1135188000,1123712000,1045406000,1361434000
68,Total Liabilities And Stockholders Equity,4712013000,6258064000,7394893000,5231845000,5057018000,4965612000,6703092000
69,Minority Interest,4914000,7339000,-8423000,-16178000,-16305000,- -,147000
