,https://roic.ai/company/CRESY,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,51830064,43606394,35129671,34795305,72669492,72340666,62482875,78139185,112465454,208262021,322022651,1427175000,1882355000,2540308000,3457815000,3528551000,4604011000,5651805000,35384000000,77918000000,38986000000,82665000000,121256000000,42411000000
2,COGS,35462729,41810973,27794829,27161697,40227809,51319404,39109163,59632796,92423067,171072763,256443660,851192000,994134000,1486294000,2225878000,2222022000,2779386000,3480034000,24222000000,54713000000,23435000000,51607000000,80487000000,19955000000
3,Gross Profit,16367335,1795421,7334842,7633609,32441683,21021262,23373713,18506389,20042388,37189258,65578991,575983000,888221000,1054014000,1231937000,1306529000,1824625000,2171771000,11162000000,23205000000,15551000000,31058000000,40769000000,22456000000
4,Gross Profit Ratio,0.3158,0.0412,0.2088,0.2194,0.4464,0.2906,0.3741,0.2368,0.1782,0.1786,0.2036,0.4036,0.4719,0.4149,0.3563,0.3703,0.3963,0.3843,0.3155,0.2978,0.3989,0.3757,0.3362,0.5295
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134664000,239678000,256016000,360504000,299179000,480265000,539254000,1785000000,3717000000,4097000000,6871000000,8656000000,4176000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212482000,219454000,176207000,242983000,277638000,352726000,474158000,6279000000,13946000000,5312000000,9840000000,16348000000,4147000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,347146000,459132000,432223000,603487000,576817000,832991000,1013412000,8064000000,17663000000,9409000000,16711000000,25004000000,8323000000
9,Other Expenses,10643908,10663063,10324910,6815100,19350800,-6776480,6323462,-17735512,8922911,46159,22017865,-8829000,-157881000,-105337000,- -,39795000,52403000,80569000,483000000,877000000,914000000,2373000000,2611000000,1280000000
10,Operating Expenses,10643908,10663063,10324910,6815100,19350800,-6776480,6323462,-17735512,8922911,46159,22017865,338317000,301251000,326886000,603487000,616612000,885394000,1093981000,8547000000,18540000000,10323000000,19084000000,27615000000,9603000000
11,COGS and Expenses,46106637,52474036,38119739,33976797,59578609,44542924,45432624,41897284,101345977,171118922,278461525,1189509000,1295385000,1813180000,2829365000,2838634000,3664780000,4574015000,32769000000,73253000000,33758000000,70691000000,108102000000,29558000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13664000,- -,19006000,44460000,72813000,119291000,100094000,805000000,899000000,814000000,1573000000,2841000000,3741000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93000,- -,290854000,396221000,473465000,715537000,873753000,2739000000,6736000000,8185000000,16807000000,24244000000,13738000000
14,Depreciation and Amortization,1172913,1541582,1689893,1687811,3629268,3573171,3603275,4167335,5117766,4357479,6466231,87595000,136864000,124718000,181967000,279738000,296919000,257822000,2769000000,4857000000,3764000000,7605000000,16425000000,3452000000
15,EBITDA,20041352,2600401,3066747,7575211,-29191140,79607167,44109554,118704259,43475435,60779459,29671018,304986000,468222000,753580000,669870000,759815000,-444839000,1185306000,4273000000,15966000000,17574000000,7493000000,52705000000,32561000000
16,EBITDA ratio,0.3867,0.0596,0.0873,0.2177,-0.4017,1.1004,0.7059,1.5191,0.3866,0.2918,0.0921,0.2137,0.2487,0.2966,0.1937,0.2153,-0.0966,0.2097,0.1208,0.2049,0.4508,0.0906,0.4347,0.7677
17,Operating Income,5723427,-8867642,-2990068,818508,13090883,27797742,17050251,36241901,11119480,37143099,43561126,215403000,586970000,727128000,654489000,1106361000,1185226000,2792694000,3694000000,9925000000,29964000000,-9807000000,44073000000,9924000000
18,Operating Income ratio,0.1104,-0.2034,-0.0851,0.0235,0.1801,0.3843,0.2729,0.4638,0.0989,0.1783,0.1353,0.1509,0.3118,0.2862,0.1893,0.3135,0.2574,0.4941,0.1044,0.1274,0.7686,-0.1186,0.3635,0.2340
19,Total Other Income Expenses (Gains),10626544,9926461,4366921,5068892,-45911291,48236254,23314290,78206560,27341227,19549568,-20090204,96105000,-70768000,-220113000,-468441000,-918579000,-2983049000,-2313133000,-5782000000,-5053000000,-24430000000,-17340000000,-34048000000,1771000000
20,Income Before Tax,- -,1058819,1376854,5887400,-32820408,76033996,40364541,114448461,38460707,56692667,23470922,311508000,516202000,507015000,186048000,187782000,-1797823000,479561000,-2088000000,4872000000,5534000000,-27147000000,10025000000,11695000000
21,Income Before Tax Ratio,- -,0.0243,0.0392,0.1692,-0.4516,1.0511,0.6460,1.4647,0.3420,0.2722,0.0729,0.2183,0.2742,0.1996,0.0538,0.0532,-0.3905,0.0849,-0.0590,0.0625,0.1419,-0.3284,0.0827,0.2758
22,Income Tax expense (Gain),- -,17999,22372,2052928,7779944,10655824,8294020,37771242,5437866,8184293,283738,92682000,145952000,125443000,13419000,33519000,-389415000,303350000,-197000000,2862000000,233000000,1830000000,8107000000,27940000000
23,Net Income,18868439,1040820,1354482,3834473,-40600353,65378172,32212258,76765682,32919803,48237688,22921049,124616000,185406000,212565000,78263000,-26907000,-1067880000,-249619000,-1038000000,1511000000,5392000000,-18749000000,3929000000,-12569000000
24,Net Income ratio,0.3640,0.0239,0.0386,0.1102,-0.5587,0.9038,0.5155,0.9824,0.2927,0.2316,0.0712,0.0873,0.0985,0.0837,0.0226,-0.0076,-0.2319,-0.0442,-0.0293,0.0194,0.1383,-0.2268,0.0324,-0.2964
25,EPS,1.32,0.08,0.10,0.28,-2.88,4.65,2.00,4.26,1.66,1.70,0.54,2.26,3.48,3.94,1.47,-0.46,-19.70,-4.73,-35.40,28.39,101.43,-373.46,84.69,-238.40
26,EPS Diluted,1.32,0.08,0.10,0.28,-2.88,1.64,1.13,2.17,1.13,1.36,0.51,2.00,3.12,3.48,1.28,-0.46,-19.70,-4.73,-35.40,28.21,97.51,-373.46,82.18,-238.40
27,Weighted Average Shares Outstanding,14282250,14282250,13751955,13750580,13761047,14062195,16088052,18038053,19889768,28331444,42342603,55726159,53096663,54189526,54189698,54189722,54142796,53088527,53410066,53320952,53213882,50201180,49900000,52727150
28,Weighted Average Shares Outstanding Diluted,14282250,14282250,13751955,13750580,13761047,39322688,16088052,36912635,29069842,35414169,44277103,62534006,59901471,60994334,60994506,54189722,54142796,53088527,53410066,53535093,55248216,50201180,51472378,54254777
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5395188,3501952,2834301,1890504,40515172,17088123,12715143,14461951,26026240,45861459,47739013,82459000,80919000,193949000,338054000,1047586000,1002987000,633693000,14096000000,25363000000,38650000000,62484000000,100926000000,27529000000
32,Short-Term Investments,- -,- -,- -,57068487,86319,5489491,1552699,59952046,6230700,38933761,484721692,345541000,278968000,575061000,248548000,385585000,495633000,504102000,10929000000,11853000000,30112000000,43240000000,21569000000,1414000000
33,Cash and Short-Term Investments,5395188,3501952,2834301,58958991,40601490,22577615,14267842,74413997,32256940,84795220,532460706,428000000,359887000,769010000,586602000,1433171000,1498620000,1137795000,25025000000,37216000000,68762000000,105724000000,122495000000,28943000000
34,Net Receivables,25097475,19293449,13578742,18326427,25207459,13202942,24120768,31988421,33867160,59103488,90963361,590458000,692973000,744617000,734030000,1317296000,1173120000,1513881000,12369000000,14822000000,17608000000,27295000000,44023000000,22887000000
35,Inventory,29530454,22799993,16765812,13337994,34909629,22966054,34958811,46273608,28964273,51265126,111394097,139197000,400521000,751961000,543267000,349940000,635601000,631348000,4355000000,5595000000,3237000000,7135000000,11843000000,17404000000
36,Other Current Assets,29216931,26208931,24653770,-1,0,-0,-0,- -,3,16672390,1182226,- -,- -,- -,58330000,187829000,1680341000,929116000,3372000000,10727000000,12827000000,12905000000,52662000000,747000000
37,Total Current Assets,89240047,71804326,57832625,90623411,100718578,58746611,73347421,152676026,95088377,211836224,736000389,1157655000,1453381000,2265588000,1922229000,3288236000,4987682000,4212140000,45121000000,68360000000,102434000000,153059000000,231023000000,69981000000
38,PP&E,78493249,82141264,83218059,77172259,117180196,149317545,157922676,166425542,225025207,240316967,266302197,3309998000,3290221000,5333109000,5147362000,1841454000,2381956000,1977195000,26300000000,31150000000,20646000000,37857000000,81884000000,44372000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-408740000,-389025000,-741056000,-642720000,77052000,29977000,27612000,2238000000,2806000000,3121000000,4710000000,5821000000,386000000
40,Intangible Assets,- -,- -,1671915,1798694,2577573,371645,- -,-30417654,23607842,23044403,22802191,55187000,88585000,79945000,93228000,48260000,145030000,148151000,9576000000,9637000000,9242000000,13494000000,22371000000,2604000000
41,Intangible Assets,- -,- -,1671915,1798694,2577573,371645,- -,-30417654,23607842,23044403,22802191,-353553000,-300440000,-661111000,-549492000,125312000,175007000,175763000,11814000000,12443000000,12363000000,18204000000,28192000000,2990000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1358605000,1900070000,2078901000,2409835000,1740604000,2650351000,3395530000,22106000000,16224000000,34239000000,38462000000,78643000000,14319000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,526205,- -,- -,- -,- -,77819000,179228000,852642000,652186000,1658000000,1631000000,1679000000,541000000,927000000,493000000
44,Other Non-Current Assets,60994097,40924018,40676342,34894706,139460056,362431446,417007335,454406563,527901631,571736803,1042221159,503351000,494656000,716931000,747459000,5235891000,4736050000,4862629000,59002000000,111638000000,182409000000,259866000000,266271000000,207017000000
45,Total Non-Current Assets,139487346,123065282,125566316,113865659,259217825,512120636,574930010,590414452,776534681,835624378,1331325547,4818401000,5384507000,7467830000,7832983000,9122489000,10796006000,11063303000,120880000000,173086000000,251336000000,354930000000,455917000000,269191000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,228727393,194869607,183398941,204489070,359936403,570867247,648277431,743090477,871623058,1047460602,2067325937,5976056000,6837888000,9733418000,9755212000,12410725000,15783688000,15275443000,166001000000,241446000000,353770000000,507989000000,686940000000,339172000000
48,Accounts Payable,8592847,5244873,4921834,9548373,17793599,7361185,11224527,17890175,26467899,17877118,23685402,339894000,403743000,124257000,369681000,212797000,289825000,301719000,11180000000,13298000000,17892000000,22599000000,35823000000,19585000000
49,Short-Term Debt,- -,- -,- -,13607361,6824558,1433242,14246729,11494807,66495357,119866633,195370163,634274000,1059736000,1496557000,1095235000,1511042000,2639491000,2466030000,23488000000,23287000000,32083000000,56243000000,104050000000,47028000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155952000,108558000,135804000,180242000,176083000,170805000,309569000,957000000,1394000000,595000000,489000000,824000000,1096000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,269555000,239041000,214632000,258608000,264905000,4620000000,4377000000,- -,- -,- -,- -
52,Other Current Liabilities,6784874,2849778,1278065,1393591,8803546,6364298,3377850,36566603,9059041,26127567,42983072,339744000,465238000,473823000,396399000,726379000,1612461000,1430677000,6311000000,10229000000,7079000000,10760000000,32988000000,3814000000
53,Total Current Liabilities,15377721,8094652,6199900,24549325,33421703,15158725,28849107,65951585,102022297,163871318,262038637,1313912000,1928717000,2364192000,2100356000,2664850000,4800385000,4463331000,45599000000,51191000000,57054000000,89602000000,172861000000,70427000000
54,Long-Term Debt,- -,- -,- -,- -,- -,138700393,126309209,114643918,98205928,24180278,- -,1330779000,853166000,2098403000,2787945000,4189896000,5315335000,5832973000,93808000000,112025000000,187462000000,278062000000,335612000000,77800000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94244000,111032000,79312000,66311000,77642000,65000000,73000000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,530263000,470045000,150691000,7662000000,23125000000,26563000000,40016000000,49469000000,82231000000
57,Other Non-Current Liabilities,8945513,192440,240000,249408,13316795,22872947,26302414,39373537,37615696,52431275,43862893,82499000,462804000,616594000,701820000,227338000,696826000,848848000,3635000000,5859000000,7370000000,11309000000,6845000000,2821000000
58,Total Non-Current Liabilities,8945513,192440,240000,249408,13316795,161573340,152611624,154017455,135821624,76611553,43862893,1413278000,1315970000,2809241000,3600797000,5026809000,6548517000,6910154000,105170000000,141082000000,221395000000,329387000000,391926000000,162852000000
59,Other Liabilities,- -,- -,480000,- -,- -,- -,- -,- -,- -,153223107,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3050000,3289000,25467000,- -,- -,- -,- -,20855000000,6160000000
61,Total Liabilities,24323233,8287091,6439900,24798733,46738498,176732065,181460730,219969040,237843920,240482871,305901530,2727190000,3244687000,5173433000,5701153000,7691659000,11348902000,11373485000,150769000000,192273000000,278449000000,418989000000,564787000000,233279000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,124271961,119669719,119669744,119669747,125985208,124772186,151045040,162714134,220849608,302523388,500942012,471539000,496560000,496562000,496562000,496562000,490997000,494777000,495000000,499000000,482000000,486000000,499000000,589000000
64,Retained Earnings,31272785,11089454,1354482,3834473,-40037224,5113156,35888418,108153655,127385158,48237688,22921049,126893000,421083000,498199000,-29017000,-26522000,-1066428000,-246069000,-1390000000,11064000000,14715000000,-27229000000,2040000000,-9665000000
65,Other Comprehensive Income/Loss,-5709235,-6406366,-7560306,-8022433,-16076828,172985859,172891869,173835456,177948115,294233142,192225909,36681000,-1313727000,167203000,108511000,1081812000,1566228000,475294000,1169000000,4095000000,4963000000,29376000000,2149000000,5972000000
66,Other Total Stockholders Equity,54568649,62229709,63495120,64208551,243326749,91056149,106925701,78141364,107035763,161165708,1044176471,1177771000,2364277000,1051573000,1487225000,958114000,970486000,794223000,747000000,747000000,765000000,14187000000,20471000000,35550000000
67,Total Stockholders Equity,204404160,186582516,176959041,179690337,313197905,393927350,466751027,522844609,633218645,806159926,1760265441,1812884000,1968193000,2213537000,2063281000,2509966000,1961283000,1518225000,1021000000,16405000000,20925000000,16820000000,25159000000,32446000000
