,https://roic.ai/company/NCR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,8162000000,6963000000,6589000000,6505000000,6196000000,5959000000,5917000000,5585000000,5598000000,5984000000,6028000000,6142000000,4970000000,5315000000,4612000000,4819000000,5443000000,5730000000,6123000000,6591000000,6373000000,6543000000,6516000000,6405000000,6915000000,6207000000,7156000000
2,COGS,6966000000,4997000000,4791000000,4583000000,4312000000,4092000000,4123000000,3998000000,4064000000,4368000000,4297000000,4376000000,3930000000,4132000000,3729000000,3855000000,4308000000,4385000000,4383000000,4859000000,4904000000,4761000000,4652000000,4730000000,4994000000,4683000000,5263000000
3,Gross Profit,1196000000,1966000000,1798000000,1922000000,1884000000,1867000000,1794000000,1587000000,1534000000,1616000000,1731000000,1766000000,1040000000,1183000000,883000000,964000000,1135000000,1345000000,1740000000,1732000000,1469000000,1782000000,1864000000,1675000000,1921000000,1524000000,1893000000
4,Gross Profit Ratio,0.1465,0.2823,0.2729,0.2955,0.3041,0.3133,0.3032,0.2842,0.2740,0.2701,0.2872,0.2875,0.2093,0.2226,0.1915,0.2000,0.2085,0.2347,0.2842,0.2628,0.2305,0.2724,0.2861,0.2615,0.2778,0.2455,0.2645
5,Research and Development Exp.,- -,378000000,381000000,356000000,340000000,333000000,293000000,232000000,233000000,242000000,245000000,236000000,137000000,148000000,141000000,162000000,177000000,219000000,203000000,263000000,230000000,242000000,256000000,252000000,259000000,234000000,268000000
6,General and Administrative Exp.,- -,1458000000,1436000000,1414000000,1466000000,1329000000,1315000000,1166000000,1171000000,1141000000,1076000000,1057000000,684000000,713000000,645000000,703000000,805000000,894000000,871000000,1012000000,1042000000,926000000,932000000,1005000000,1051000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3217000000,1458000000,1436000000,1414000000,1466000000,1329000000,1315000000,1166000000,1171000000,1141000000,1076000000,1057000000,684000000,713000000,645000000,703000000,805000000,894000000,871000000,1012000000,1042000000,926000000,932000000,1005000000,1051000000,1051000000,1151000000
9,Other Expenses,350000000,- -,- -,50000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
