,https://roic.ai/company/RVLV,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,399597000,498739000,600993000,580649000,891390000
2,COGS,205907000,233433000,279040000,275369000,401567000
3,Gross Profit,193690000,265306000,321953000,305280000,489823000
4,Gross Profit Ratio,0.4847,0.5320,0.5357,0.5258,0.5495
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,66926000,78493000,97008000,87347000,110628000
7,Selling and Marketing Exp.,106242000,145015000,176847000,156867000,273904000
8,"Selling, General and Administrative Exp.",173168000,223508000,273855000,244214000,384532000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,173168000,223508000,273855000,244214000,384532000
11,COGS and Expenses,379075000,456941000,552895000,519583000,786099000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,2849000,2867000,3952000,4827000,4508000
15,EBITDA,22287000,44081000,51119000,64899000,109236000
16,EBITDA ratio,0.0558,0.0884,0.0851,0.1118,0.1225
17,Operating Income,20522000,41798000,48098000,61066000,105291000
18,Operating Income ratio,0.0514,0.0838,0.0800,0.1052,0.1181
19,Total Other Income Expenses (Gains),-1431000,-631000,-931000,-994000,-563000
20,Income Before Tax,19091000,41167000,47167000,60072000,104728000
21,Income Before Tax Ratio,0.0478,0.0825,0.0785,0.1035,0.1175
22,Income Tax expense (Gain),14091000,10529000,11500000,3282000,4888000
23,Net Income,5347000,30685000,35667000,56790000,99840000
24,Net Income ratio,0.0134,0.0615,0.0593,0.0978,0.1120
25,EPS,0.08,0.45,-0.09,0.81,1.37
26,EPS Diluted,0.08,0.44,-0.09,0.79,1.33
27,Weighted Average Shares Outstanding,67889000,67627000,57294000,69773000,72810000
28,Weighted Average Shares Outstanding Diluted,70776000,70276000,57294000,72058000,74881000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1746618/000156459020006806/0001564590-20-006806-index.htm,https://www.sec.gov/Archives/edgar/data/1746618/000156459021008799/0001564590-21-008799-index.htm,https://www.sec.gov/Archives/edgar/data/1746618/000095017022002309/0000950170-22-002309-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,10588000,16369000,65418000,146013000,218455000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10588000,16369000,65418000,146013000,218455000
34,Net Receivables,9406000,5337000,5512000,15310000,8014000
35,Inventory,76174000,102220000,104257000,95272000,171259000
36,Other Current Assets,9350000,15227000,24155000,20330000,42114000
37,Total Current Assets,105518000,139153000,199342000,276925000,439842000
38,PP&E,5404000,5907000,14734000,11211000,15512000
39,Goodwill,2042000,2042000,2042000,2042000,2042000
40,Intangible Assets,889000,564000,240000,1260000,1212000
41,Intangible Assets,2931000,2606000,2282000,3302000,3254000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,9909000,13677000,15290000,13814000,19059000
44,Other Non-Current Assets,214000,731000,642000,500000,2746000
45,Total Non-Current Assets,18458000,22921000,32948000,28827000,40571000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,123976000,162074000,232290000,305752000,480413000
48,Accounts Payable,17854000,20219000,29813000,39337000,54345000
49,Short-Term Debt,- -,- -,- -,- -,3766000
50,Tax Payable,- -,- -,- -,2945000,- -
51,Deferred Revenue,1201000,1568000,2133000,- -,- -
52,Other Current Liabilities,56933000,60469000,69580000,66351000,102111000
53,Total Current Liabilities,75988000,82256000,101526000,105688000,160222000
54,Long-Term Debt,- -,- -,- -,- -,3177000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,3177000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,6943000
61,Total Liabilities,75988000,82256000,101526000,105688000,163399000
62,Preferred Stock,15000000,15000000,- -,- -,- -
63,Common Stock,2148000,3548000,69000,71000,73000
64,Retained Earnings,31463000,61270000,56677000,113953000,213351000
65,Other Comprehensive Income/Loss,-6906000,-9440000,-10270000,- -,- -
66,Other Total Stockholders Equity,6906000,9440000,84288000,86040000,- -
67,Total Stockholders Equity,48611000,79818000,130764000,200064000,317014000
68,Total Liabilities And Stockholders Equity,124599000,162074000,232290000,305752000,480413000
69,Minority Interest,-623000,- -,- -,- -,- -
70,Total Liabilities & Equity,123976000,162074000,232290000,305752000,480413000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1746618/000156459020006806/0001564590-20-006806-index.htm,https://www.sec.gov/Archives/edgar/data/1746618/000156459021008799/0001564590-21-008799-index.htm,https://www.sec.gov/Archives/edgar/data/1746618/000095017022002309/0000950170-22-002309-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,5347000,30685000,35667000,56790000,99840000
74,Depreciation and Amortization,2849000,2867000,3952000,4827000,4508000
75,Deferred Income Tax,3627000,-3768000,-1613000,1476000,-5245000
76,Stock Based Compensation,911000,1400000,2067000,3364000,4786000
77,Change in Working Capital,4092000,27367000,40919000,73421000,-41576000
78,Accounts Receivable,489000,361000,586000,130000,-18000
79,Inventory,-7012000,-26046000,-15623000,8985000,-75987000
80,Accounts Payable,751000,2365000,9594000,9524000,15008000
81,Other Working Capital,29530000,56897000,97816000,171237000,23246000
82,Other Non-Cash Items,-347000,-31896000,-34935000,-66105000,- -
83,Cash Provided by Operating Activities,16479000,26655000,46057000,73773000,62313000
84,CAPEX,-2262000,-3045000,-12455000,-2324000,-2195000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-2262000,-3045000,-12455000,-2324000,-2195000
90,Debt Repayment,-15086000,-15100000,- -,-30000000,- -
91,Common Stock Issued,- -,- -,57077000,- -,- -
92,Common Stock Repurchased,- -,- -,-40816000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-2521000,-1082000,38660000,12766000
95,Cash Used/Provided by Financing Activities,-15086000,-17621000,15179000,8660000,12766000
96,Effect of Forex Changes on Cash,- -,-208000,268000,486000,-442000
97,Net Change In Cash,-869000,5781000,49049000,80595000,72442000
98,Cash at the End of Period,10588000,16369000,65418000,146013000,218455000
99,Cash at the Beginning of Period,11457000,10588000,16369000,65418000,146013000
100,Free Cash Flow,14217000,23610000,33602000,71449000,60118000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1746618/000156459020006806/0001564590-20-006806-index.htm,https://www.sec.gov/Archives/edgar/data/1746618/000156459021008799/0001564590-21-008799-index.htm,https://www.sec.gov/Archives/edgar/data/1746618/000095017022002309/0000950170-22-002309-index.htm
102,false,,,,,
