,https://roic.ai/company/IDEX,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,2525242,- -,3004092,6361970,8443088,7648962,7868175,6873230,308695,1962622,4606380,4543616,144338805,377742872,44566955,26759000
2,COGS,- -,1442868,- -,1657979,3740381,5661502,4722058,5525625,7083517,3126089,2756363,3673895,4434260,137188353,374575038,1457773,24702000
3,Gross Profit,- -,1082374,- -,1346113,2621589,2781586,2926904,2342550,-210287,-2817394,-793741,932485,109356,7150452,3167834,43109182,2057000
4,Gross Profit Ratio,- -,0.4286,- -,0.4481,0.4121,0.3295,0.3827,0.2977,-0.0306,-9.1268,-0.4044,0.2024,0.0241,0.0495,0.0084,0.9673,0.0769
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,406845,1654491,- -,1635000
6,General and Administrative Exp.,- -,500000,- -,- -,- -,641334,1240290,- -,12156201,8314434,8112838,8952779,11728002,16001881,27221775,30690593,44940000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,500000,168178,1608995,2542791,3868959,5159674,10916027,12156201,8314434,8112838,8952779,11728002,16001881,27221775,30690593,44940000
9,Other Expenses,- -,- -,- -,1718307,3037199,3564334,4282586,4423760,4082936,774480,536689,390373,489308,306801,352332,2228653,42361000
10,Operating Expenses,- -,500000,168178,3327302,5579990,7433293,9442260,15339787,16239137,9088914,8649527,9343152,12217310,16715527,29228598,32919246,88936000
11,COGS and Expenses,- -,500000,168178,4985281,9320371,13094795,14164318,20865412,23322654,12215003,11405890,13017047,16651570,153903880,403803636,34377019,113638000
12,Interest Income ,- -,- -,- -,- -,- -,8354,8113,10574,8636,3426,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,5963000,6762,404555,302770,362424,553971,1764,78953,374178,2374368,119913,254292,95658,804595,5616282,15970000
14,Depreciation and Amortization,- -,- -,- -,1744430,3369930,3578309,4282586,4423760,4082936,1616966,536689,390373,489938,306801,352332,2228653,5310000
15,EBITDA,- -,4963000,-168178,122164,411832,-1742047,-8585140,-7214084,-10404503,-4951654,-9802073,-7625435,-25421835,-9433142,-26309673,-89418227,-84763000
16,EBITDA ratio,- -,1.9654,-Infinity,0.0407,0.0647,-0.2063,-1.1224,-0.9169,-1.5138,-16.0406,-4.9944,-1.6554,-5.5951,-0.0654,-0.0696,-2.0064,-3.1676
17,Operating Income,- -,-500000,-168178,-1981189,-2958401,-4651707,-8920364,-13242098,-17289424,-12217557,-9443268,-8410667,-27826582,-9781543,-26195054,-68572684,-86879000
18,Operating Income ratio,- -,-0.1980,-Infinity,-0.6595,-0.4650,-0.5509,-1.1662,-1.6830,-2.5155,-39.5781,-4.8116,-1.8259,-6.1243,-0.0678,-0.0693,-1.5386,-3.2467
19,Total Other Income Expenses (Gains),- -,- -,-6762,-45632,-302467,-2133829,-7117365,230326,648934,-1035685,-3885545,-164702,58756,-411326,-2268274,-27838238,-19164000
20,Income Before Tax,- -,-500000,-174940,-2026821,-3260868,-6785536,-16037729,-13011772,-16640490,-13253242,-13328813,-8575369,-27767826,-10192869,-28463328,-96410922,-106043000
21,Income Before Tax Ratio,- -,-0.1980,-Infinity,-0.6747,-0.5126,-0.8037,-2.0967,-1.6537,-2.4211,-42.9331,-6.7913,-1.8616,-6.1114,-0.0706,-0.0754,-2.1633,-3.9629
22,Income Tax expense (Gain),- -,- -,- -,-50068,93997,-243655,-517723,-369707,-353085,-111266,-304670,-34448,-330124,- -,-40244,417453,- -
23,Net Income,- -,-1000000,-174940,-1976753,-3354865,-5439125,-12903974,-11269901,-14213307,-6831532,-12408460,-8101273,-25835941,-9835601,-27426356,-97680615,-106043000
24,Net Income ratio,- -,-0.3960,-Infinity,-0.6580,-0.5273,-0.6442,-1.6870,-1.4323,-2.0679,-22.1304,-6.3224,-1.7587,-5.6862,-0.0681,-0.0726,-2.1918,-3.9629
25,EPS,- -,-0.00,-24.55,-3.00,-5.25,-6.75,-5.25,-1.15,-1.36,-0.54,-1.47,-0.34,-0.72,-0.16,-0.35,-0.82,-0.46
26,EPS Diluted,- -,-0.00,-24.55,-3.00,-5.25,-6.75,-5.25,-1.15,-1.36,-0.54,-1.47,-0.34,-0.72,-0.16,-0.35,-0.82,-0.46
