,https://roic.ai/company/TBTC,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,125001,60537,169259,103748,309231,183921000,595229000,1184956000,860000,2720000,4620000,3220000,3020000,2620000,4780000,5320000,3478580,3766040,5836380,6380370,7818700,7505370,4401441,6966683
2,COGS,1849,25319,24366,17995,40342,13524000,90776000,292496000,150000,720000,1110000,750000,700000,690000,1200000,1550000,635670,1082720,1656240,1948180,2500410,1715050,1073523,1895733
3,Gross Profit,123152,35218,144893,85753,268889,170397000,504453000,892460000,710000,2000000,3510000,2470000,2320000,1930000,3580000,3770000,2842910,2683320,4180140,4432190,5318290,5790320,3327918,5070950
4,Gross Profit Ratio,0.9852,0.5818,0.8560,0.8266,0.8695,0.9265,0.8475,0.7532,0.8256,0.7353,0.7597,0.7671,0.7682,0.7366,0.7490,0.7086,0.8173,0.7125,0.7162,0.6947,0.6802,0.7715,0.7561,0.7279
5,Research and Development Exp.,54,1475,6484,9960,1136,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,23240,22060,76160,46690,118770,272160,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3670912,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",200,50331,269412,438612,487655,266329,399801,589687,634686,856889,1662479,2517556,2238412,2678231,3616539,2965006,2865759,3393688,3976211,4107117,4611097,4853767,3670912,- -
9,Other Expenses,153093,110082,15586,1365,1365,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000,-23240,-22060,-76160,-46690,-118770,-272160,- -,13090121
10,Operating Expenses,153347,161888,291482,449937,490156,266329,399801,589687,634686,856889,1662479,2517556,2238412,2678231,3616539,2965006,2865759,3393688,3976211,4107117,4611097,4853767,3670912,13090121
11,COGS and Expenses,155196,187207,315848,467932,530498,279853000,490577000,882183000,790000,1580000,2770000,3270000,2940000,3360000,4820000,4520000,3501430,4476410,5632450,6055290,7111500,6568820,4744435,14985854
12,Interest Income ,- -,- -,- -,28091,1937,191,- -,- -,1929,50817,73094,176613,- -,87556,116796,95561,63155,53586,98534,102888,70447,56448,79487,83304
13,Interest Expense (Gain),- -,- -,6667,6672,21,977,368,- -,- -,- -,- -,101530,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,5879,5127,8919,1365,1365,1365,1365,1365,1365,1089,8564,12954,24480,43048,58239,48168,14938,10089,22473,33222,45845,47952,43306,22964
15,EBITDA,-24316,-133985,-131003,-352856,-219184,-96715658,104285733,302774365,71365,1191089,1938564,144484,164480,-606952,128239,948168,55238,-663181,301323,771272,813815,1040952,253199,2031615
16,EBITDA ratio,-0.1945,-2.2133,-0.7740,-3.4011,-0.7088,-0.5259,0.1752,0.2555,0.0830,0.4379,0.4196,0.0449,0.0545,-0.2317,0.0268,0.1782,0.0159,-0.1761,0.0516,0.1209,0.1041,0.1387,0.0575,0.2916
17,Operating Income,-30195,-126670,-146589,-364184,-221267,-95932,104652,302773,72007,1137132,1853534,-51417,82935,-739685,-38647,804257,-22853,-710371,203932,325075,707193,936550,-342994,1508947
18,Operating Income ratio,-0.2416,-2.0924,-0.8661,-3.5103,-0.7155,-0.0005,0.0002,0.0003,0.0837,0.4181,0.4012,-0.0160,0.0275,-0.2823,-0.0081,0.1512,-0.0066,-0.1886,0.0349,0.0509,0.0904,0.1248,-0.0779,0.2166
19,Total Other Income Expenses (Gains),- -,- -,11358,3291,697,-96622068,104179348,302470227,-2007,52868,76466,71417,67065,89685,118647,95743,63153,37101,74918,91975,60777,56450,552887,499704
20,Income Before Tax,- -,- -,- -,-360893,-220570,-96718000,104284000,302773000,70000,1190000,1930000,20000,150000,-650000,80000,900000,40300,-673270,278850,417050,767970,993000,209893,2008651
21,Income Before Tax Ratio,- -,- -,- -,-3.4786,-0.7133,-0.5259,0.1752,0.2555,0.0814,0.4375,0.4177,0.0062,0.0497,-0.2481,0.0167,0.1692,0.0116,-0.1788,0.0478,0.0654,0.0982,0.1323,0.0477,0.2883
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-190000,470000,750000,10000,20000,-230000,50000,320000,7010,-274000,136000,155000,253000,177000,-97000,298000
23,Net Income,-30195,-139112,-146589,-360893,-220570,-96718000,104284000,302773000,260000,720000,1180000,20000,120000,-420000,20000,580000,33290,-399270,142850,583050,514970,816000,306893,1710651
24,Net Income ratio,-0.2416,-2.2980,-0.8661,-3.4786,-0.7133,-0.5259,0.1752,0.2555,0.3023,0.2647,0.2554,0.0062,0.0397,-0.1603,0.0042,0.1090,0.0096,-0.1060,0.0245,0.0914,0.0659,0.1087,0.0697,0.2455
25,EPS,-0.01,-0.05,-0.05,-0.10,-0.06,-0.03,0.03,0.08,0.07,0.18,0.28,0.00,0.03,-0.09,0.01,0.12,0.01,-0.09,0.03,0.13,0.12,0.18,0.07,0.38
26,EPS Diluted,-0.01,-0.05,-0.05,-0.10,-0.06,-0.03,0.03,0.07,0.06,0.17,0.26,0.00,0.03,-0.09,0.01,0.12,0.01,-0.09,0.03,0.13,0.11,0.18,0.07,0.38
27,Weighted Average Shares Outstanding,2563689,2748474,2952373,3545653,3601690,3654431,3831534,3852784,3969897,4012147,4159234,4162234,4281523,4652382,4726110,4764120,4776085,4591937,4516171,4511965,4473591,4491135,4486788,4486788
28,Weighted Average Shares Outstanding Diluted,2563689,2748474,2952373,3545653,3601690,3654431,4202220,4255990,4400916,4337806,4468609,4463049,4281523,4652382,4726110,4764120,4776085,4591937,4516171,4511965,4490795,4500027,4497599,4486788
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1090396/000109039604000002/0001090396-04-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000109039605000002/0001090396-05-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000109039606000007/0001090396-06-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000109039607000001/0001090396-07-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000109039608000002/0001090396-08-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000109039609000001/0001090396-09-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420410017616/0001144204-10-017616-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420411019170/0001144204-11-019170-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420412017948/0001144204-12-017948-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420413018121/0001144204-13-018121-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420414017787/0001144204-14-017787-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420415019192/0001144204-15-019192-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420416091605/0001144204-16-091605-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420417017231/0001144204-17-017231-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420418018239/0001144204-18-018239-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000161577419004791/0001615774-19-004791-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000121390020007284/0001213900-20-007284-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000143774921007795/0001437749-21-007795-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000143774922007336/0001437749-22-007336-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,139000,16594000,19776000,99996000,310000,610000,1210000,1320000,940000,830000,610000,1040000,1208200,289110,102690,1322740,1290800,1263760,1731869,4945913
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39369
33,Cash and Short-Term Investments,- -,- -,- -,- -,139000,16594000,19776000,99996000,310000,610000,1210000,1320000,940000,830000,610000,1040000,1208200,289110,102690,1322740,1290800,1263760,1731869,4985282
34,Net Receivables,- -,- -,- -,- -,9966000,5034000,26396000,266973000,220000,1020000,2050000,1310000,1940000,2060000,3030000,3330000,2241190,2563030,2983180,3053280,2866470,2705570,1303724,1017533
35,Inventory,- -,- -,- -,- -,674000,1195000,2956000,6767000,100000,160000,250000,190000,150000,150000,190000,470000,893740,656140,843230,466210,762170,1263590,1748414,1582358
36,Other Current Assets,- -,- -,- -,- -,4963000,1205000,2400000,2400000,10000,20000,10000,40000,160000,80000,140000,150000,98610,88170,151150,464390,291830,379980,408443,799524
37,Total Current Assets,- -,- -,- -,- -,15742000,24028000,51528000,376136000,640000,1810000,3520000,2860000,3190000,3120000,3970000,4990000,4441740,3596450,4080250,5306620,5211270,5612900,5192450,8384697
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000,30000,100000,120000,60000,20000,2140,54530,33430,71790,86660,152070,30843,181975
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,10000,10000,10000,10000,10000,10000,10000,- -,4370,1640,270,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,10000,10000,10000,10000,10000,10000,10000,- -,4370,1640,270,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,516000,555000,543000,- -,9000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,190000,290000,70000,230000,280000,1330000,1110000,1350000,1038130,3190080,2866840,1966200,1003750,2748030,- -,-7958695
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,200000,300000,110000,280000,390000,1460000,1180000,1370000,1044640,3246250,2900540,2553990,1645410,3443100,30843,-7767720
46,Other Assets,- -,- -,- -,- -,20777000,18933000,16374000,15009000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,36519000,42961000,67902000,391145000,840000,2110000,3630000,3140000,3580000,4580000,5150000,6360000,5486380,6842700,6980790,7860610,6856680,9056000,5223293,616977
48,Accounts Payable,- -,- -,- -,- -,5773000,3868000,5874000,8946000,13609000,65509000,225557000,139697,93648,135456,359018,567051,217352,413235,473336,635112,387868,367730,104362,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10907,- -,- -,- -,7096,7096,- -,2221,53538,40742,51046
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109967,- -,- -,- -,53027,- -,- -,438022
51,Deferred Revenue,- -,- -,- -,- -,- -,88583000,- -,- -,174795000,169353000,389297000,- -,25000000,45600,22409,44950,38975,37810,30960,18168,334784,- -,- -,1576000
52,Other Current Liabilities,- -,- -,- -,- -,7625000,3843000,11077000,15194000,-188194000,-234172000,-613584000,570303,-24333648,608037,678573,997999,937643,826449,941798,30090,87417,298212,205350,723156
53,Total Current Liabilities,- -,- -,- -,- -,13398000,96294000,16951000,24140000,210000,690000,1270000,710000,760000,800000,1060000,1610000,1193970,1284590,1453190,683370,812290,719480,350454,2350202
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,10000,- -,- -,26220,18100,- -,- -,- -,- -,124114
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1228629,1457793,1536862,1090746,2890467,2745081,3313772,1690660,3148410,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,- -,579947,638947,957747,766947,797000,914000,516000,555000,543000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8990000,- -,-578576,-636740,-954609,-766953,-797007,-914001,-2,- -,27860,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,- -,1250000,1470000,1540000,1090740,2916680,2763180,3829770,2245660,3719270,- -,124114
59,Other Liabilities,- -,- -,- -,- -,23121000,- -,50951000,367005000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,259939,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81405,49681,- -
61,Total Liabilities,- -,- -,- -,- -,36519000,42961000,67902000,391145000,210000,690000,1270000,720000,760000,2050000,2530000,3150000,2284710,4201270,4216370,4513140,3057950,4438750,610393,2474316
62,Preferred Stock,- -,- -,- -,- -,3320,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,1278718000,1302302000,1302302000,1315583000,1320000,1390000,4162000,4162,4586,4704,4760,4770,4710,4530,4510,4510,4530,4510,4507,4522
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,-690000,30000,1000000,1010000,1140000,710000,740000,1320000,1353180,953910,1096760,1679810,2194780,3010780,3057647,4768298
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30000,-30000,-30000,-80000,-130000,-180000,- -,- -,- -,- -,- -,-186610,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,-1278698199,-1302355333,-1302251049,-1315215995,4128,-5027,-2777208,1436886,1708621,1902046,2002964,2063892,1843774,1682989,1663155,1663156,1599426,1788566,1631339,1754538
67,Total Stockholders Equity,- -,- -,- -,- -,23121,-53333,50951,367005,634128,1414973,2354792,2421048,2823207,2536750,2617724,3208662,3201664,2641429,2764425,3347476,3798736,4617246,4693493,6527358
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,36542121,42907667,67952951,391512005,844128,2104973,3624792,3141048,3583207,4586750,5147724,6358662,5486374,6842699,6980795,7860616,6856686,9055996,5303886,9001674
69,Minority Interest,- -,- -,- -,- -,-23121,53333,-50951,-367005,-4128,5027,5208,-1048,-3207,-6750,2276,1338,6,1,-5,-6,-6,4,-80593,-8384697
70,Total Liabilities & Equity,- -,- -,- -,- -,36519000,42961000,67902000,391145000,840000,2110000,3630000,3140000,3580000,4580000,5150000,6360000,5486380,6842700,6980790,7860610,6856680,9056000,5223293,616977
71,SEC Link,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1090396/000109039604000002/0001090396-04-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000109039605000002/0001090396-05-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000109039606000007/0001090396-06-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000109039607000001/0001090396-07-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000109039608000002/0001090396-08-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000109039609000001/0001090396-09-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420410017616/0001144204-10-017616-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420411019170/0001144204-11-019170-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420412017948/0001144204-12-017948-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420413018121/0001144204-13-018121-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420414017787/0001144204-14-017787-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420415019192/0001144204-15-019192-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420416091605/0001144204-16-091605-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420417017231/0001144204-17-017231-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420418018239/0001144204-18-018239-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000161577419004791/0001615774-19-004791-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000121390020007284/0001213900-20-007284-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000143774921007795/0001437749-21-007795-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000143774922007336/0001437749-22-007336-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-30195,-139112,-146589,-360893,-220570,-96718000,104284000,302773000,260000,720000,1180000,20000,120000,-420000,20000,580000,33290,-399270,142850,583050,514970,816000,306893,1710651
74,Depreciation and Amortization,5879,5127,8919,1365,1365,1365,1365,1365,1365,1089,8564,12954,24480,43048,58239,48168,14938,10089,22473,33222,45845,47952,43306,22964
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-185000,470000,334000,-36000,38541,-55594,53000,318800,-189800,-281947,294000,-244000,39000,-12000,-214000,-260000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15750,51632,72100,55125,- -,- -,- -,- -,- -,- -,- -,44562,29376,123214
77,Change in Working Capital,15194,- -,- -,- -,2344000,-74610000,106843000,317419000,-351566000,690000,1130000,-100000,280000,-110000,590000,470000,-132230,-935910,315200,1996190,-224270,494440,-51424,1192499
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-900574,514886,-560864,-1143743,-1059565,-1017435,1255538,-1248274,-179307,-471201,546167,-1021403,940604,31309
