,https://roic.ai/company/WRK,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,655500000,650700000,705800000,902900000,876100000,1109700000,1293600000,1310400000,1463288000,1441632000,1436547000,1433346000,1581261000,1733481000,2138100000,2315800000,2838900000,2812300000,3001400000,5399600000,9207600000,9545400000,9895100000,11381300000,14171800000,14859700000,16285100000,18289000000,17578800000,18746100000
2,COGS,464200000,463500000,494800000,644200000,583600000,786300000,879300000,894700000,1106845000,1144801000,1145524000,1168290000,1310924000,1459217000,1789000000,1870200000,2296800000,2049600000,2281300000,4407700000,7674900000,7698900000,7961500000,9170500000,11413200000,12119500000,12891200000,14540000000,14381600000,15315800000
3,Gross Profit,191300000,187200000,211000000,258700000,292500000,323400000,414300000,415700000,356443000,296831000,291023000,265056000,270337000,274264000,349100000,445600000,542100000,762700000,720100000,991900000,1532700000,1846500000,1933600000,2210800000,2758600000,2740200000,3393900000,3749000000,3197200000,3430300000
4,Gross Profit Ratio,0.2918,0.2877,0.2990,0.2865,0.3339,0.2914,0.3203,0.3172,0.2436,0.2059,0.2026,0.1849,0.1710,0.1582,0.1633,0.1924,0.1910,0.2712,0.2399,0.1837,0.1665,0.1934,0.1954,0.1942,0.1947,0.1844,0.2084,0.2050,0.1819,0.1830
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,954300000,1023600000,1053500000,1750100000,1432200000,1677500000,1708900000,1623300000,1759300000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",103300000,102000000,113500000,139500000,151800000,197100000,229500000,236100000,243591000,180280000,189736000,184642000,199355000,204918000,244200000,259100000,310500000,330800000,339900000,541200000,927500000,954300000,1023600000,1053500000,1750100000,1432200000,1677500000,1708900000,1623300000,1759300000
9,Other Expenses,28900000,29100000,34300000,43200000,48600000,62100000,70800000,72500000,77061000,25462000,18237000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130400000,211800000,229600000,296600000,400200000,400500000,357100000
10,Operating Expenses,132200000,131100000,147800000,182700000,200400000,259200000,300300000,308600000,320652000,205742000,207973000,184642000,199355000,204918000,244200000,259100000,310500000,330800000,339900000,541200000,927500000,954300000,1023600000,1183900000,1961900000,1661800000,1974100000,2109100000,2023800000,2116400000
11,COGS and Expenses,596400000,594600000,642600000,826900000,784000000,1045500000,1179600000,1203300000,1427497000,1350543000,1353497000,1352932000,1510279000,1664135000,2033200000,2129300000,2607300000,2380400000,2621200000,4948900000,8602400000,8653200000,8985100000,10354400000,13375100000,13781300000,14865300000,16649100000,16405400000,17432200000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,-900000,2400000,11000000,58600000,66700000,- -,- -,- -,46600000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96700000,75500000,88900000,119700000,106900000,95300000,132700000,256700000,277700000,293800000,431300000,393500000,418900000
14,Depreciation and Amortization,28900000,29100000,34300000,43200000,48600000,62100000,70800000,72500000,77061000,77593000,72521000,72683000,74189000,84040000,104300000,103700000,135300000,150000000,147400000,278300000,534300000,- -,- -,130400000,211800000,229600000,296600000,400200000,400500000,1460000000
15,EBITDA,84600000,70600000,95300000,111100000,131000000,99900000,145400000,142800000,72715000,130013000,120495000,121003000,93421000,103896000,142900000,230700000,261400000,560600000,513200000,577800000,1040000000,812400000,861500000,1020700000,162000000,1374500000,1622000000,1971200000,266600000,2960600000
16,EBITDA ratio,0.1291,0.1085,0.1350,0.1230,0.1495,0.0900,0.1124,0.1090,0.0497,0.0902,0.0839,0.0844,0.0591,0.0599,0.0668,0.0996,0.0921,0.1993,0.1710,0.1070,0.1130,0.0851,0.0871,0.0897,0.0114,0.0925,0.0996,0.1078,0.0152,0.1579
17,Operating Income,59100000,56100000,63200000,76000000,92100000,64200000,114000000,107100000,35791000,91089000,83050000,78730000,38244000,61821000,97100000,181800000,216000000,418500000,372800000,357400000,530000000,814200000,854400000,879500000,430300000,835000000,1282500000,1494400000,-256200000,1281200000
18,Operating Income ratio,0.0902,0.0862,0.0895,0.0842,0.1051,0.0579,0.0881,0.0817,0.0245,0.0632,0.0578,0.0549,0.0242,0.0357,0.0454,0.0785,0.0761,0.1488,0.1242,0.0662,0.0576,0.0853,0.0863,0.0773,0.0304,0.0562,0.0788,0.0817,-0.0146,0.0683
19,Total Other Income Expenses (Gains),-3400000,-14600000,-2200000,-8100000,-9700000,-26400000,-39400000,-36800000,-40137000,-38955000,-29232000,-30445000,-27009000,-41965000,-58500000,-54800000,-89900000,-104600000,-77400000,-141900000,-140900000,-103500000,-84100000,-117200000,-185700000,22600000,-247700000,-349700000,-266400000,-195300000
20,Income Before Tax,55700000,41500000,61000000,67900000,82400000,37800000,74600000,70300000,-4346000,52134000,53818000,48285000,11235000,19856000,38600000,127000000,126100000,313900000,295400000,215500000,389100000,710700000,770300000,762300000,244600000,857600000,1034800000,1144700000,-522600000,1085900000
21,Income Before Tax Ratio,0.0850,0.0638,0.0864,0.0752,0.0941,0.0341,0.0577,0.0536,-0.0030,0.0362,0.0375,0.0337,0.0071,0.0115,0.0181,0.0548,0.0444,0.1116,0.0984,0.0399,0.0423,0.0745,0.0778,0.0670,0.0173,0.0577,0.0635,0.0626,-0.0297,0.0579
22,Income Tax expense (Gain),22500000,16000000,23500000,26500000,31300000,21700000,32600000,30600000,11570000,21897000,21348000,18744000,1584000,2242000,9900000,45300000,44300000,91600000,64700000,69500000,136900000,-21800000,286500000,250500000,89800000,159000000,-874500000,276800000,163500000,243400000
23,Net Income,33200000,25500000,37500000,41400000,51100000,16100000,42000000,39700000,-15916000,30523000,26626000,29576000,17648000,17614000,28700000,81700000,81800000,222300000,225600000,141100000,249100000,727300000,479700000,507100000,-396300000,708200000,1906100000,862900000,-690900000,838300000
24,Net Income ratio,0.0506,0.0392,0.0531,0.0459,0.0583,0.0145,0.0325,0.0303,-0.0109,0.0212,0.0185,0.0206,0.0112,0.0102,0.0134,0.0353,0.0288,0.0790,0.0752,0.0261,0.0271,0.0762,0.0485,0.0446,-0.0280,0.0477,0.1170,0.0472,-0.0393,0.0447
25,EPS,0.46,0.35,0.50,0.55,0.68,0.23,0.60,0.57,-0.23,0.46,0.40,0.43,0.26,0.25,0.40,1.06,1.09,2.87,2.90,0.99,1.75,5.05,3.43,1.97,-1.58,2.78,7.46,3.35,-2.65,3.16
26,EPS Diluted,0.46,0.35,0.50,0.55,0.68,0.23,0.60,0.56,-0.23,0.46,0.39,0.42,0.25,0.24,0.39,1.03,1.07,2.87,2.85,0.99,1.73,4.97,3.29,1.97,-1.58,2.77,7.34,3.33,-2.67,3.13
27,Weighted Average Shares Outstanding,71663366,72947368,75000000,75272727,74946667,68510638,69421488,69649123,69200000,66354348,67407595,68781395,69207843,70456000,72658228,77075472,74800000,75600000,77806072,140935808,141768004,144000000,140000000,257000000,251000000,254500000,255500000,257800000,260400000,265000000
28,Weighted Average Shares Outstanding Diluted,71663366,72947368,75000000,75272727,74946667,71111111,70000000,70265487,69200000,67083516,69158442,69590588,70592000,71893878,74545455,78937198,76400000,77400000,78200000,140935808,144200000,146200000,146000000,257000000,257900000,255700000,259800000,259100000,260400000,267500000
