,https://roic.ai/company/AUPH,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,781250,1358197,902773,5297177,11916967,7661343,1273562,1177889,3522649,2334646,3876746,4052144,3420453,927522,6157836,948562,278000,235000,173000,420000,463000,318000,50118000,45605000
2,COGS,520833,679099,680662,1025139,686015,- -,- -,- -,597117,1050187,2115037,575876,50992,185113,5555723,1934690,9149000,15994000,14538000,33931000,41382000,52866000,50327000,1091000
3,Gross Profit,260417,679099,222111,4272039,11230952,7661343,- -,1177889,2925532,1284459,1761709,3476268,3369461,742409,602113,-986128,-8871000,-15759000,-14365000,-33511000,-40919000,-52548000,-209000,44514000
4,Gross Profit Ratio,0.3333,0.5000,0.2460,0.8065,0.9424,1.0000,- -,1.0000,0.8305,0.5502,0.4544,0.8579,0.9851,0.8004,0.0978,-1.0396,-31.9101,-67.0596,-83.0347,-79.7881,-88.3780,-165.2453,-0.0042,0.9761
5,Research and Development Exp.,1432292,1426107,4778313,8409653,7105970,9123437,13520056,19445497,19003946,29697061,11442892,7651609,3989362,3476004,- -,1933751,- -,- -,- -,33930000,- -,- -,50327000,51139000
6,General and Administrative Exp.,1367188,1018648,1772978,3053430,4965985,8332241,7850167,9783020,6193377,5711401,4539030,3609970,3267477,2744368,3902174,2231468,6890000,6263000,6970000,12096000,13674000,22154000,95983000,171438000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1367188,1018648,1772978,3053430,4965985,8332241,7850167,9783020,6193377,5711401,4539030,3609970,3267477,2744368,3902174,2231468,6890000,6263000,6970000,12096000,13674000,22154000,95983000,171438000
9,Other Expenses,130208,-543279,411003,338572,701895,1422766,3062039,2238677,1881434,1900434,1398521,1231974,1158815,960823,2168210,-1120430,1521000,1558000,1479000,-32474000,1565000,1548000,1289000,2672000
10,Operating Expenses,2929688,1901476,6962293,11801656,12773850,18878444,24432262,31467195,27078758,37308896,17380444,12493554,8415653,7181195,6070384,3044789,8411000,7821000,8449000,13552000,15239000,23702000,147599000,225249000
11,COGS and Expenses,3450521,2580575,7642955,12826794,13459865,18878444,24432262,31467195,27675875,38359083,19495481,13069430,8466645,7366308,11626107,4979479,17560000,23815000,22987000,47483000,56621000,76568000,147599000,226340000
12,Interest Income ,- -,- -,478743,- -,- -,- -,- -,- -,- -,- -,- -,- -,11998,9794,7036,2818,65000,50000,27000,1040000,2234000,2702000,1516000,529000
13,Interest Expense (Gain),- -,- -,14981,- -,- -,34702,- -,381436,268531,- -,741167,1028555,- -,979,56291,100491,30000,- -,- -,- -,- -,39000,- -,- -
14,Depreciation and Amortization,260417,203730,411003,331034,680933,1336397,2250986,1970897,-867364,1416742,1401808,1274950,1146817,960823,851402,813321,1521000,1558000,1479000,1456000,1565000,1548000,1371000,2761000
15,EBITDA,-1953125,-1018648,-5845226,-7018304,386836,-13148824,-20305455,-26722060,-23452299,-32405332,-13738702,-5294623,-2412614,-1445642,-8829649,-5488509,-15096000,-17049000,-21816000,-69336000,-62482000,-122115000,-101403000,-177445000
16,EBITDA ratio,-2.5000,-0.7500,-6.4747,-1.3249,0.0325,-1.7163,-15.9438,-22.6864,-6.6576,-13.8802,-3.5439,-1.3066,-0.7053,-1.5586,-1.4339,-5.7861,-54.3022,-72.5489,-126.1040,-165.0857,-134.9503,-384.0094,-2.0233,-3.8909
17,Operating Income,-2669271,-1222378,-6740183,-7529617,-1542898,-11217101,-23158700,-30289306,-24153226,-36024437,-16359901,-10045841,-5046193,- -,- -,-5505414,- -,- -,- -,-47063000,- -,- -,-104290000,-180735000
18,Operating Income ratio,-3.4167,-0.9000,-7.4661,-1.4214,-0.1295,-1.4641,-18.1842,-25.7149,-6.8566,-15.4304,-4.2200,-2.4791,-1.4753,- -,- -,-5.8040,- -,- -,- -,-112.0548,- -,- -,-2.0809,-3.9631
19,Total Other Income Expenses (Gains),325521,- -,468973,180279,1248801,-3302822,602259,1214913,1299760,2202363,478225,2447713,-412934,4031342,-4270076,-896907,635000,4973000,-481000,-23729000,-7889000,-47452000,1516000,529000
20,Income Before Tax,- -,- -,-6271210,-7349339,-294097,-14519923,-22556441,-29074393,-22853466,-33822074,- -,- -,-5459127,-2407444,-9738347,-6402322,-16647000,-18607000,-23295000,-70792000,-64047000,-123702000,-102774000,-180206000
21,Income Before Tax Ratio,- -,- -,-6.9466,-1.3874,-0.0247,-1.8952,-17.7113,-24.6835,-6.4876,-14.4870,- -,- -,-1.5960,-2.5956,-1.5815,-6.7495,-59.8813,-79.1787,-134.6532,-168.5524,-138.3305,-389.0000,-2.0506,-3.9515
22,Income Tax expense (Gain),- -,- -,13678,55277,71777,126468,3327,861,-858,- -,- -,- -,100984,- -,- -,-3856232,- -,- -,- -,- -,73000,144000,-94000,760000
23,Net Income,-2213542,-1222378,-6284888,-7404616,-365875,-14646391,-22559768,-29075254,-22852608,-33822074,-15881676,-7598128,-3660414,-2407444,-9737342,-2546090,-16647000,-18607000,-23295000,-70792000,-64120000,-123846000,-102680000,-180966000
24,Net Income ratio,-2.8333,-0.9000,-6.9618,-1.3978,-0.0307,-1.9117,-17.7139,-24.6842,-6.4873,-14.4870,-4.0967,-1.8751,-1.0702,-2.5956,-1.5813,-2.6842,-59.8813,-79.1787,-134.6532,-168.5524,-138.4881,-389.4528,-2.0488,-3.9681
25,EPS,-4.56,-2.38,-8.47,-7.22,-0.32,-10.41,-14.97,-18.51,-13.73,-16.16,-7.40,-3.34,-1.50,-0.49,-2.51,-0.40,-0.57,-0.58,-0.66,-0.92,-0.76,-1.33,-0.87,-1.53
26,EPS Diluted,-4.56,-2.38,-8.47,-7.22,-0.32,-10.41,-14.97,-18.51,-13.73,-16.16,-7.40,-3.34,-1.50,-0.49,-2.51,-0.40,-0.57,-0.58,-0.66,-0.92,-0.76,-1.33,-0.87,-1.53
27,Weighted Average Shares Outstanding,485714,514286,749004,1013628,1152000,1406889,1506667,1570605,1664812,2093375,2124869,2393906,2761000,3459280,3552380,6344000,29158000,32154000,35285000,76947826,84782000,93024000,118473000,118473000
28,Weighted Average Shares Outstanding Diluted,485714,514286,749004,1013628,1288980,1406889,1508280,1581240,1685400,2093375,2124869,2393906,2761000,3459280,3552380,6344000,29158000,32154000,35285000,76947826,84782000,93024000,118473000,118473000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1600620/000117625616000479/0001176256-16-000479-index.html,https://www.sec.gov/Archives/edgar/data/1600620/000119312517075811/0001193125-17-075811-index.html,https://www.sec.gov/Archives/edgar/data/1600620/000162828018003228/0001628280-18-003228-index.html,https://www.sec.gov/Archives/edgar/data/1600620/000162828019003130/0001628280-19-003130-index.html,https://www.sec.gov/Archives/edgar/data/1600620/000162828020003036/0001628280-20-003036-index.html,https://www.sec.gov/Archives/edgar/data/1600620/000162828021003060/0001628280-21-003060-index.htm,https://www.sec.gov/Archives/edgar/data/1600620/000162828022004082/0001628280-22-004082-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2580575,5320888,30802523,19851236,27624020,14880962,16705700,13361359,32338685,21118324,4583134,6347984,5923604,184956,1819172,22706000,5756000,39649000,165629000,117967000,306019000,272350000,231900000
32,Short-Term Investments,- -,- -,6470523,2662722,20931075,35225985,35205550,28779921,8728552,- -,- -,- -,- -,- -,- -,- -,9998000,9997000,- -,7833000,7889000,- -,125979000,234178000
33,Cash and Short-Term Investments,- -,2580575,11791411,33465245,40782311,62850004,50086512,45485621,22089911,32338685,21118324,4583134,6347984,5923604,184956,1819172,32704000,15753000,39649000,173462000,125856000,306019000,398329000,466078000
34,Net Receivables,195313,135820,154370,386940,2230819,288409,346881,384880,397220,488741,406738,735364,113982,279138,183951,106126,92000,47000,86000,109000,217000,368000,1018000,15414000
35,Inventory,130208,339549,558859,546489,516417,561395,603091,268641,256520,2007472,119967,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13927000,19326000
36,Other Current Assets,260417,- -,88584,589203,299179,412564,1249439,714655,887955,487731,101890,85952,116981,2114594,75390,169051,755000,734000,1683000,1681000,6775000,8750000,6153000,12506000
37,Total Current Assets,585938,3055944,12593225,34987877,43828725,64112372,52285923,46853797,23631606,35322630,21746919,5404450,6578947,8317336,444297,2094349,33551000,16534000,41418000,175252000,132848000,315137000,419427000,513324000
38,PP&E,585938,475369,827216,1215468,5712344,8602913,7099007,5601860,4770933,4350197,2634347,1981664,1263798,649363,88457,36628,52000,36000,29000,31000,41000,93000,10275000,9801000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
