,https://roic.ai/company/PTIX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,9900000,12573000,15615000,18763000,21388000,21626000,18573000,- -,- -,- -,18721000,36982000,113884000,69089000,40026000,- -,- -,85000,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,5100000,6738000,7802000,10958000,11784000,12268000,10548000,- -,- -,- -,597000,5014000,84290000,53872000,42706000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,4800000,5835000,7813000,7805000,9604000,9358000,8025000,- -,- -,- -,18124000,31968000,29594000,15217000,-2680000,- -,- -,85000,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.4848,0.4641,0.5004,0.4160,0.4490,0.4327,0.4321,- -,- -,- -,0.9681,0.8644,0.2599,0.2203,-0.0670,- -,- -,1.0000,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,417866,717452,881186,807947,699797,1136790
6,General and Administrative Exp.,5100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16060000,14706000,9083000,- -,- -,758000,975000,491000,- -,- -,1432941,1278183,1851814,3003623
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9974000,8386000,4038000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5100000,6496000,6947000,8080000,7769000,8611000,8553000,- -,- -,94470,16650000,37467000,26034000,23092000,13121000,- -,- -,758000,975000,491000,1411466,1647872,1432941,1278183,1851814,3003623
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5867000,3698000,1644000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,5100000,6496000,6947000,8080000,7769000,8611000,8553000,- -,- -,- -,16650000,37467000,31901000,26790000,14765000,- -,- -,758000,- -,491000,1829332,2365324,2314127,2086130,2551611,4140413
11,COGS and Expenses,10200000,13234000,14749000,19038000,19553000,20879000,19101000,- -,- -,94470,17247000,42481000,116191000,80662000,57471000,- -,- -,758000,975000,491000,1829332,2365324,2314127,2086130,2551611,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,464000,748000,72000,10000,- -,- -,- -,- -,- -,907,13890,2790,2813,502,33207
13,Interest Expense (Gain),-200000,197000,- -,- -,496000,440000,306000,- -,- -,- -,14000,22000,147000,76000,16000,- -,- -,- -,3000,18000,7162,- -,- -,15886,246178,496912
14,Depreciation and Amortization,1050000,1123000,1548000,1912000,1890000,2027000,2094000,2490000,- -,- -,25000,1349000,5867000,3698000,1644000,- -,- -,- -,- -,1000,534,148,347,339,286,427137
