,https://roic.ai/company/IRDM,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,75989000,348173000,384307000,383520000,382649000,408557000,411378000,433640000,448046000,523008000,560444000,583439000,614500000
2,COGS,- -,- -,37622000,134240000,125294000,114222000,111408000,116654000,101113000,109244000,124841000,142873000,145144000,142693000,150396000
3,Gross Profit,- -,- -,38367000,213933000,259013000,269298000,271241000,291903000,310265000,324396000,323205000,380135000,415300000,440746000,464104000
4,Gross Profit Ratio,- -,- -,0.5049,0.6144,0.6740,0.7022,0.7089,0.7145,0.7542,0.7481,0.7214,0.7268,0.7410,0.7554,0.7553
5,Research and Development Exp.,- -,- -,5974000,19178000,18684000,15525000,11149000,17587000,16144000,16079000,15247000,22429000,14310000,12037000,11885000
6,General and Administrative Exp.,- -,2592185,- -,- -,- -,67589000,75218000,78636000,81445000,82552000,84405000,97846000,93165000,- -,- -
7,Selling and Marketing Exp.,- -,- -,17029000,66728000,65682000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1274,2592185,17029000,66728000,65682000,67589000,75218000,78636000,81445000,82552000,84405000,97846000,93165000,90052000,100474000
9,Other Expenses,- -,- -,27676000,90667000,97646000,81110000,74980000,72769000,51834000,49394000,108077000,218207000,297705000,303174000,305431000
10,Operating Expenses,- -,2592185,50679000,176573000,182012000,164224000,161347000,168992000,149423000,148025000,207729000,338482000,405180000,405263000,417790000
11,COGS and Expenses,1274,2592185,88301000,310813000,307306000,278446000,272755000,285646000,250536000,257269000,332570000,481355000,550324000,547956000,568186000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,355000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94271000,73906000
14,Depreciation and Amortization,- -,- -,21513000,90667000,97646000,81110000,74980000,72769000,51834000,49394000,122266000,218207000,297705000,303174000,305431000
15,EBITDA,-1274,-8200045,-23613000,126279000,162227000,176128000,185445000,189221000,124949000,227559000,241838000,197558000,79586000,308481000,350449000
16,EBITDA ratio,-Infinity,-Infinity,-0.3107,0.3627,0.4221,0.4592,0.4846,0.4631,0.3037,0.5248,0.5398,0.3777,0.1420,0.5287,0.5703
17,Operating Income,-1274,-2592185,-12312000,37360000,77001000,105074000,109894000,122911000,73803000,176371000,115476000,41653000,10120000,35483000,46314000
18,Operating Income ratio,-Infinity,-Infinity,-0.1620,0.1073,0.2004,0.2740,0.2872,0.3008,0.1794,0.4067,0.2577,0.0796,0.0181,0.0608,0.0754
19,Total Other Income Expenses (Gains),- -,5604554,-33169000,-1748000,-12420000,-10056000,571000,-6459000,-688000,1794000,4096000,-62302000,-228239000,-124447000,-75202000
20,Income Before Tax,- -,3012369,-45481000,35612000,64581000,95018000,110465000,116452000,73115000,178165000,119572000,-20649000,-218119000,-88964000,-28888000
21,Income Before Tax Ratio,- -,Infinity,-0.5985,0.1023,0.1680,0.2478,0.2887,0.2850,0.1777,0.4109,0.2669,-0.0395,-0.3892,-0.1525,-0.0470
22,Income Tax expense (Gain),- -,1356551,-1321000,12921000,24900000,30387000,47948000,41463000,65992000,67133000,-114284000,-7265000,-56120000,-32910000,-19569000
23,Net Income,-3812,1655818,-44160000,22691000,39681000,64631000,62517000,74989000,7123000,111032000,233856000,-13384000,-161999000,-56054000,-9319000
24,Net Income ratio,-Infinity,Infinity,-0.5811,0.0652,0.1033,0.1685,0.1634,0.1835,0.0173,0.2560,0.5219,-0.0256,-0.2891,-0.0961,-0.0152
25,EPS,-0.00,0.04,-0.82,0.32,0.55,0.85,0.72,0.67,-0.09,1.00,2.22,-0.21,-1.26,-0.42,-0.07
26,EPS Diluted,-0.00,0.04,-0.82,0.31,0.54,0.85,0.72,0.67,-0.09,1.00,2.22,-0.21,-1.26,-0.42,-0.07
27,Weighted Average Shares Outstanding,11500000,43268238,53964000,70289000,72164000,76461000,76690000,93905000,95126000,95879000,98203000,112200000,131632000,133491000,133530000
28,Weighted Average Shares Outstanding Diluted,11500000,43268238,53964000,72956000,73559000,76461000,76690000,93905000,95126000,95879000,98203000,112200000,131632000,133491000,133530000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1418819/000095012309005597/0000950123-09-005597-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000119312510058393/0001193125-10-058393-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000119312511057741/0001193125-11-057741-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000119312512097807/0001193125-12-097807-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000114420413012838/0001144204-13-012838-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000114420414013118/0001144204-14-013118-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000114420415012061/0001144204-15-012061-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000156459016013397/0001564590-16-013397-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000156459017002101/0001564590-17-002101-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000141881918000005/0001418819-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000141881919000005/0001418819-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000141881920000004/0001418819-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000141881921000009/0001418819-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000141881922000005/0001418819-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,184378,129140,147178000,119932000,136366000,254418000,186342000,211249000,185665000,371167000,285873000,273352000,223561000,237178000,320913000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,76647000,261136000,203329000,39328000,11753000,- -,- -,7548000,- -
33,Cash and Short-Term Investments,184378,129140,147178000,119932000,136366000,254418000,262989000,472385000,388994000,410495000,297626000,273352000,223561000,244726000,320913000
34,Net Receivables,- -,2667,41189000,61381000,61748000,60437000,55443000,50672000,51668000,57373000,68031000,71210000,68697000,61151000,63410000
35,Inventory,- -,- -,25656000,16654000,15077000,26335000,29532000,28433000,27926000,18204000,20068000,27538000,39938000,32480000,29044000
36,Other Current Assets,- -,11667,7033000,10762000,14051000,25976000,21594000,21623000,13130000,30698000,25347000,18284000,10739000,9464000,11043000
37,Total Current Assets,184378,143474,221056000,208729000,227242000,367166000,369558000,573113000,481718000,516770000,411072000,390384000,342935000,347821000,424410000
38,PP&E,- -,- -,386737000,566519000,843092000,1210693000,1575579000,1971839000,2443567000,2813084000,3210162000,3370855000,3180799000,2917076000,2662336000
39,Goodwill,- -,- -,95439000,87039000,87039000,87039000,87039000,87039000,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,88953000,96602000,83552000,70502000,57452000,47416000,46589000,45796000,50019000,48540000,46977000,45504000,43999000
41,Intangible Assets,- -,- -,184392000,183641000,170591000,157541000,144491000,134455000,46589000,45796000,50019000,48540000,46977000,45504000,43999000
42,Investments,- -,402000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,1168232,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,315622,-161446,16647000,88560000,133261000,180941000,220168000,230274000,232356000,123975000,110798000,204492000,52846000,50548000,50050000
45,Total Non-Current Assets,315622,403006786,587776000,838720000,1146944000,1549175000,1940238000,2336568000,2722512000,2982855000,3370979000,3623887000,3280622000,3013128000,2756385000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,500000,403150260,808832000,1047449000,1374186000,1916341000,2309796000,2909681000,3204230000,3499625000,3782051000,4014271000,3623557000,3360949000,3180795000
48,Accounts Payable,- -,- -,7865000,28132000,24816000,13834000,12934000,17677000,31525000,11131000,43100000,12869000,6713000,14390000,16196000
49,Short-Term Debt,252538,- -,- -,22223000,- -,- -,- -,- -,- -,- -,85500000,126000000,10875000,16766000,16500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,20027000,28215000,35445000,42755000,41367000,36665000,36967000,34087000,38390000,37429000,39080000,32412000,28018000
52,Other Current Liabilities,226274,1610848,42018000,54271000,35629000,32063000,47198000,48008000,33122000,37976000,47236000,86421000,57083000,49504000,48122000
