,https://roic.ai/company/GFASY,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,410621000,416987656,480473227,689354083,1217591931,1740404000,3022346000,3403050000,2940506000,3953282000,2481211000,2150998000,2294319000,915698000,608823000,960891000,400465000,884045000
2,COGS,268672000,292467189,318011628,464669618,796848483,1214401000,2143762000,2460918000,2678338000,2941025000,1863766000,1609246000,1667505000,1029213000,818751000,846169000,282684000,715264000
3,Gross Profit,141949000,124520467,162461599,224684465,420743448,526003000,878584000,942132000,262168000,1012257000,617445000,541752000,626814000,-113515000,-209928000,114722000,117781000,168781000
4,Gross Profit Ratio,0.3457,0.2986,0.3381,0.3259,0.3456,0.3022,0.2907,0.2768,0.0892,0.2561,0.2488,0.2519,0.2732,-0.1240,-0.3448,0.1194,0.2941,0.1909
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,7215000,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,180839000,233129000,273409000,251458000,346693000,234023000,211906000,181413000,106585000,92713000,57089000,54133000,90490000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,154401000,226621000,266660000,393181000,308333000,215649000,148041000,163260000,94946000,87568000,84431000,14889000,28992000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,335240000,459750000,540069000,644639000,655026000,449672000,359947000,344673000,201531000,180281000,141520000,69022000,119482000
9,Other Expenses,- -,94037096,110447362,145619895,220042401,22558000,-42340000,33816000,83428000,80369000,63014000,79251000,47420000,33892000,57522000,34993000,-52798000,8278000
10,Operating Expenses,- -,94037096,110447362,145619895,220042401,357798000,417410000,573885000,728067000,742610000,512686000,439198000,392093000,235423000,237803000,176513000,16224000,127760000
11,COGS and Expenses,268672000,386504285,428458990,610289513,1016890884,1572199000,2561172000,3034803000,3406405000,3683635000,2376452000,2048444000,2059598000,1264636000,1056554000,1022682000,298908000,843024000
12,Interest Income ,- -,3304114,8359264,52860410,49442149,102854000,129566000,128085000,15289000,6512000,13587000,13565000,17386000,687000,2220000,4898000,4195000,12160000
13,Interest Expense (Gain),- -,37638743,36313764,64774688,35287333,61008000,210394000,210202000,184272000,167289000,176823000,121063000,83227000,34759000,103827000,68380000,59379000,59600000
