,https://roic.ai/company/PEB,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,57761000,287987000,380688000,489217000,598776000,770864000,816421000,769317000,828678000,1612213000,442888000,733044000
2,COGS,- -,45063000,201354000,281771000,355250000,410865000,515022000,534412000,516473000,566025000,1099181000,493759000,608255000
3,Gross Profit,- -,12698000,86633000,98917000,133967000,187911000,255842000,282009000,252844000,262653000,513032000,-50871000,124789000
4,Gross Profit Ratio,- -,0.2198,0.3008,0.2598,0.2738,0.3138,0.3319,0.3454,0.3287,0.3170,0.3182,-0.1149,0.1702
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,262000,8443000,13274000,16777000,17166000,26349000,27649000,28105000,24048000,22512000,34047000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",262000,8443000,13274000,16777000,17166000,26349000,27649000,28105000,24048000,22512000,34047000,- -,38166000
9,Other Expenses,- -,5776000,43840000,42794000,55570000,68324000,95872000,102439000,102290000,108475000,243783000,274139000,226187000
10,Operating Expenses,262000,14219000,57114000,59571000,72736000,94673000,123521000,130544000,126338000,130987000,277830000,274139000,264353000
11,COGS and Expenses,262000,59282000,258468000,341342000,427986000,505538000,638543000,664956000,642811000,697012000,1377011000,767898000,872608000
12,Interest Income ,115000,3020000,868000,224000,2620000,2529000,2511000,1995000,97000,178000,- -,- -,- -
13,Interest Expense (Gain),- -,1640000,13653000,14932000,23680000,27065000,38774000,43615000,37299000,51358000,101359000,96802000,86892000
14,Depreciation and Amortization,- -,5776000,30945000,43013000,55570000,68324000,95872000,102439000,102290000,108475000,234880000,224560000,224251000
15,EBITDA,-262000,694000,60018000,85890000,123394000,171506000,231904000,219624000,239658000,174968000,456853000,-74064000,126346000
16,EBITDA ratio,-Infinity,0.0120,0.2084,0.2256,0.2522,0.2864,0.3008,0.2690,0.3115,0.2111,0.2834,-0.1672,0.1724
17,Operating Income,-262000,-1521000,29519000,37112000,57855000,91265000,127635000,139317000,120503000,66972000,229342000,-292709000,-89791000
18,Operating Income ratio,-Infinity,-0.0263,0.1025,0.0975,0.1183,0.1524,0.1656,0.1706,0.1566,0.0808,0.1423,-0.6609,-0.1225
19,Total Other Income Expenses (Gains),- -,-5201000,-13756000,-8738000,-13437000,-14471000,-30050000,-65489000,-20060000,-51845000,-108445000,-103581000,-96520000
20,Income Before Tax,- -,-6722000,15763000,28374000,44418000,76794000,97585000,73828000,100443000,15127000,120897000,-396290000,-186311000
21,Income Before Tax Ratio,- -,-0.1164,0.0547,0.0745,0.0908,0.1283,0.1266,0.0904,0.1306,0.0183,0.0750,-0.8948,-0.2542
22,Income Tax expense (Gain),- -,-80000,564000,1866000,1226000,3251000,2590000,-134000,181000,1742000,5172000,-3697000,61000
23,Net Income,-147000,-6642000,14856000,26079000,42918000,72866000,94668000,73704000,99888000,13393000,115442000,-391729000,-184858000
24,Net Income ratio,-Infinity,-0.1150,0.0516,0.0685,0.0877,0.1217,0.1228,0.0903,0.1298,0.0162,0.0716,-0.8845,-0.2522
25,EPS,-0.04,-0.23,0.08,0.14,0.32,0.72,0.95,0.65,1.20,-0.06,0.63,-3.25,-1.42
26,EPS Diluted,-0.04,-0.23,0.08,0.14,0.32,0.71,0.94,0.64,1.19,-0.06,0.63,-3.25,-1.42
27,Weighted Average Shares Outstanding,4011198,28669851,47921200,55806543,61498389,65646712,71715870,71901499,69591973,74286307,130471670,130610015,130813750
28,Weighted Average Shares Outstanding Diluted,4011198,28669851,47966307,55955497,61836741,66264118,72384289,72373242,69984837,74286307,130718306,130610015,130813750
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1474098/000095012310027805/0000950123-10-027805-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000095012311016631/w81663e10vk.htm,https://www.sec.gov/Archives/edgar/data/1474098/000119312512070591/0001193125-12-070591-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409813000015/0001474098-13-000015-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409814000010/peb-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1474098/000147409815000007/peb-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1474098/000147409816000089/0001474098-16-000089-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409817000010/0001474098-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409818000010/0001474098-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409819000026/0001474098-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409820000039/0001474098-20-000039-index.html,https://www.sec.gov/Archives/edgar/data/1474098/000147409821000053/0001474098-21-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1474098/000147409822000035/0001474098-22-000035-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,319119000,221543000,65684000,85900000,55136000,52883000,26345000,33410000,25410000,83366000,30098000,124274000,58518000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,319119000,221543000,65684000,85900000,55136000,52883000,26345000,33410000,25410000,83366000,30098000,124274000,58518000
34,Net Receivables,- -,- -,11312000,13463000,16850000,21320000,25062000,27687000,29206000,59897000,49619000,10225000,37045000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,3664000,9469000,30523000,43077000,56626000,51786000,45881000,50765000,101147000,86251000,59845000,86294000
37,Total Current Assets,319119000,225207000,86465000,129886000,115063000,130829000,103193000,106978000,105381000,244410000,165968000,194344000,181857000
38,PP&E,- -,599714000,1127484000,10283000,19217000,30891000,30218000,29627000,29037000,199745000,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,10502000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,10502000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,70000000,- -,171765000,283011000,260304000,258828000,248794000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,284000,30594000,20416000,1422982000,1722347000,2349936000,2680725000,2672654000,2456450000,6534193000,6332587000,5882022000,6079333000
45,Total Non-Current Assets,70284000,630308000,1330167000,1716276000,2001868000,2639655000,2959737000,2702281000,2485487000,6733938000,6332587000,5882022000,6079333000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,389403000,855515000,1416632000,1846162000,2116931000,2770484000,3062930000,2809259000,2590868000,6978348000,6498555000,6076366000,6261190000
48,Accounts Payable,- -,20707000,43365000,47364000,61428000,106828000,141897000,149283000,148821000,360279000,516437000,226446000,250584000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255106000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,4380000,- -,- -,- -,- -,- -,- -,54741000,57704000,36057000,69064000
52,Other Current Liabilities,9977000,2786000,1000000,12602000,17740000,25675000,32419000,35499000,33896000,46500000,63258000,-241146000,16323000
53,Total Current Liabilities,9977000,23493000,48745000,59966000,79168000,132503000,174316000,184782000,182717000,461520000,637399000,276463000,335971000
54,Long-Term Debt,- -,143570000,251539000,468508000,554247000,843987000,1110054000,996251000,885237000,2746898000,2229220000,2535577000,2761314000
55,Deferred Revenue,- -,- -,- -,4596000,8432000,11583000,17726000,19110000,19388000,54741000,57704000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54741000,-57704000,- -,- -
58,Total Non-Current Liabilities,- -,143570000,251539000,473104000,562679000,855570000,1127780000,1015361000,904625000,2746898000,2229220000,2535577000,2761314000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255106000,319426000
61,Total Liabilities,9977000,167063000,300284000,533070000,641847000,988073000,1302096000,1200143000,1087342000,3208418000,2866619000,2812040000,3097285000
62,Preferred Stock,- -,- -,90000,90000,130000,140000,140000,100000,100000,204000,204000,204000,296000
63,Common Stock,203000,398000,508000,610000,637000,716000,717000,719000,688000,1303000,1305000,1307000,1308000
64,Retained Earnings,-147000,-11586000,-30252000,-49798000,-69652000,-84163000,-105765000,-169227000,-191013000,-308806000,-424996000,-853973000,-1094023000
65,Other Comprehensive Income/Loss,- -,-5668000,-36068000,- -,1000000,- -,-5000000,-2000000,4000000,1000000,-25000000,-60071000,-19442000
66,Other Total Stockholders Equity,379370000,703768000,1178973000,1362049000,1541224000,1864398000,1868297000,1776092000,1685126000,4066134000,4069695000,4169870000,4268042000
67,Total Stockholders Equity,379426000,686912000,1113251000,1312951000,1473339000,1781091000,1758389000,1605684000,1498901000,3759835000,3621208000,3257337000,3156181000
68,Total Liabilities And Stockholders Equity,389403000,853975000,1413535000,1846021000,2115186000,2769164000,3060485000,2805827000,2586243000,6968253000,6487827000,6069377000,6253466000
69,Minority Interest,- -,1540000,3097000,141000,1745000,1320000,2445000,3432000,4625000,10095000,10728000,6989000,7724000
70,Total Liabilities & Equity,389403000,855515000,1416632000,1846162000,2116931000,2770484000,3062930000,2809259000,2590868000,6978348000,6498555000,6076366000,6261190000
