,https://roic.ai/company/GNCA,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,1820000,1977000,731000,308000,670000,235000,- -,- -,- -,1359000,1641000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,13543000,11240000,15695000,23727000,28049000,33053000,39204000,25209000,26952000,33960000,39020000
6,General and Administrative Exp.,3004000,3690000,4961000,9747000,13987000,15427000,13433000,14309000,12037000,14388000,14714000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3004000,3690000,4961000,9747000,13987000,15427000,13433000,14309000,12037000,14388000,14714000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,16547000,14930000,20656000,33474000,42036000,48480000,52637000,39518000,38989000,48348000,53734000
11,COGS and Expenses,16547000,14930000,20656000,33474000,42036000,48480000,52637000,39518000,38989000,48348000,- -
12,Interest Income ,- -,- -,- -,- -,- -,410000,250000,- -,- -,- -,- -
13,Interest Expense (Gain),33000,507000,459000,970000,1117000,1738000,1705000,1021000,946000,1380000,-1121000
14,Depreciation and Amortization,318000,300000,318000,469000,1051000,1813000,1516000,1088000,1097000,1138000,- -
15,EBITDA,-14334000,-12560000,-20029000,-33857000,-40315000,-46022000,-51121000,-38430000,-37892000,-41196000,-34317000
16,EBITDA ratio,-7.8758,-6.3531,-27.3995,-109.9253,-60.1716,-195.8383,-Infinity,-Infinity,-Infinity,-30.3135,-20.9122
17,Operating Income,-14727000,-12953000,-19925000,-33166000,-41366000,-48245000,-55255000,-39518000,-38989000,-46989000,-52093000
18,Operating Income ratio,-8.0918,-6.5518,-27.2572,-107.6818,-61.7403,-205.2979,-Infinity,-Infinity,-Infinity,-34.5762,-31.7447
19,Total Other Income Expenses (Gains),42000,-414000,-881000,-2130000,-1117000,-1328000,-1455000,11707000,39000,3275000,18897000
20,Income Before Tax,-14685000,-13367000,-20806000,-35296000,-42483000,-49573000,-56710000,-27811000,-38950000,-43714000,-33196000
21,Income Before Tax Ratio,-8.0687,-6.7613,-28.4624,-114.5974,-63.4075,-210.9489,-Infinity,-Infinity,-Infinity,-32.1663,-20.2291
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-14685000,-13367000,-20806000,-35296000,-42483000,-49573000,-56710000,-27811000,-38950000,-43714000,-33196000
