,https://roic.ai/company/OVV,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6343480875,6358986910,10216000000,11810000000,14266000000,16398000000,21446000000,30064000000,11114000000,8870000000,8467000000,5160000000,5858000000,8019000000,4422000000,2918000000,4443000000,5939000000,6726000000,6087000000,8658000000
2,COGS,4416638560,3104017349,4752000000,6436000000,6050000000,5586000000,11871000000,15843000000,4538000000,2876000000,2885000000,2410000000,2140000000,3069000000,1955000000,1544000000,1733000000,2519000000,3312000000,3373000000,4434000000
3,Gross Profit,1926842315,3254969561,5464000000,5374000000,8216000000,10812000000,9575000000,14221000000,6576000000,5994000000,5582000000,2750000000,3718000000,4950000000,2467000000,1374000000,2710000000,3420000000,3414000000,2714000000,4224000000
4,Gross Profit Ratio,0.3038,0.5119,0.5348,0.4550,0.5759,0.6593,0.4465,0.4730,0.5917,0.6758,0.6593,0.5329,0.6347,0.6173,0.5579,0.4709,0.6099,0.5759,0.5076,0.4459,0.4879
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,473000000,477000000,359000000,348000000,392000000,439000000,327000000,275000000,309000000,254000000,157000000,489000000,395000000,442000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,1704000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",98991899,483846827,718000000,197000000,821000000,271000000,384000000,2177000000,477000000,359000000,348000000,392000000,439000000,327000000,275000000,309000000,254000000,157000000,489000000,395000000,442000000
9,Other Expenses,537955976,1367567064,2411000000,2402000000,2769000000,3461000000,4107000000,2802000000,3684000000,3242000000,3616000000,2078000000,2388000000,2292000000,2020000000,1550000000,1388000000,1569000000,2327000000,2136000000,2263000000
10,Operating Expenses,636947875,1851413891,3129000000,2599000000,3590000000,3732000000,4491000000,4979000000,4161000000,3601000000,3964000000,2470000000,2827000000,2619000000,2295000000,1859000000,1642000000,1726000000,2816000000,2531000000,2705000000
11,COGS and Expenses,5053586435,4955431239,7881000000,9035000000,9640000000,9318000000,16362000000,20822000000,8699000000,6477000000,6849000000,4880000000,4967000000,5688000000,4250000000,3403000000,3375000000,4245000000,6128000000,5904000000,7139000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,216000000,168000000,13000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),61994926,265915818,287000000,397000000,524000000,396000000,428000000,802000000,573000000,514000000,468000000,522000000,563000000,654000000,614000000,397000000,363000000,351000000,382000000,371000000,340000000
14,Depreciation and Amortization,537955976,1367567064,2222000000,2402000000,2769000000,3112000000,3816000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1190000000
15,EBITDA,1828850334,2803112607,5314000000,6970000000,7979000000,11052000000,9140000000,9379000000,2544000000,2574000000,470000000,-4309000000,551000000,5249000000,-7396000000,-1223000000,1793000000,1514000000,697000000,-5359000000,2769000000
16,EBITDA ratio,0.2883,0.4408,0.5202,0.5902,0.5593,0.6740,0.4262,0.3120,0.2289,0.2902,0.0555,-0.8351,0.0941,0.6546,-1.6725,-0.4191,0.4036,0.2549,0.1036,-0.8804,0.3198
17,Operating Income,1289894440,1435545544,2317000000,2775000000,4626000000,7030000000,5020000000,8577000000,2415000000,2393000000,314000000,4415000000,891000000,2331000000,172000000,-1881000000,1068000000,1694000000,598000000,-5397000000,1519000000
18,Operating Income ratio,0.2033,0.2258,0.2268,0.2350,0.3243,0.4287,0.2341,0.2853,0.2173,0.2698,0.0371,0.8556,0.1521,0.2907,0.0389,-0.6446,0.2404,0.2852,0.0889,-0.8866,0.1754
19,Total Other Income Expenses (Gains),-60995009,-264916135,295000000,94000000,-537000000,-87000000,-199000000,- -,-476000000,-333000000,-312000000,-9246000000,-903000000,2298000000,-8182000000,261000000,362000000,-531000000,-283000000,-333000000,-280000000
20,Income Before Tax,1228899432,1170629409,2612000000,2869000000,4089000000,6943000000,4821000000,8577000000,1939000000,2060000000,2000000,-4831000000,-12000000,4629000000,-8010000000,-1620000000,1430000000,1163000000,315000000,-5730000000,1239000000
21,Income Before Tax Ratio,0.1937,0.1841,0.2557,0.2429,0.2866,0.4234,0.2248,0.2853,0.1745,0.2322,0.0002,-0.9362,-0.0020,0.5773,-1.8114,-0.5552,0.3219,0.1958,0.0468,-0.9414,0.1431
22,Income Tax expense (Gain),409966450,392875626,445000000,658000000,1260000000,1892000000,937000000,2633000000,109000000,561000000,-126000000,-2037000000,-248000000,1203000000,-2845000000,-676000000,603000000,94000000,81000000,367000000,-177000000
23,Net Income,818932982,776754100,2360000000,3513000000,3426000000,5652000000,3959000000,5944000000,1862000000,1499000000,128000000,-2794000000,236000000,3392000000,-5165000000,-944000000,827000000,1069000000,234000000,-6097000000,1416000000
24,Net Income ratio,0.1291,0.1222,0.2310,0.2975,0.2402,0.3447,0.1846,0.1977,0.1675,0.1690,0.0151,-0.5415,0.0403,0.4230,-1.1680,-0.3235,0.1861,0.1800,0.0348,-1.0016,0.1635
25,EPS,8.02,4.64,12.45,19.07,19.75,34.45,26.15,39.60,12.40,10.15,0.05,-18.95,1.60,22.90,-31.40,-5.35,4.25,5.55,0.90,-23.47,5.44
26,EPS Diluted,7.87,4.56,12.30,18.77,19.25,33.80,25.90,39.55,12.40,10.15,0.05,-18.95,1.60,22.90,-31.40,-5.35,4.25,5.55,0.90,-23.47,5.32
27,Weighted Average Shares Outstanding,163205712,167513938,188674699,184167759,173468354,164063861,152920000,150020000,150161290,147940000,147260000,147260000,147540000,148200000,164420000,176520000,194620000,191960000,261200000,259800000,260400000
28,Weighted Average Shares Outstanding Diluted,163205712,170432299,190975610,187110519,177974026,167218935,152920000,150360000,150161290,147960000,147440000,147260000,147540000,148200000,164420000,176520000,194620000,191960000,261200000,259800000,266400000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1792580/000156459020005663/0001564590-20-005663-index.htm,https://www.sec.gov/Archives/edgar/data/1792580/000156459021006570/0001564590-21-006570-index.htm,https://www.sec.gov/Archives/edgar/data/1792580/000156459022006978/0001564590-22-006978-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,604950493,134957276,148000000,602000000,105000000,402000000,553000000,383000000,4275000000,629000000,732000000,3179000000,2566000000,338000000,271000000,834000000,719000000,1058000000,190000000,10000000,195000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,604950493,134957276,148000000,602000000,105000000,402000000,553000000,383000000,4275000000,629000000,732000000,3179000000,2566000000,338000000,271000000,834000000,719000000,1058000000,190000000,10000000,195000000
34,Net Receivables,527956794,1303587318,1367000000,1898000000,1851000000,1721000000,2381000000,1881000000,1180000000,1493000000,1594000000,1446000000,1420000000,1726000000,926000000,1056000000,1286000000,969000000,1435000000,1116000000,1287000000
35,Inventory,98991899,344890816,573000000,513000000,103000000,176000000,828000000,520000000,12000000,3000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,259978725,940702198,- -,492000000,1545000000,1402000000,682000000,2818000000,328000000,729000000,2599000000,852000000,304000000,797000000,410000000,33000000,266000000,649000000,244000000,121000000,105000000
37,Total Current Assets,1491877911,2724137609,2088000000,3505000000,3604000000,3701000000,4444000000,5602000000,5795000000,2854000000,4927000000,5477000000,4290000000,2861000000,1607000000,1923000000,2271000000,2676000000,1869000000,1247000000,1587000000
38,PP&E,5132579970,15098220296,19545000000,23140000000,24881000000,28211000000,35865000000,35424000000,26173000000,28701000000,26371000000,9751000000,10035000000,18015000000,9857000000,8139000000,8954000000,8972000000,16238000000,10441000000,9690000000
39,Goodwill,- -,- -,- -,- -,2524000000,2525000000,2893000000,2426000000,1663000000,1725000000,1616000000,1725000000,1644000000,2917000000,2790000000,2779000000,2609000000,2553000000,2611000000,2625000000,2628000000
40,Intangible Assets,- -,1833419587,1911000000,2524000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,1833419587,1911000000,2524000000,2524000000,2525000000,2893000000,2426000000,1663000000,1725000000,1616000000,1725000000,1644000000,2917000000,2790000000,2779000000,2609000000,2553000000,2611000000,2625000000,2628000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,727000000,164000000,235000000,763000000,225000000,284000000,276000000,161000000,26000000,26000000,22000000,28000000,30000000,27000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188000000,1116000000,939000000,296000000,1081000000,1658000000,1043000000,835000000,601000000,- -,- -
44,Other Non-Current Assets,196983880,239924047,566000000,2044000000,3139000000,667000000,3772000000,3068000000,32000000,505000000,53000000,406000000,456000000,256000000,148000000,128000000,364000000,286000000,140000000,126000000,123000000
