,https://roic.ai/company/COF-PI,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,561900000,761000000,1128900000,1452200000,2183100000,3425000000,4623301000,6083283000,8185948000,8201013000,8903135000,10038347000,11404170000,13842917000,13128665000,12169071000,15354000000,15477000000,19733000000,21352000000,21453000000,22647000000,24648000000,26247000000,27173000000,22357000000,27933000000,30435000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22357000000,27933000000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,94700000,135800000,215200000,289300000,476400000,780200000,1023367000,1392072000,1557887000,1570415000,1642721000,1749738000,3413587000,3882592000,3611413000,3717780000,3807000000,4243000000,4654000000,5317000000,5391000000,5858000000,6371000000,7076000000,6987000000,13287000000,8020000000,7421000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,446300000,731900000,906147000,1082979000,1070624000,1118422000,1337780000,1379938000,1444635000,1347836000,1118208000,588338000,958000000,1337000000,1364000000,1373000000,1561000000,1744000000,1811000000,1670000000,2174000000,- -,1610000000,2871000000
8,"Selling, General and Administrative Exp.",94700000,135800000,215200000,289300000,922700000,1512100000,1929514000,2475051000,2628511000,2688837000,2980501000,3129676000,4858222000,5230428000,4729621000,4306118000,4765000000,5580000000,6018000000,6690000000,6952000000,7602000000,8182000000,8746000000,9161000000,8662000000,9630000000,10292000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6360000000,3816000000,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15022000000,13446000000,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13446000000,- -
12,Interest Income ,258700000,457400000,660500000,718000000,1111600000,1593500000,2389902000,2834397000,4180766000,4367654000,4794420000,5726881000,8194229000,11078156000,11111999000,10664585000,15353000000,14987000000,18964000000,19898000000,19397000000,20459000000,22891000000,25222000000,27176000000,28513000000,26033000000,25769000000
13,Interest Expense (Gain),93700000,249400000,295000000,334900000,416800000,540900000,801017000,1171007000,1461654000,1582565000,1791442000,2046639000,3094599000,4548311000,3963284000,2967470000,2896000000,2246000000,2375000000,1792000000,1579000000,1625000000,2018000000,2762000000,4301000000,- -,3120000000,1598000000
14,Depreciation and Amortization,19900000,37400000,41900000,46600000,108200000,172600000,244823000,337562000,124072000,384016000,381852000,425640000,542090000,678757000,691430000,682603000,582000000,600000000,1862000000,2065000000,2002000000,2100000000,2428000000,2440000000,2396000000,3339000000,3501000000,3481000000
