,https://roic.ai/company/QPRC,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,597743,136601,143249,324318,260975,74555,940647,498395,1264214,1231647,7069004,4143169,5488,- -
2,COGS,- -,- -,- -,- -,47171,44024,19703,130799,77539,22066,369043,210167,1173968,837957,6082071,3390561,- -,- -
3,Gross Profit,- -,- -,- -,- -,550572,92577,123546,193519,183436,52489,571604,288228,90246,393690,986933,752608,5488,- -
4,Gross Profit Ratio,- -,- -,- -,- -,0.9211,0.6777,0.8625,0.5967,0.7029,0.7040,0.6077,0.5783,0.0714,0.3196,0.1396,0.1817,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,24747,14172,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,800158,901838,712540,561937,766963,939408,957571,1222024,1514,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,800158,901838,712540,561937,766963,939408,957571,1222024,1514,3848611
9,Other Expenses,- -,- -,- -,- -,1285673,961920,787848,848985,- -,- -,- -,- -,- -,- -,- -,- -,4693,1314928
10,Operating Expenses,- -,- -,- -,- -,1310420,976092,788848,848985,800158,901838,712540,561937,766963,939408,957571,1222024,6207,5163539
11,COGS and Expenses,- -,- -,- -,- -,1357591,1020116,808551,979784,877697,923904,1081583,772104,1940931,1777365,7039642,4612585,6207,- -
12,Interest Income ,- -,- -,- -,- -,779,84,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,21749,21749,21749,21749,21750,21750,20387,51842,337216,565608,651088,808273,804456,291702
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331275,437720,529486,435415,- -
15,EBITDA,- -,- -,- -,- -,-735825,-880301,-502173,-658482,-619394,-849411,-140130,-274391,-616607,-165175,18543,34217,1238558,-3113539
16,EBITDA ratio,- -,- -,- -,- -,-1.2310,-6.4443,-3.5056,-2.0304,-2.3734,-11.3931,-0.1490,-0.5505,-0.4877,-0.1341,0.0026,0.0083,225.6812,-Infinity
17,Operating Income,- -,- -,- -,- -,-759848,-883515,-665302,-655466,-616722,-849349,-140936,-273709,-676717,-545718,29362,-469416,-718703,-3113539
18,Operating Income ratio,- -,- -,- -,- -,-1.2712,-6.4679,-4.6444,-2.0211,-2.3631,-11.3922,-0.1498,-0.5492,-0.5353,-0.4431,0.0042,-0.1133,-130.9569,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-2482,-19485,144057,-21749,-21750,-21750,-20387,-51842,-277216,-515608,-1101088,-835645,717456,-1039454
20,Income Before Tax,- -,- -,- -,- -,-762330,-903000,-521245,-677215,-638472,-871099,-161323,-325551,-953933,-1061326,-1071726,-1305061,-1247,-4152993
21,Income Before Tax Ratio,- -,- -,- -,- -,-1.2753,-6.6105,-3.6387,-2.0881,-2.4465,-11.6840,-0.1715,-0.6532,-0.7546,-0.8617,-0.1516,-0.3150,-0.2272,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1008,1719,2159,106005,1040134,5234,- -,-1806
23,Net Income,- -,- -,- -,- -,-757574,-902050,-523922,-680231,-641144,-871161,-161525,-327952,-955982,-1168063,-2110399,-1308776,-1313,-4154799
24,Net Income ratio,- -,- -,- -,- -,-1.2674,-6.6035,-3.6574,-2.0974,-2.4567,-11.6848,-0.1717,-0.6580,-0.7562,-0.9484,-0.2985,-0.3159,-0.2392,-Infinity
25,EPS,- -,- -,- -,- -,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.00,-0.00,-0.01
26,EPS Diluted,- -,- -,- -,- -,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.00,-0.00,-0.01
27,Weighted Average Shares Outstanding,- -,- -,- -,- -,233038334,233038334,233038334,233038334,233038334,233038334,233038334,271394498,313038334,322819156,383038334,383038334,383038334,383038334
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,- -,233038334,233038334,233038334,233038334,233038334,233038334,233038334,271394498,313038334,322819156,383038334,383038334,383038334,383038334
