,https://roic.ai/company/SLVM,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,4119000000,4017000000,3009000000,3502000000
2,COGS,2620000000,2638000000,2101000000,2315000000
3,Gross Profit,1499000000,1379000000,908000000,1187000000
4,Gross Profit Ratio,0.3639,0.3433,0.3018,0.3389
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -
7,Selling and Marketing Exp.,696000000,655000000,530000000,559000000
8,"Selling, General and Administrative Exp.",696000000,655000000,530000000,559000000
9,Other Expenses,233000000,225000000,184000000,170000000
10,Operating Expenses,929000000,880000000,714000000,729000000
11,COGS and Expenses,3549000000,3518000000,2815000000,3044000000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -
14,Depreciation and Amortization,198000000,192000000,154000000,143000000
15,EBITDA,771000000,694000000,352000000,603000000
16,EBITDA ratio,0.1872,0.1728,0.1170,0.1722
17,Operating Income,570000000,499000000,194000000,460000000
18,Operating Income ratio,0.1384,0.1242,0.0645,0.1314
19,Total Other Income Expenses (Gains),3000000,3000000,4000000,- -
20,Income Before Tax,573000000,502000000,198000000,460000000
21,Income Before Tax Ratio,0.1391,0.1250,0.0658,0.1314
22,Income Tax expense (Gain),154000000,125000000,28000000,129000000
23,Net Income,419000000,377000000,170000000,331000000
24,Net Income ratio,0.1017,0.0939,0.0565,0.0945
25,EPS,9.47,8.52,3.84,7.52
26,EPS Diluted,9.47,8.52,3.84,7.52
27,Weighted Average Shares Outstanding,44232752,44232752,44232752,44019139
28,Weighted Average Shares Outstanding Diluted,44232752,44232752,44232752,44019139
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1856485/000185648522000010/0001856485-22-000010-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,- -,- -,180
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,135000000,95000000,180
34,Net Receivables,- -,711000000,621000000,519000000
35,Inventory,- -,443000000,342000000,342000000
36,Other Current Assets,- -,104000000,61000000,246999820
37,Total Current Assets,- -,1393000000,1119000000,1108000000
38,PP&E,- -,1213000000,1020000000,926000000
39,Goodwill,- -,179000000,143000000,132000000
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,179000000,143000000,132000000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,- -,685000000,629000000,431000000
45,Total Non-Current Assets,- -,2077000000,1792000000,1489000000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,- -,3470000000,2911000000,2597000000
48,Accounts Payable,- -,311000000,259000000,511000000
49,Short-Term Debt,- -,9000000,4000000,42000000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -
52,Other Current Liabilities,- -,260000000,227000000,205000000
53,Total Current Liabilities,- -,580000000,490000000,758000000
54,Long-Term Debt,- -,25000000,22000000,1358000000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,236000000,170000000,169000000
57,Other Non-Current Liabilities,- -,112000000,117000000,130000000
58,Total Non-Current Liabilities,- -,373000000,309000000,1657000000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -
61,Total Liabilities,- -,953000000,799000000,2415000000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,44000000
64,Retained Earnings,- -,- -,- -,1935000000
65,Other Comprehensive Income/Loss,- -,-1229000000,-1480000000,-1801000000
66,Other Total Stockholders Equity,- -,- -,- -,- -
67,Total Stockholders Equity,- -,2517000000,2112000000,182000000
68,Total Liabilities And Stockholders Equity,- -,3470000000,2911000000,2597000000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,3470000000,2911000000,2597000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1856485/000185648522000010/0001856485-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,419000000,377000000,170000000,331000000
74,Depreciation and Amortization,198000000,192000000,154000000,143000000
75,Deferred Income Tax,-5000000,-7000000,-49000000,-6000000
76,Stock Based Compensation,19000000,19000000,15000000,14000000
77,Change in Working Capital,-42000000,814000000,-184000000,67000000
78,Accounts Receivable,-59000000,45000000,65000000,-118000000
79,Inventory,-27000000,-47000000,71000000,19000000
80,Accounts Payable,51000000,-1000000,-45000000,214000000
81,Other Working Capital,-1000000,813000000,629000000,-48000000
82,Other Non-Cash Items,- -,-871000000,253000000,- -
83,Cash Provided by Operating Activities,589000000,524000000,359000000,549000000
84,CAPEX,-150000000,-118000000,-75000000,-76000000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-21000000,-42000000,-4000000,203000000
89,Cash Used for Investing Activites,-171000000,-160000000,-79000000,127000000
90,Debt Repayment,-14000000,-18000000,-10000000,-130000000
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,-496000000,-369000000,-340000000,-459000000
95,Cash Used/Provided by Financing Activities,-510000000,-387000000,-350000000,-589000000
96,Effect of Forex Changes on Cash,36000000,-17000000,30000000,-2000000
97,Net Change In Cash,-56000000,-40000000,-40000000,85000000
98,Cash at the End of Period,175000000,135000000,95000000,180000000
99,Cash at the Beginning of Period,231000000,175000000,135000000,95000000
100,Free Cash Flow,439000000,406000000,284000000,473000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1856485/000185648522000010/0001856485-22-000010-index.htm
102,false,,,,
