,https://roic.ai/company/BSX,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,230000000,315200000,380100000,448900000,1107000000,1462000000,1872300000,2233600000,2842000000,2664000000,2673000000,2919000000,3476000000,5624000000,6283000000,7821000000,8357000000,8050000000,8188000000,7806000000,7622000000,7249000000,7143000000,7380000000,7477000000,8386000000,9048000000,9823000000,10735000000,9913000000,11888000000
2,COGS,78400000,111900000,133900000,153100000,277000000,339600000,463700000,658900000,900000000,742000000,919000000,870000000,961000000,1292000000,1386000000,2207000000,2342000000,2469000000,2576000000,2599000000,2659000000,2349000000,2174000000,2210000000,2173000000,2424000000,2593000000,2813000000,3116000000,3465000000,3760000000
3,Gross Profit,151600000,203300000,246200000,295800000,830000000,1122400000,1408600000,1574700000,1942000000,1922000000,1754000000,2049000000,2515000000,4332000000,4897000000,5614000000,6015000000,5581000000,5612000000,5207000000,4963000000,4900000000,4969000000,5170000000,5304000000,5962000000,6455000000,7010000000,7619000000,6448000000,8128000000
4,Gross Profit Ratio,0.6591,0.6450,0.6477,0.6589,0.7498,0.7677,0.7523,0.7050,0.6833,0.7215,0.6562,0.7020,0.7235,0.7703,0.7794,0.7178,0.7198,0.6933,0.6854,0.6671,0.6511,0.6760,0.6956,0.7005,0.7094,0.7109,0.7134,0.7136,0.7097,0.6505,0.6837
5,Research and Development Exp.,- -,- -,- -,29500000,- -,- -,196700000,882200000,197000000,199000000,275000000,343000000,452000000,569000000,680000000,1008000000,1091000000,1006000000,1035000000,939000000,895000000,886000000,861000000,817000000,876000000,920000000,997000000,1113000000,1174000000,1143000000,1204000000
6,General and Administrative Exp.,77700000,105900000,131200000,127200000,505000000,719200000,710400000,786300000,842000000,867000000,961000000,1002000000,1171000000,1742000000,1814000000,2675000000,2909000000,2792000000,4848000000,2765000000,2659000000,2535000000,2674000000,2902000000,2873000000,3099000000,3294000000,3569000000,3941000000,3787000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",77700000,105900000,131200000,127200000,505000000,719200000,710400000,786300000,842000000,867000000,961000000,1002000000,1171000000,1742000000,1814000000,2675000000,2909000000,2792000000,4848000000,2765000000,2659000000,2535000000,2674000000,2902000000,2873000000,3099000000,3294000000,3569000000,3941000000,3787000000,4359000000
9,Other Expenses,3400000,4600000,6400000,9100000,40000000,61400000,86700000,128600000,178000000,181000000,136000000,9000000,158000000,382000000,1159000000,761000000,1768000000,293000000,527000000,265000000,-309000000,548000000,550000000,549000000,565000000,624000000,633000000,669000000,764000000,834000000,741000000
10,Operating Expenses,81100000,110500000,137600000,165800000,545000000,780600000,993800000,1797100000,1217000000,1247000000,1372000000,1354000000,1781000000,2693000000,3653000000,4444000000,5768000000,4091000000,6410000000,3969000000,3245000000,3969000000,4085000000,4268000000,4314000000,4643000000,4924000000,5351000000,5879000000,5764000000,6304000000
11,COGS and Expenses,159500000,222400000,271500000,318900000,822000000,1120200000,1457500000,2456000000,2117000000,1989000000,2291000000,2224000000,2742000000,3985000000,5039000000,6651000000,8110000000,6560000000,8986000000,6568000000,5904000000,6318000000,6259000000,6478000000,6487000000,7067000000,7517000000,8164000000,8995000000,9229000000,10064000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,6000000,5000000,5000000,5000000,5000000,3000000,30000000,3000000,4000000
