,https://roic.ai/company/RUN,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,54740000,198557000,304606000,453898000,529699000,759981000,858578000,922191000,1609954000
2,COGS,43088000,173700000,280535000,399239000,448085000,534923000,645829000,743526000,1365472000
3,Gross Profit,11652000,24857000,24071000,54659000,81614000,225058000,212749000,178665000,244482000
4,Gross Profit Ratio,0.2129,0.1252,0.0790,0.1204,0.1541,0.2961,0.2478,0.1937,0.1519
5,Research and Development Exp.,9984000,8386000,9657000,10199000,15079000,18844000,23563000,19548000,23165000
6,General and Administrative Exp.,33242000,68098000,84442000,92377000,107420000,116659000,125023000,266746000,259173000
7,Selling and Marketing Exp.,22395000,78723000,145477000,162781000,137115000,207232000,275148000,352299000,622961000
8,"Selling, General and Administrative Exp.",55637000,146821000,229919000,255158000,244535000,323891000,400171000,619045000,882134000
9,Other Expenses,- -,2269000,3695000,4206000,4204000,4204000,4755000,5180000,5370000
10,Operating Expenses,65621000,157476000,243271000,269563000,263818000,346939000,428489000,643773000,910669000
11,COGS and Expenses,108709000,331176000,523806000,668802000,711903000,881862000,1074318000,1387299000,2276141000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),11752000,27521000,33236000,53244000,70518000,131771000,174246000,230601000,327700000
14,Depreciation and Amortization,30192000,49541000,71373000,104105000,136361000,156007000,187163000,242942000,388096000
15,EBITDA,40152000,-3833000,71064000,285029000,363542000,323757000,379526000,239576000,645644000
16,EBITDA ratio,0.7335,-0.0193,0.2333,0.6280,0.6863,0.4260,0.4420,0.2598,0.4010
17,Operating Income,-53969000,-132619000,-219200000,-214904000,-182204000,-121881000,-215740000,-465108000,-666187000
18,Operating Income ratio,-0.9859,-0.6679,-0.7196,-0.4735,-0.3440,-0.1604,-0.2513,-0.5044,-0.4138
19,Total Other Income Expenses (Gains),-12117000,-34914000,-35005000,-52404000,-72392000,-128983000,-183500000,-222413000,-305072000
20,Income Before Tax,-66086000,-167533000,-254205000,-267308000,-254596000,-250864000,-399240000,-687521000,-971259000
21,Income Before Tax Ratio,-1.2073,-0.8438,-0.8345,-0.5889,-0.4806,-0.3301,-0.4650,-0.7455,-0.6033
22,Income Tax expense (Gain),-591000,-10043000,-5299000,35993000,32138000,9322000,-8218000,-60573000,9271000
23,Net Income,-1201000,-70852000,-28246000,91687000,124525000,26657000,26335000,-173394000,-79423000
24,Net Income ratio,-0.0219,-0.3568,-0.0927,0.2020,0.2351,0.0351,0.0307,-0.1880,-0.0493
25,EPS,-0.02,-0.91,-0.96,0.90,1.18,0.24,0.23,-1.24,-0.39
26,EPS Diluted,-0.02,-0.91,-0.96,0.87,1.15,0.23,0.21,-1.24,-0.39
27,Weighted Average Shares Outstanding,79268000,77636000,55091000,102367000,105432000,110089000,116397000,139606000,205132000
28,Weighted Average Shares Outstanding Diluted,79268000,77636000,55091000,104964000,108206000,117112000,123876000,139606000,205132000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1469367/000156459016014482/0001564590-16-014482-index.htm,https://www.sec.gov/Archives/edgar/data/1469367/000156459017003704/0001564590-17-003704-index.htm,https://www.sec.gov/Archives/edgar/data/1469367/000146936718000031/0001469367-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1469367/000146936719000041/0001469367-19-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1469367/000146936720000061/0001469367-20-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1469367/000146936721000042/0001469367-21-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1469367/000146936722000033/0001469367-22-000033-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,99699000,152154000,203864000,206364000,202525000,226625000,269577000,519965000,617634000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,99699000,152154000,203864000,206364000,202525000,226625000,269577000,519965000,617634000
34,Net Receivables,19390000,52297000,70237000,77478000,87631000,69132000,84194000,95141000,146037000
35,Inventory,- -,23914000,71258000,67326000,94427000,79467000,260571000,283045000,506819000
36,Other Current Assets,8905000,11217000,15135000,18177000,48119000,86189000,119488000,239578000,277229000
37,Total Current Assets,127994000,239582000,360494000,369345000,432702000,461413000,733830000,1137729000,1547719000
38,PP&E,1088480000,1506446000,2036887000,2677837000,3356110000,3875167000,4584001000,8346486000,9609289000
39,Goodwill,- -,51786000,87543000,87543000,87543000,87543000,95094000,4280169000,4280169000
40,Intangible Assets,- -,13111000,22705000,18499000,14294000,10088000,19543000,18262000,12891000
41,Intangible Assets,- -,64897000,110248000,106042000,101837000,97631000,114637000,4298431000,4293060000
42,Investments,- -,- -,- -,- -,- -,- -,- -,65356000,63826000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,108894000,124707000,230517000,419594000,37225000,315576000,373873000,534941000,969358000
45,Total Non-Current Assets,1197374000,1696050000,2377652000,3203473000,3495172000,4288374000,5072511000,13245214000,14935533000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1325368000,1935632000,2738146000,3572818000,3927874000,4749787000,5806341000,14382943000,16483252000
48,Accounts Payable,18091000,51166000,104133000,66018000,115193000,131278000,223356000,207441000,288108000
49,Short-Term Debt,26214000,2602000,5408000,14153000,21529000,35484000,35348000,195036000,233033000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,24594000,44398000,59726000,70849000,77310000,47407000,77643000,108452000,111739000
52,Other Current Liabilities,55263000,52717000,83900000,93764000,120999000,158022000,193747000,390427000,379240000
53,Total Current Liabilities,124162000,150883000,253167000,244784000,335031000,372191000,530094000,901356000,1012120000
54,Long-Term Debt,141546000,236649000,532910000,883870000,1273416000,1713438000,2219592000,4601109000,6638249000
55,Deferred Revenue,321057000,467726000,559066000,583401000,584427000,544218000,651856000,690824000,761872000
56,Deferred Tax Liabilities,104290000,112597000,190146000,415397000,59131000,93633000,65964000,81905000,101753000
57,Other Non-Current Liabilities,411602000,551158000,543297000,521180000,509795000,743525000,1007403000,1378839000,396671000
58,Total Non-Current Liabilities,978495000,1368130000,1825419000,2403848000,2426769000,3094814000,3944815000,6752677000,7898545000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,77267000,192739000,180891000,166761000,157443000,390785000,371754000,385821000,368392000
61,Total Liabilities,1102657000,1519013000,2078586000,2648632000,2761800000,3467005000,4474909000,7654033000,8910665000
62,Preferred Stock,4000,5000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,2000,10000,10000,11000,11000,12000,20000,21000
64,Retained Earnings,11849000,-59003000,-87249000,4438000,131959000,229391000,251466000,76844000,-2579000
65,Other Comprehensive Income/Loss,-92656000,-153623000,-1000000,-341072000,-4000000,-3000000,-53000000,-106755000,-73050000
66,Other Total Stockholders Equity,245785000,537483000,642308000,1009585000,684028000,722305000,766253000,6107802000,- -
67,Total Stockholders Equity,164983000,324864000,554069000,672961000,811998000,948707000,964731000,6077911000,6254736000
68,Total Liabilities And Stockholders Equity,1267640000,1843877000,2632655000,3321593000,3573798000,4415712000,5439640000,13731944000,15165401000
69,Minority Interest,57728000,91755000,105491000,251225000,354076000,334075000,366701000,650999000,1317851000
70,Total Liabilities & Equity,1325368000,1935632000,2738146000,3572818000,3927874000,4749787000,5806341000,14382943000,16483252000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1469367/000156459016014482/0001564590-16-014482-index.htm,https://www.sec.gov/Archives/edgar/data/1469367/000156459017003704/0001564590-17-003704-index.htm,https://www.sec.gov/Archives/edgar/data/1469367/000146936718000031/0001469367-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1469367/000146936719000041/0001469367-19-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1469367/000146936720000061/0001469367-20-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1469367/000146936721000042/0001469367-21-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1469367/000146936722000033/0001469367-22-000033-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-1201000,-70852000,-28246000,91687000,124525000,26657000,26335000,-173394000,-79423000
74,Depreciation and Amortization,30192000,49541000,71373000,104105000,136361000,156007000,187163000,242942000,388096000
75,Deferred Income Tax,-591000,5259000,-5299000,35993000,32138000,9322000,-8218000,-60573000,9607000
