,https://roic.ai/company/AVLR,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,123158000,167426000,213159000,272098000,382421000,500569000,698977000
2,COGS,40745000,48513000,57977000,78649000,115299000,143095000,204832000
3,Gross Profit,82413000,118913000,155182000,193449000,267122000,357474000,494145000
4,Gross Profit Ratio,0.6692,0.7102,0.7280,0.7110,0.6985,0.7141,0.7070
5,Research and Development Exp.,29787000,32848000,41264000,51909000,82442000,119710000,167391000
6,General and Administrative Exp.,33683000,36875000,34286000,39603000,71918000,95242000,137301000
7,Selling and Marketing Exp.,98686000,103483000,133794000,168817000,168634000,204490000,296006000
8,"Selling, General and Administrative Exp.",132369000,140358000,168080000,208420000,240552000,299732000,433307000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,162156000,173206000,209344000,260329000,322994000,419442000,600698000
11,COGS and Expenses,202901000,221719000,267321000,338978000,438293000,562537000,805530000
12,Interest Income ,112000,18000,77000,1553000,6037000,1678000,108000
13,Interest Expense (Gain),746000,2301000,2585000,2608000,289000,- -,2311000
14,Depreciation and Amortization,9116000,10425000,10859000,12802000,15807000,20233000,36526000
15,EBITDA,-71495000,-44522000,-51901000,-61116000,-33163000,-37259000,-83088000
16,EBITDA ratio,-0.5805,-0.2659,-0.2435,-0.2246,-0.0867,-0.0744,-0.1189
17,Operating Income,-79743000,-54293000,-63332000,-76054000,-55872000,-61968000,-106553000
18,Operating Income ratio,-0.6475,-0.3243,-0.2971,-0.2795,-0.1461,-0.1238,-0.1524
19,Total Other Income Expenses (Gains),-1614000,-2955000,-2013000,-472000,6613000,4476000,-15372000
20,Income Before Tax,-81357000,-57248000,-65345000,-76526000,-49259000,-57492000,-121925000
21,Income Before Tax Ratio,-0.6606,-0.3419,-0.3066,-0.2812,-0.1288,-0.1149,-0.1744
22,Income Tax expense (Gain),-3593000,640000,-1219000,-976000,955000,-8309000,3308000
23,Net Income,-77764000,-57888000,-64126000,-75550000,-50214000,-49183000,-125233000
24,Net Income ratio,-0.6314,-0.3458,-0.3008,-0.2777,-0.1313,-0.0983,-0.1792
25,EPS,-1.36,-1.01,-1.13,-1.95,-0.68,-0.61,-1.55
26,EPS Diluted,-1.36,-1.01,-1.13,-1.95,-0.68,-0.61,-1.55
27,Weighted Average Shares Outstanding,57388000,57388000,56829000,38692000,73345000,80985000,80985000
28,Weighted Average Shares Outstanding Diluted,57388000,57388000,56829000,38692000,73345000,80985000,80985000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1348036/000156459019005454/0001564590-19-005454-index.html,https://www.sec.gov/Archives/edgar/data/1348036/000156459020007791/0001564590-20-007791-index.html,https://www.sec.gov/Archives/edgar/data/1348036/000156459021008919/0001564590-21-008919-index.htm,https://www.sec.gov/Archives/edgar/data/1348036/000156459022006696/0001564590-22-006696-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,20230000,14075000,142322000,466950000,673593000,1514064000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,20230000,14075000,142322000,466950000,673593000,1514064000
34,Net Receivables,- -,27027000,26909000,40557000,52064000,76420000,115720000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,15122000,20098000,24420000,47789000,82894000,145840000
37,Total Current Assets,- -,62379000,61082000,207299000,566803000,832907000,1775624000
38,PP&E,- -,14782000,25394000,33373000,84318000,87033000,90849000
39,Goodwill,- -,79748000,72482000,61300000,101224000,513234000,672381000
40,Intangible Assets,- -,24100000,19074000,19371000,22932000,86513000,96818000
41,Intangible Assets,- -,103848000,91556000,80671000,124156000,599747000,769199000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1505000,780000,1589000,31990000,82646000,62859000
45,Total Non-Current Assets,- -,120135000,117730000,115633000,240464000,769426000,922907000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,182514000,178812000,322932000,807267000,1602333000,2698531000
48,Accounts Payable,- -,9459000,9822000,4847000,11693000,20280000,16683000
49,Short-Term Debt,- -,3510000,859000,- -,8756000,11339000,11453000
50,Tax Payable,- -,1412000,1044000,1827000,2635000,4338000,- -
51,Deferred Revenue,- -,63733000,83778000,125260000,165468000,218160000,280816000
52,Other Current Liabilities,- -,36069000,42403000,55566000,85810000,129169000,258721000
53,Total Current Liabilities,- -,112771000,136862000,185673000,271727000,378948000,567673000
54,Long-Term Debt,- -,21836000,38840000,- -,- -,- -,1006873000
55,Deferred Revenue,- -,8747000,8453000,9393000,970000,1664000,2139000
56,Deferred Tax Liabilities,- -,3160000,1854000,560000,337000,1031000,5158000
57,Other Non-Current Liabilities,- -,379161000,386395000,17753000,70511000,140530000,90234000
58,Total Non-Current Liabilities,- -,412904000,435542000,27706000,71818000,143225000,1104404000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,14000,- -,- -,67057000,67964000,57067000
61,Total Liabilities,- -,525675000,572404000,213379000,343545000,522173000,1672077000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,1000,7000,8000,9000,9000
64,Retained Earnings,- -,-347816000,-412052000,-487602000,-510194000,-559377000,-684610000
65,Other Comprehensive Income/Loss,- -,-1468000,338000,-2345000,-2719000,-1339000,-3428000
66,Other Total Stockholders Equity,- -,6122000,18121000,599493000,976627000,1640867000,1714483000
67,Total Stockholders Equity,- -,-343161000,-393592000,109553000,463722000,1080160000,1026454000
68,Total Liabilities And Stockholders Equity,- -,182514000,178812000,322932000,807267000,1602333000,2698531000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,182514000,178812000,322932000,807267000,1602333000,2698531000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1348036/000156459019005454/0001564590-19-005454-index.html,https://www.sec.gov/Archives/edgar/data/1348036/000156459020007791/0001564590-20-007791-index.html,https://www.sec.gov/Archives/edgar/data/1348036/000156459021008919/0001564590-21-008919-index.htm,https://www.sec.gov/Archives/edgar/data/1348036/000156459022006696/0001564590-22-006696-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-77764000,-57888000,-64126000,-75550000,-50214000,-49183000,-125233000
74,Depreciation and Amortization,9116000,10425000,10859000,12802000,15807000,20233000,36526000
75,Deferred Income Tax,-3720000,134000,-1307000,-1294000,-223000,-9419000,1128000
76,Stock Based Compensation,7020000,8112000,11757000,15921000,34349000,48170000,88097000
77,Change in Working Capital,12863000,-55036000,-25388000,97406000,273450000,158883000,8768000
78,Accounts Receivable,2899000,-11143000,159000,-13508000,-12862000,-17921000,-36053000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,2910000,2853000,-112000,-4419000,5783000,8026000,-4240000
81,Other Working Capital,4644000,-50392000,-75780000,21626000,295076000,453959000,53758000
82,Other Non-Cash Items,5477000,72557000,64664000,-52347000,-250783000,-126066000,24832000
83,Cash Provided by Operating Activities,-47008000,-21696000,-3541000,-3062000,22386000,42618000,34118000
84,CAPEX,-7912000,-6660000,-13955000,-20485000,-10319000,-9860000,-23323000
85,Acquisitions Net,-43323000,-17218000,- -,- -,-30310000,-368198000,-76646000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-381000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2538000,-5816000,-2301000,-4884000,-11645000,-5359000,-15664000
89,Cash Used for Investing Activites,-53773000,-29694000,-16256000,-20367000,-52135000,-378058000,-100350000
90,Debt Repayment,-9863000,-52081000,-2949000,-63234000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,192510000,274705000,556312000,- -
92,Common Stock Repurchased,-32910000,-43185000,- -,-1806000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,65262000,156266000,16644000,23951000,79705000,49747000,918912000
95,Cash Used/Provided by Financing Activities,22489000,61000000,13695000,151421000,354410000,606059000,918912000
96,Effect of Forex Changes on Cash,-94000,-57000,-53000,255000,-33000,-108000,-621000
97,Net Change In Cash,-78386000,9553000,-6155000,128247000,324628000,270511000,852059000
98,Cash at the End of Period,10677000,20230000,14075000,142322000,466950000,761844000,1613903000
99,Cash at the Beginning of Period,89063000,10677000,20230000,14075000,142322000,491333000,761844000
100,Free Cash Flow,-54920000,-28356000,-17496000,-23547000,12067000,32758000,10795000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1348036/000156459019005454/0001564590-19-005454-index.html,https://www.sec.gov/Archives/edgar/data/1348036/000156459020007791/0001564590-20-007791-index.html,https://www.sec.gov/Archives/edgar/data/1348036/000156459021008919/0001564590-21-008919-index.htm,https://www.sec.gov/Archives/edgar/data/1348036/000156459022006696/0001564590-22-006696-index.htm
102,false,,,,,,,
