,https://roic.ai/company/ITCI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,3117991,2737002,577301,91364,330702,245837,- -,60613,22530753,83803017
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,1895029,8034589
3,Gross Profit,- -,3117991,2737002,577301,91364,- -,- -,- -,- -,20635724,75768428
4,Gross Profit Ratio,- -,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,0.9159,0.9041
5,Research and Development Exp.,- -,15486476,23027578,21226345,87718074,93831530,79419009,132166913,89124838,65782137,88845513
6,General and Administrative Exp.,- -,4034925,5976276,10337679,18187286,24758063,23666957,30099855,64947625,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,4034925,5976276,10337679,18187286,24758063,23666957,30099855,64947625,- -,272611040
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,186081218,8034589
10,Operating Expenses,- -,19521401,29003854,31564024,105905360,118589593,103085966,162266768,154072463,251863355,369491142
11,COGS and Expenses,- -,19521401,29003854,31564024,105905360,118589593,103085966,162266768,154072463,253758384,377525731
12,Interest Income ,- -,39002,29617,303936,1022455,2935077,4005864,7140957,6291272,4235481,1568090
13,Interest Expense (Gain),- -,193498,612963,7073,- -,36781,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,47747,23249,25481,139626,196872,213872,368673,477121,528118,533360
15,EBITDA,- -,-16316661,-26213986,-30657306,-104651915,-115126942,-98620393,-161898095,-147243457,-226464032,-283597937
16,EBITDA ratio,- -,-5.2331,-9.5776,-53.1045,-1145.4393,-348.1290,-401.1617,-Infinity,-2429.2389,-10.0513,-3.3841
17,Operating Income,- -,-16403410,-26266852,-30986723,-105813996,-118258891,-102840129,-162266768,-154011850,-231227631,-285688125
18,Operating Income ratio,- -,-5.2609,-9.5969,-53.6752,-1158.1585,-357.5996,-418.3265,-Infinity,-2540.9046,-10.2628,-3.4090
19,Total Other Income Expenses (Gains),- -,-154496,-583346,296863,1022455,2898296,4005864,7140957,6291272,4235481,1568090
20,Income Before Tax,- -,-16557906,-26850198,-30689860,-104791541,-115360595,-98834265,-155125811,-147720578,-226992150,-284120035
21,Income Before Tax Ratio,- -,-5.3104,-9.8101,-53.1609,-1146.9675,-348.8355,-402.0317,-Infinity,-2437.1105,-10.0748,-3.3903
22,Income Tax expense (Gain),- -,32921,18000,1600,1600,1065673,-1060851,1600,1600,13513,-5631
23,Net Income,- -,-16590827,-26868198,-30691460,-104793141,-116426268,-97773414,-155127411,-147722178,-227005663,-284125666
24,Net Income ratio,- -,-5.3210,-9.8167,-53.1637,-1146.9850,-352.0579,-397.7164,-Infinity,-2437.1369,-10.0754,-3.3904
25,EPS,- -,-0.75,-1.56,-1.07,-2.91,-2.69,-2.12,-2.84,-2.68,-3.23,-3.50
26,EPS Diluted,- -,-0.75,-1.56,-1.07,-2.91,-2.69,-2.12,-2.84,-2.68,-3.23,-3.50
27,Weighted Average Shares Outstanding,- -,22159446,17260768,28650067,36069237,43240188,46181926,54707865,55186206,70364800,81253394
28,Weighted Average Shares Outstanding Diluted,- -,22159446,17260768,28650067,36069237,43240188,46181926,54707865,55186206,70364800,81253394
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1567514/000119312515089426/0001193125-15-089426-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312516478475/0001193125-16-478475-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312517065749/0001193125-17-065749-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312518067144/0001193125-18-067144-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312519054119/0001193125-19-054119-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312520057888/0001193125-20-057888-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312521055751/0001193125-21-055751-index.htm,https://www.sec.gov/Archives/edgar/data/1567514/000119312522059849/0001193125-22-059849-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,19145528,35150924,61325044,47159303,48642225,37790114,54947502,107636849,60045933,92364990
32,Short-Term Investments,- -,- -,2000000,68320672,428041021,335458459,426540921,292583046,116373335,597402126,319968348
33,Cash and Short-Term Investments,- -,19145528,37150924,129645716,475200324,384100684,464331035,347530548,224010184,657448059,412333338
34,Net Receivables,- -,300429,336318,51603,30660,94339,- -,- -,- -,10764583,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,7056385,7948126
36,Other Current Assets,- -,188702,762243,1288953,8025147,4005093,4884293,7908133,6313785,15635455,46999366
37,Total Current Assets,- -,19634659,38249485,130986272,483256131,388200116,469215328,355438681,230323969,690904482,467280830
38,PP&E,- -,58266,68272,54553,775522,627614,1137171,1159766,20511814,26323108,22555182
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,1058435,529218,264609,- -,- -
44,Other Non-Current Assets,- -,130755,131555,70944,71875,75765,75765,78833,86084,86084,86084
45,Total Non-Current Assets,- -,189021,199827,125497,847397,703379,2271371,1767817,20862507,26409192,22641266
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,19823680,38449312,131111769,484103528,388903495,471486699,357206498,251186476,717313674,489922096
48,Accounts Payable,- -,41608,3395067,2052765,1632905,3754647,6173539,13961060,7425024,5501825,8691220
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,3187435,5541802,6731792
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,1666674,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1131313,3438970,8504299,4630607,6777687,8036067,22338125,25611560,25809596,37933466
53,Total Current Liabilities,- -,2839595,6834037,10557064,6263512,10532334,14209606,36299185,36224019,36853223,53356478
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,1597105,2868622,2840132,3192432,19955186,23600347,18674943
58,Total Non-Current Liabilities,- -,- -,- -,- -,1597105,2868622,2840132,3192432,19955186,23600347,18674943
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,23142621,29142149,- -
61,Total Liabilities,- -,2839595,6834037,10557064,7860617,13400956,17049738,39491617,56179205,60453570,72031421
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1460,2216,2950,4316,4329,5460,5490,5551,8046,8189
64,Retained Earnings,- -,-30696299,-57564497,-88255957,-193049098,-309475366,-407248780,-562376191,-710098369,-937104032,-1221229698
65,Other Comprehensive Income/Loss,- -,-3220417,- -,-104633,-590410,-317239,-799224,-667757,128317,480584,- -
66,Other Total Stockholders Equity,- -,50899341,89177556,208912345,669878103,685290815,862479505,880753339,904971772,1593475506,1639112184
67,Total Stockholders Equity,- -,16984085,31615275,120554705,476242911,375502539,454436961,317714881,195007271,656860104,417890675
68,Total Liabilities And Stockholders Equity,- -,19823680,38449312,131111769,484103528,388903495,471486699,357206498,251186476,717313674,489922096
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,19823680,38449312,131111769,484103528,388903495,471486699,357206498,251186476,717313674,489922096
