,https://roic.ai/company/ZYNE,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,943904,810012,278900,7250,- -,86000,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,943904,810012,278900,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,1134041,2401406,7445669,16784626,22806107,27245043,20384049,35654994,21424489
6,General and Administrative Exp.,444302,4076339,5364390,6430252,10016902,13238787,13935761,16407548,15345901
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",444302,4076339,5364390,6430252,10016902,13238787,13935761,16407548,15345901
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1578343,6477745,12810059,23214878,32823009,40483830,34319810,52062542,36770390
11,COGS and Expenses,1578343,6477745,12810059,23214878,32823009,40483830,34319810,52062542,36770390
12,Interest Income ,- -,- -,- -,80222,519554,961323,1522138,243992,21047
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,49392,27063,26027,75301,94211,99572,133879,207035,247140
15,EBITDA,-587398,-5642514,-12497780,-23340749,-32728798,-39811603,-34185931,-51855507,-35963569
16,EBITDA ratio,-0.6223,-6.9660,-44.8110,-3219.4137,-Infinity,-462.9256,-Infinity,-Infinity,-Infinity
17,Operating Income,-634439,-5667733,-12531159,-23207628,-32823009,-40397830,-34319810,-52062542,-36770390
18,Operating Income ratio,-0.6721,-6.9971,-44.9307,-3201.0521,-Infinity,-469.7422,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-2351,-1844,7352,-208422,810705,486655,1376227,725711,-538634
20,Income Before Tax,-636790,-5669577,-12523807,-23416050,-32012304,-39911175,-32943583,-51336831,-37309024
21,Income Before Tax Ratio,-0.6746,-6.9994,-44.9043,-3229.8000,-Infinity,-464.0834,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,27543,-27543,- -,- -,- -,- -,- -
23,Net Income,-636790,-5669577,-12551350,-23388507,-32012304,-39911175,-32943583,-51336831,-37309024
24,Net Income ratio,-0.6746,-6.9994,-45.0030,-3226.0010,-Infinity,-464.0834,-Infinity,-Infinity,-Infinity
25,EPS,-0.14,-2.56,-2.82,-2.58,-2.48,-2.61,-1.50,-1.90,-0.95
26,EPS Diluted,-0.14,-2.56,-2.82,-2.58,-2.48,-2.61,-1.50,-1.90,-0.95
27,Weighted Average Shares Outstanding,5733963,2215507,4457719,9070232,12914814,15308886,22000203,27022931,39259495
28,Weighted Average Shares Outstanding Diluted,5733963,2215507,4457719,9070232,12914814,15308886,22000203,27022931,39259495
