,https://roic.ai/company/NXGL,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,2152000,1992000,2213000,717000,674000,1551000
2,COGS,2266000,1845000,1699000,854000,965000,1542000
3,Gross Profit,-114000,147000,514000,-137000,-291000,9000
4,Gross Profit Ratio,-0.0530,0.0738,0.2323,-0.1911,-0.4318,0.0058
5,Research and Development Exp.,- -,- -,- -,- -,- -,31000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,2535000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1750000,1116000,2402000,1787000,1969000,2535000
9,Other Expenses,- -,- -,- -,- -,- -,13000
10,Operating Expenses,1750000,1116000,2402000,1787000,1969000,2579000
11,COGS and Expenses,4016000,2961000,4101000,2641000,2934000,4121000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,10000,1998000
14,Depreciation and Amortization,324000,316000,322000,67000,50000,113000
15,EBITDA,-1515000,-653000,-1566000,-1856000,-2204000,-2199000
16,EBITDA ratio,-0.7040,-0.3278,-0.7076,-2.5886,-3.2700,-1.4178
17,Operating Income,-1864000,-969000,-1888000,-1924000,-2260000,-2570000
18,Operating Income ratio,-0.8662,-0.4864,-0.8531,-2.6834,-3.3531,-1.6570
19,Total Other Income Expenses (Gains),25000,- -,- -,1000,-4000,-1740000
20,Income Before Tax,-1839000,-969000,-1888000,-1923000,-2264000,-4310000
21,Income Before Tax Ratio,-0.8546,-0.4864,-0.8531,-2.6820,-3.3591,-2.7789
22,Income Tax expense (Gain),-63000,-16000,- -,- -,- -,- -
23,Net Income,-1776000,-953000,-1888000,-1923000,-2264000,-4310000
24,Net Income ratio,-0.8253,-0.4784,-0.8531,-2.6820,-3.3591,-2.7789
25,EPS,-0.32,-0.17,-0.34,-0.35,-0.41,- -
26,EPS Diluted,-0.32,-0.17,-0.34,-0.35,-0.41,- -
27,Weighted Average Shares Outstanding,5565051,5565051,5565051,5565051,5565051,- -
28,Weighted Average Shares Outstanding Diluted,5565051,5565051,5565051,5565051,5565051,- -
29,SEC Link,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,261000,32000,13350000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,261000,32000,13350000
34,Net Receivables,74000,99000,34000,102000,73000,209000
35,Inventory,158000,93000,101000,113000,233000,291000
36,Other Current Assets,25000,7000,226000,37000,25000,77000
37,Total Current Assets,257000,199000,361000,513000,363000,13927000
38,PP&E,831000,522000,200000,1199000,1358000,2649000
39,Goodwill,- -,- -,- -,- -,311000,311000
40,Intangible Assets,- -,- -,- -,- -,47000,33000
41,Intangible Assets,- -,- -,- -,- -,358000,344000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,173000,173000,178000,178000,178000,63000
45,Total Non-Current Assets,1004000,695000,378000,1377000,1894000,3056000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,1261000,894000,739000,1890000,2257000,16983000
48,Accounts Payable,147000,63000,157000,510000,658000,254000
49,Short-Term Debt,- -,- -,- -,207000,423000,2254000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,38000,- -
52,Other Current Liabilities,237000,147000,250000,83000,213000,380000
53,Total Current Liabilities,384000,210000,407000,800000,1332000,2888000
54,Long-Term Debt,- -,- -,- -,710000,854000,2010000
