,https://roic.ai/company/TFII,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,83404864,99321536,129122855,187947575,292914283,282462793,581193273,931868168,1305414155,1539848147,1959152782,1858610518,1763466718,2001797712,2635192948,3156575495,2920486114,3199928501,2904026836,2994723607,3770194036,3761450188,3964619872,3781134000,7220429000
2,COGS,- -,77753934,85892145,105832791,151871369,237550526,190450420,404821210,671258755,970731875,1095645161,1402108452,1338729663,1249957024,1409445489,2164295788,2726223576,2554722616,2782605138,2551474032,2636493564,3364979722,3251443801,3461987950,3239249000,6182566000
3,Gross Profit,- -,5650930,13429391,23290064,36076206,55363756,92012374,176372063,260609413,334682280,444202986,557044330,519880855,513509693,592352224,470897160,430351919,365763498,417323364,352552804,358230042,405214314,510006388,502631921,541885000,1037863000
4,Gross Profit Ratio,- -,0.0678,0.1352,0.1804,0.1919,0.1890,0.3258,0.3035,0.2797,0.2564,0.2885,0.2843,0.2797,0.2912,0.2959,0.1787,0.1363,0.1252,0.1304,0.1214,0.1196,0.1075,0.1356,0.1268,0.1433,0.1437
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,178890978,217000172,- -,- -,289837305,297155955,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,178890978,217000172,- -,- -,289837305,297155955,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,- -,4864092,9232706,14453540,21213350,32267156,52900636,537501639,- -,- -,1409816404,1879038675,101073131,117087193,458852584,288380020,190769277,184374090,198729390,173117915,181320586,327300199,205470511,158510109,150572000,380342000
10,Operating Expenses,- -,4864092,9232706,14453540,21213350,32267156,52900636,537501639,178890978,217000172,1409816404,1879038675,390910435,414243148,458852584,288380020,190769277,184374090,198729390,173117915,181320586,327300199,205470511,158510109,150572000,380342000
11,COGS and Expenses,- -,82618026,95124851,120286331,173084718,269817682,243351055,942322848,850149733,1187732048,2505461565,3281147127,1729640099,1664200172,1868298072,2452675808,2916992853,2739096706,2981334528,2724591948,2817814151,3692279920,3456914312,3620498059,3389821000,6562908000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3396670,- -,- -,- -,- -,1766238,2097813,2060894,2297381,1051000,5127000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,9049695,13202170,- -,- -,38288414,33421832,37623980,52633692,47194998,39309898,39120135,43263265,30653225,45135586,40093831,58824745,47410000,78145000
14,Depreciation and Amortization,- -,-4864092,-5735469,-9453026,-13781921,-19826470,-12780202,25875059,37129619,58998622,78894990,108722609,101073131,117087193,126638738,129865818,148398219,127629441,131690299,126992340,143654490,215313718,191326916,300314636,299229000,393032000
15,EBITDA,- -,-7224607,-4196685,-4315512,-3783273,-6203094,9533065,64837249,116595405,210517479,209647392,157581541,220854560,181394327,302205647,315779628,405449172,234445937,327300450,327683416,684575552,353766203,512044522,674377426,709296000,1287344000
16,EBITDA ratio,- -,-0.0866,-0.0423,-0.0334,-0.0201,-0.0212,0.0337,0.1116,0.1251,0.1613,0.1361,0.0804,0.1188,0.1029,0.1510,0.1198,0.1284,0.0803,0.1023,0.1128,0.2286,0.0938,0.1361,0.1701,0.1876,0.1783
