,https://roic.ai/company/PDSB,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,4484367,8473522,17839951,24825379,34311650,16068769,6099580,7924450,11254538
6,General and Administrative Exp.,2003992,4720661,8658867,14686767,17654970,14291008,10981765,6962328,10184773
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2003992,4720661,8658867,14686767,17654970,14291008,10981765,6962328,10184773
9,Other Expenses,- -,- -,- -,- -,- -,- -,979273,15608,- -
10,Operating Expenses,6488359,13194183,26498818,39512146,51966620,30359777,18060618,14902386,21439311
11,COGS and Expenses,6488359,13194183,26498818,39512146,51966620,30359777,18060618,14902386,- -
12,Interest Income ,3951,2941,9084,212299,700903,871879,353490,55006,4346
13,Interest Expense (Gain),3354,183179,816494,1203674,2180143,1425255,33559,- -,- -
14,Depreciation and Amortization,4444,31229,53116,100117,182918,174347,98414,15608,5357
15,EBITDA,-6479964,-13160013,-26445702,-39412029,-51783702,-30185430,-17962204,-14886778,-21429608
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-6488359,-13194183,-26498818,-39512146,-51966620,-43096567,-21034618,-14902386,-21439311
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-853739,402122,-2687233,-1154838,-1479240,-553376,13654499,55006,4346
20,Income Before Tax,-7342098,-12792061,-29186051,-40666984,-53445860,-43649943,-7380119,-14847380,-21434965
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),-459018,-590675,-1107405,-1845986,-2586057,-2781937,-381513,- -,4516488
23,Net Income,-6883080,-12201386,-28078646,-38820998,-50859803,-40868006,-6998606,-14847380,-25951453
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-10.54,-29.20,-80.20,-26.80,-33.40,-26.20,-1.44,-0.89,-1.55
26,EPS Diluted,-10.54,-29.20,-80.20,-26.80,-33.40,-26.20,-1.44,-0.89,-1.55
27,Weighted Average Shares Outstanding,755357,418958,404396,1443210,1519697,1562108,4868079,16745044,16745044
28,Weighted Average Shares Outstanding Diluted,755357,418958,404396,1443210,1519697,1562108,4868079,16745044,16745044
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1472091/000114036116056994/0001140361-16-056994-index.htm,https://www.sec.gov/Archives/edgar/data/1472091/000114036117010287/0001140361-17-010287-index.htm,https://www.sec.gov/Archives/edgar/data/1472091/000114036118011218/0001140361-18-011218-index.htm,https://www.sec.gov/Archives/edgar/data/1472091/000114036119003636/0001140361-19-003636-index.htm,https://www.sec.gov/Archives/edgar/data/1472091/000114036120007252/0001140361-20-007252-index.htm,https://www.sec.gov/Archives/edgar/data/1472091/000114036121009142/0001140361-21-009142-index.htm,https://www.sec.gov/Archives/edgar/data/1472091/000114036122012244/0001140361-22-012244-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,7858169,13728972,130189421,106398919,88067647,34645549,12161739,28839565,65242622
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7858169,13728972,130189421,106398919,88067647,34645549,12161739,28839565,65242622
34,Net Receivables,459018,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,212632,1713025,1081084,954581,986680,1005589,2308462,1497665,1597569
37,Total Current Assets,8529819,15441997,131270505,107353500,89054327,35651138,14470201,30337230,66840191
38,PP&E,140045,1443982,2766992,3418077,3423880,426952,21051,553149,357697
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,63928,160682,55161,142870,142870,142870,- -,- -,- -
45,Total Non-Current Assets,203973,1604664,2822153,3560947,3566750,569822,21051,553149,357697
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8733792,17046661,134092658,110914447,92621077,36220960,14491252,30890379,67197888
48,Accounts Payable,1086806,2045782,2584249,3471032,4369133,399447,1197720,1415224,1309403
49,Short-Term Debt,- -,- -,2271111,- -,3075421,- -,- -,3075421,258924
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,701437,1847427,3734348,3213715,5422205,5982305,1595825,-1220195,2187704
53,Total Current Liabilities,1788243,3893209,8589708,6684747,12866759,6381752,2793545,3270450,3756031
54,Long-Term Debt,- -,2527686,3025423,14953143,17382907,- -,- -,- -,231430
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,22295196,38459515,- -,- -,- -,- -,- -,490353,- -
58,Total Non-Current Liabilities,22295196,40987201,3025423,14953143,17382907,- -,- -,490353,231430
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,610257,- -
61,Total Liabilities,24083439,44880410,11615131,21637890,30249666,6381752,2793545,3760803,3987461
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,770,770,9720,9756,10400,10591,1742,7346,9387
64,Retained Earnings,-16036831,-29818918,-62253970,-101074968,-151948359,-192816365,-28937705,-43785085,-60703562
65,Other Comprehensive Income/Loss,-7047,-38276,-91392,-122363,-305281,-451664,-94369,- -,- -
66,Other Total Stockholders Equity,693461,2022675,184813169,190464132,214614651,223096646,40728039,70907315,123904602
67,Total Stockholders Equity,-15349647,-27833749,122477527,89276557,62371411,29839208,11697707,27129576,63210427
68,Total Liabilities And Stockholders Equity,8733792,17046661,134092658,110914447,92621077,36220960,14491252,30890379,67197888
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8733792,17046661,134092658,110914447,92621077,36220960,14491252,30890379,67197888
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1472091/000114036116056994/0001140361-16-056994-index.htm,https://www.sec.gov/Archives/edgar/data/1472091/000114036117010287/0001140361-17-010287-index.htm,https://www.sec.gov/Archives/edgar/data/1472091/000114036118011218/0001140361-18-011218-index.htm,https://www.sec.gov/Archives/edgar/data/1472091/000114036119003636/0001140361-19-003636-index.htm,https://www.sec.gov/Archives/edgar/data/1472091/000114036120007252/0001140361-20-007252-index.htm,https://www.sec.gov/Archives/edgar/data/1472091/000114036121009142/0001140361-21-009142-index.htm,https://www.sec.gov/Archives/edgar/data/1472091/000114036122012244/0001140361-22-012244-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-6883080,-12201386,-28078646,-38820998,-50859803,-40868006,-6998606,-14847380,-16918477
74,Depreciation and Amortization,4444,31229,53116,100117,182918,174347,98414,15608,5357
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-381513,- -,- -
76,Stock Based Compensation,260361,1297985,2899304,5305070,6400377,7614609,3176133,432321,4074458
77,Change in Working Capital,-2280954,4807212,111132009,-22012044,-24481185,-46918182,-17592730,15390124,36017380
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-1661421,526869,-71751,1420556,898101,-3969686,-1977667,217504,-105821
81,Other Working Capital,6741576,11548788,122680797,100668753,76187568,29269386,11676656,27066780,63084160
82,Other Non-Cash Items,854336,-3650253,-107758426,23239187,28060862,46843939,3624833,-14139808,-35664784
83,Cash Provided by Operating Activities,-8044893,-9715213,-21752643,-32188668,-40696831,-33153293,-18073469,-13149135,-12486066
84,CAPEX,-136894,-884793,-1305086,-686705,-188721,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,29000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,381513,- -,- -
89,Cash Used for Investing Activites,-136894,-884793,-1305086,-686705,-188721,- -,29381513,- -,- -
90,Debt Repayment,-22052,- -,-533729,-1488558,- -,-20990000,- -,- -,- -
91,Common Stock Issued,- -,- -,86059087,- -,17382943,- -,750000,29756502,344125
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,15921075,16470809,53992820,10573429,5171337,721195,- -,70459,48544998
95,Cash Used/Provided by Financing Activities,15899023,16470809,139518178,9084871,22554280,-20268805,750000,29826961,48889123
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,7717236,5870803,116460449,-23790502,-18331272,-53422098,12058044,16677826,36403057
98,Cash at the End of Period,7858169,13728972,130189421,106398919,88067647,34645549,12161739,28839565,65242622
99,Cash at the Beginning of Period,140933,7858169,13728972,130189421,106398919,88067647,103695,12161739,28839565
100,Free Cash Flow,-8181787,-10600006,-23057729,-32875373,-40885552,-33153293,-18073469,-13149135,-12486066
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1472091/000114036116056994/0001140361-16-056994-index.htm,https://www.sec.gov/Archives/edgar/data/1472091/000114036117010287/0001140361-17-010287-index.htm,https://www.sec.gov/Archives/edgar/data/1472091/000114036118011218/0001140361-18-011218-index.htm,https://www.sec.gov/Archives/edgar/data/1472091/000114036119003636/0001140361-19-003636-index.htm,https://www.sec.gov/Archives/edgar/data/1472091/000114036120007252/0001140361-20-007252-index.htm,https://www.sec.gov/Archives/edgar/data/1472091/000114036121009142/0001140361-21-009142-index.htm,https://www.sec.gov/Archives/edgar/data/1472091/000114036122012244/0001140361-22-012244-index.htm
102,false,,,,,,,,,
