,https://roic.ai/company/SNPW,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,314938,210633,547976,1252675,584650,300733,289028
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,219282,750802,311492,214896,38808
3,Gross Profit,- -,- -,- -,- -,- -,- -,314938,210633,328694,501873,273158,85837,250220
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,1.0000,1.0000,0.5998,0.4006,0.4672,0.2854,0.8657
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2040000,50000,130000,21280000,- -,- -,555437,729982,1423575,1432783,1569796,1301269,568375
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2040000,50000,130000,21280000,- -,- -,555437,729982,1423575,1432783,1569796,1301269,1325144
9,Other Expenses,- -,230000,230000,- -,- -,- -,16356,16356,18841,- -,- -,- -,- -
10,Operating Expenses,2040000,280000,360000,21280000,- -,- -,571793,746338,1442416,1432783,1569796,1301269,1325144
11,COGS and Expenses,2040000,280000,360000,21280000,- -,- -,571793,746338,1661698,2183585,1881288,1516165,1363952
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,5621,2144168,85065,455926,566700,801496
14,Depreciation and Amortization,230000,230000,230000,- -,- -,- -,16356,16356,18841,79428,88779,56262,27650
15,EBITDA,-1810000,-50000,-130000,-21280000,- -,- -,-240499,-414907,303509,-2049873,-1230776,-566218,-1036274
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,-0.7636,-1.9698,0.5539,-1.6364,-2.1052,-1.8828,-3.5854
17,Operating Income,-2040000,-280000,-360000,-21280000,- -,- -,-256855,-535705,-1113724,-930910,-1296638,-1215432,-1074924
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,-0.8156,-2.5433,-2.0324,-0.7431,-2.2178,-4.0416,-3.7191
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,98821,-745776,-1283456,-478843,-564734,-790496
20,Income Before Tax,-2040000,-280000,-360000,-21280000,- -,- -,-256855,-436884,-1859500,-2214366,-1775481,-1780166,-1865420
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,-0.8156,-2.0741,-3.3934,-1.7677,-3.0368,-5.9194,-6.4541
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2040000,-280000,-360000,-21280000,- -,- -,-256855,-436884,-1859500,-2214366,-1775481,-1189180,-1865420
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,-0.8156,-2.0741,-3.3934,-1.7677,-3.0368,-3.9543,-6.4541
25,EPS,-0.00,-0.00,-0.00,-0.02,- -,- -,-1.00,-1.00,-1.00,-0.13,-0.03,-0.01,-0.00
26,EPS Diluted,-0.00,-0.00,-0.00,-0.02,- -,- -,-1.00,-1.00,-1.00,-0.13,-0.03,-0.01,-0.00
27,Weighted Average Shares Outstanding,974952964,974952964,974952964,974952964,- -,- -,342345,537874,1583168,17269048,62471599,324690784,943927080
28,Weighted Average Shares Outstanding Diluted,974952964,974952964,974952964,974952964,- -,- -,342345,537874,1583168,17269048,62471599,324690784,943927080
29,SEC Link,- -,- -,- -,- -,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1343465/000149315216006765/0001493152-16-006765-index.htm,https://www.sec.gov/Archives/edgar/data/1343465/000149315217000281/0001493152-17-000281-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1343465/000149315219004904/0001493152-19-004904-index.htm,https://www.sec.gov/Archives/edgar/data/1343465/000149315220009536/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1343465/000149315221008971/0001493152-21-008971-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,95797,272785,47224,55740,4851,109561,157130
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,95797,272785,47224,55740,4851,109561,157130
34,Net Receivables,- -,- -,- -,- -,- -,- -,4880,15383,39213,76729,77137,33458,34995
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,107295,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,5103,5103,70355,7112,7234,1612297,147832
37,Total Current Assets,- -,- -,- -,- -,- -,- -,105780,293271,264087,139581,89222,1755316,339957
38,PP&E,- -,- -,- -,- -,- -,- -,24188,34626,48664,293730,204951,1903912,1293320
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,1328182,- -,- -,- -,- -
40,Intangible Assets,3270000,3030000,3220000,3220000,- -,- -,122870,116990,111110,- -,- -,- -,- -
41,Intangible Assets,3270000,3030000,3220000,3220000,- -,- -,122870,116990,1439292,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,4834,34938,11822,- -,- -,5682329,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,151892,186554,1499778,293730,204951,7586241,1293320
46,Other Assets,3270000,3030000,3220000,3220000,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3270000,3030000,3220000,3220000,- -,- -,257672,479825,1763865,433311,294173,9341557,1633277
48,Accounts Payable,- -,20000,70000,70000,- -,- -,831102,970826,- -,273479,336637,372666,188485
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,61074,98153,1208118,1473394,1420478,196850
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,112256,- -,254361,588517,612023,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,205861,1028629,3086,533471,1750540,3940057
53,Total Current Liabilities,- -,20000,70000,70000,- -,- -,943358,1237761,1381143,2073200,2955525,3543684,4325392
54,Long-Term Debt,- -,- -,420000,440000,- -,- -,- -,166083,283529,57709,31724,8703438,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,454210,454210,462210,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1043479,- -,- -,1236598,10776317
58,Total Non-Current Liabilities,- -,- -,420000,440000,- -,- -,454210,620293,1789218,57709,31724,9940036,10776317
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,260000,1324953,1182459
61,Total Liabilities,- -,20000,490000,510000,- -,- -,1397568,1858054,3170361,2130909,2987249,13483720,15101709
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,200,200,1228,1200,1200,1200
63,Common Stock,- -,30000,30000,340000,- -,- -,1712,6304,8230,6083,6690,72598,96672
64,Retained Earnings,-5460000,-5740000,-6100000,-6120000,- -,- -,-10425494,-10862378,-12721878,-4873535,-6649017,-8342437,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-79338,-92299,- -,-321955,-272377,- -
66,Other Total Stockholders Equity,8730000,8720000,8800000,8490000,- -,- -,9283886,9556983,11399251,3168626,4270006,4989839,-4724476
67,Total Stockholders Equity,3270000,3010000,2730000,2710000,- -,- -,-1139896,-1378229,-1406496,-1697598,-2693076,-3551177,-4626604
68,Total Liabilities And Stockholders Equity,3270000,3030000,3220000,3220000,- -,- -,257672,479825,1763865,433311,294173,9932543,10475105
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-590986,-8841828
70,Total Liabilities & Equity,3270000,3030000,3220000,3220000,- -,- -,257672,479825,1763865,433311,294173,9341557,1633277
71,SEC Link,- -,- -,- -,- -,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1343465/000149315216006765/0001493152-16-006765-index.htm,https://www.sec.gov/Archives/edgar/data/1343465/000149315217000281/0001493152-17-000281-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1343465/000149315219004904/0001493152-19-004904-index.htm,https://www.sec.gov/Archives/edgar/data/1343465/000149315220009536/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1343465/000149315221008971/0001493152-21-008971-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-2040000,-280000,-360000,-21280000,- -,- -,-256855,-436884,-1859500,-2214366,-1775481,-1189180,-1865420
74,Depreciation and Amortization,230000,230000,230000,- -,- -,- -,16356,16356,18841,79428,88779,56262,27650
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,380000,-20000,-50000,- -,- -,- -,160309,-106912,-172566,124795,-932684,1077935,-2197067
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,386,-10503,- -,227500,-27342,165999,-1537
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-90403,- -,- -,- -,- -
80,Accounts Payable,400000,-20000,-50000,- -,- -,- -,- -,- -,- -,-374214,63159,36029,-77669
81,Other Working Capital,- -,-20000,-70000,-70000,- -,- -,-21994,-944490,-1117056,179998,-2866303,-1788368,-3985435
82,Other Non-Cash Items,1220000,70000,180000,- -,- -,- -,- -,262354,1326455,1187141,1861317,-495027,2710324
83,Cash Provided by Operating Activities,-210000,- -,- -,-21280000,- -,- -,-80190,-265086,-686770,-823002,-758069,-550010,-1324513
84,CAPEX,- -,- -,- -,- -,- -,- -,-1360,-20914,-14290,- -,- -,-6220571,-663007
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-22163,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500,- -,42000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-1360,-20914,-36453,2500,- -,-6178571,-663007
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-6188,-36195,-30985,-210667,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,4288,- -,501233,173000,- -,- -
92,Common Stock Repurchased,160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,21280000,- -,- -,149361,458700,503850,321127,565166,8656255,500000
95,Cash Used/Provided by Financing Activities,160000,- -,- -,21280000,- -,- -,149361,462988,497662,786165,707181,8445588,500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-60000,- -,- -,- -,- -,- -,67811,176988,-225561,-34337,-50888,1717007,-1487520
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,95797,272785,47224,55740,4852,1721858,234338
99,Cash at the Beginning of Period,60000,- -,- -,- -,- -,- -,27986,95797,272785,90077,55740,4851,1721858
100,Free Cash Flow,-210000,- -,- -,-21280000,- -,- -,-81550,-286000,-701060,-823002,-758069,-6770581,-1987520
