,https://roic.ai/company/FVRR,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,52112000,75503000,107073000,189510000,297662000
2,COGS,13362000,15621000,22224000,33188000,51723000
3,Gross Profit,38750000,59882000,84849000,156322000,245939000
4,Gross Profit Ratio,0.7436,0.7931,0.7924,0.8249,0.8262
5,Research and Development Exp.,16074000,26035000,34483000,45719000,79298000
6,General and Administrative Exp.,8427000,20596000,22366000,28034000,52616000
7,Selling and Marketing Exp.,33772000,49720000,62750000,94379000,159365000
8,"Selling, General and Administrative Exp.",42199000,70316000,85116000,122413000,211981000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,58273000,96351000,119599000,168132000,291279000
11,COGS and Expenses,71635000,111972000,141823000,201320000,343002000
12,Interest Income ,493000,408000,1371000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,1090000,2250000,3571000,4338000,6876000
15,EBITDA,-17940000,-33811000,-29808000,-10272000,-57977000
16,EBITDA ratio,-0.3443,-0.4478,-0.2784,-0.0542,-0.1948
17,Operating Income,-19523000,-36469000,-34750000,-11810000,-45340000
18,Operating Income ratio,-0.3746,-0.4830,-0.3245,-0.0623,-0.1523
19,Total Other Income Expenses (Gains),493000,408000,1371000,-2800000,-19513000
20,Income Before Tax,-19030000,-36061000,-33379000,-14610000,-64853000
21,Income Before Tax Ratio,-0.3652,-0.4776,-0.3117,-0.0771,-0.2179
22,Income Tax expense (Gain),294000,- -,160000,200000,159000
23,Net Income,-19324000,-36061000,-33539000,-14810000,-65012000
24,Net Income ratio,-0.3708,-0.4776,-0.3132,-0.0781,-0.2184
25,EPS,-0.75,-1.56,-1.67,-0.46,-1.81
26,EPS Diluted,-0.75,-1.56,-1.67,-0.46,-1.81
27,Weighted Average Shares Outstanding,25644029,23131150,20504000,32323636,35955014
28,Weighted Average Shares Outstanding Diluted,25644029,23131150,20504000,32323636,35955014
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
