,https://roic.ai/company/SAVE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,787257000,700037000,781265000,1071186000,1318388000,1654385000,1931580000,2141463000,2321956000,2647666000,3323034000,3830536000,1810022000,3230775000
2,COGS,472267000,340678000,425858000,592878000,967338000,1159327000,1348766000,1336621000,1473101000,1780638000,2357082000,2666220000,2178036000,2998719000
3,Gross Profit,314990000,359359000,355407000,478308000,351050000,495058000,582814000,804842000,848855000,867028000,965952000,1164316000,-368014000,232056000
4,Gross Profit Ratio,0.4001,0.5133,0.4549,0.4465,0.2663,0.2992,0.3017,0.3758,0.3656,0.3275,0.2907,0.3040,-0.2033,0.0718
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,147015000,208341000,156443000,181742000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,37816000,34067000,41179000,51349000,56668000,67481000,74823000,86576000,96627000,113620000,137001000,153770000,85059000,132499000
8,"Selling, General and Administrative Exp.",184831000,242408000,197622000,233091000,56668000,67481000,74823000,86576000,96627000,113620000,137001000,153770000,85059000,132499000
9,Other Expenses,4236000,5934000,5620000,7760000,127886000,144586000,149675000,206867000,267191000,347820000,379536000,491432000,355186000,530826000
10,Operating Expenses,189067000,248342000,203242000,240851000,184554000,212067000,224498000,293443000,363818000,461440000,516537000,645202000,440245000,663325000
11,COGS and Expenses,661334000,589020000,629100000,833729000,1151892000,1371394000,1573264000,1630064000,1836919000,2242078000,2873619000,3311422000,2618281000,3662044000
12,Interest Income ,1976000,345000,328000,575000,925000,401000,336000,2125000,5276000,8736000,19107000,25133000,6314000,5374000
13,Interest Expense (Gain),40079000,45941000,48822000,21891000,- -,- -,- -,8829000,28949000,43509000,73936000,77948000,106668000,136613000
14,Depreciation and Amortization,4236000,5679000,5620000,7760000,15256000,31947000,46971000,73908000,101136000,140152000,176727000,225264000,278588000,- -
15,EBITDA,77962000,136846000,74627000,152482000,189840000,314357000,399965000,585140000,549545000,537313000,455639000,739638000,-234928000,-383707000
16,EBITDA ratio,0.0990,0.1955,0.0955,0.1423,0.1440,0.1900,0.2071,0.2732,0.2367,0.2029,0.1371,0.1931,-0.1298,-0.1188
17,Operating Income,18291000,111409000,68873000,144382000,173990000,282292000,355263000,509122000,443661000,388791000,350914000,501047000,-507762000,-56874000
18,Operating Income ratio,0.0232,0.1591,0.0882,0.1348,0.1320,0.1706,0.1839,0.2377,0.1911,0.1468,0.1056,0.1308,-0.2805,-0.0176
19,Total Other Income Expenses (Gains),15356000,-26183000,-48688000,-21551000,594000,118000,-2269000,-6719000,-24201000,-35139000,-145938000,-64621000,-112422000,-463446000
20,Income Before Tax,33647000,85226000,20185000,122831000,174584000,282410000,352994000,502403000,419460000,353652000,204976000,436426000,-620184000,-520320000
21,Income Before Tax Ratio,0.0427,0.1217,0.0258,0.1147,0.1324,0.1707,0.1827,0.2346,0.1806,0.1336,0.0617,0.1139,-0.3426,-0.1611
22,Income Tax expense (Gain),388000,1533000,-52296000,46383000,66124000,105492000,127530000,185183000,154581000,-66954000,49227000,101171000,-191484000,-47751000
23,Net Income,33259000,83693000,72481000,76448000,108460000,176918000,225464000,317220000,264879000,420606000,155749000,335255000,-428700000,-472569000
24,Net Income ratio,0.0422,0.1196,0.0928,0.0714,0.0823,0.1069,0.1167,0.1481,0.1141,0.1589,0.0469,0.0875,-0.2368,-0.1463
25,EPS,1.29,3.18,2.77,1.44,1.50,2.44,3.10,4.39,3.77,6.08,2.28,4.90,-5.06,-4.50
26,EPS Diluted,1.29,3.14,2.72,1.43,1.49,2.42,3.08,4.38,3.76,6.06,2.28,4.89,-5.06,-4.50
27,Weighted Average Shares Outstanding,25780070,26348000,26183772,53240898,72386000,72593000,72739000,72208000,70344000,69221000,68249000,68455011,84692000,105000000
28,Weighted Average Shares Outstanding Diluted,25879860,26689000,26689855,53515348,72591000,72999000,73294000,72426000,70508000,69377000,68431000,68455011,84692000,105000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1498710/000149871012000008/0001498710-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871013000034/0001498710-13-000034-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871014000019/save-20131231x10kxmaster.htm,https://www.sec.gov/Archives/edgar/data/1498710/000149871015000015/save-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1498710/000149871016000205/0001498710-16-000205-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871017000044/0001498710-17-000044-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871018000079/0001498710-18-000079-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871019000015/0001498710-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871020000083/0001498710-20-000083-index.html,https://www.sec.gov/Archives/edgar/data/1498710/000149871021000020/0001498710-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1498710/000149871022000088/0001498710-22-000088-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,16229000,86147000,82714000,343328000,416816000,530631000,632784000,803632000,700900000,800849000,1004733000,978957000,1789723000,1333507000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,100155000,100937000,102789000,105321000,106339000,106313000
33,Cash and Short-Term Investments,16229000,86147000,82714000,343328000,416816000,530631000,632784000,803632000,801055000,901786000,1107522000,1084278000,1896062000,1439820000
34,Net Receivables,6006000,8347000,9471000,15425000,22740000,23246000,22685000,28266000,41136000,119167000,47660000,94820000,190400000,128828000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,83743000,69297000,159034000,83955000,107801000,95198000,75672000,194442000,133654000,259307000,190284000,206345000,269518000,273843000
37,Total Current Assets,105978000,163791000,251219000,442708000,547357000,649075000,731141000,1026340000,975845000,1280260000,1345466000,1385443000,2355980000,1842491000
38,PP&E,20840000,18409000,19329000,23210000,28403000,35613000,225375000,844217000,1465222000,2238468000,3116012000,4899857000,5605653000,2335448000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
