,https://roic.ai/company/GPC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2279500000,2394100000,2606200000,2942000000,3161200000,3319400000,3434600000,3668800000,4384300000,4858400000,5261900000,5720500000,6005200000,6614000000,7981700000,8369857000,8220668000,8258927000,8449300000,9097267000,9783050000,10457942000,10843195000,11015263000,10057512000,11207589000,12458877000,13013868000,14077843000,15341647000,15280044000,15339713000,16308801000,18735073000,19392305000,16537433000,18870510000
2,COGS,1575000000,1653000000,1796200000,2029200000,2170300000,2266000000,2343700000,2497600000,2988600000,3306300000,3611500000,3952500000,4119800000,4542200000,5497600000,5672057000,5699174000,5704749000,5826684000,6267544000,6718964000,7182447000,7625972000,7742773000,7047750000,7954645000,8852837000,9235777000,9857923000,10747886000,10724192000,10740106000,11402403000,12751286000,13076036000,10882592000,12236374000
3,Gross Profit,704500000,741100000,810000000,912800000,990900000,1053400000,1090900000,1171200000,1395700000,1552100000,1650400000,1768000000,1885400000,2071800000,2484100000,2697800000,2521494000,2554178000,2622616000,2829723000,3064086000,3275495000,3217223000,3272490000,3009762000,3252944000,3606040000,3778091000,4219920000,4593761000,4555852000,4599607000,4906398000,5983787000,6316269000,5654841000,6634136000
4,Gross Profit Ratio,0.3091,0.3096,0.3108,0.3103,0.3135,0.3173,0.3176,0.3192,0.3183,0.3195,0.3137,0.3091,0.3140,0.3132,0.3112,0.3223,0.3067,0.3093,0.3104,0.3111,0.3132,0.3132,0.2967,0.2971,0.2993,0.2902,0.2894,0.2903,0.2998,0.2994,0.2982,0.2998,0.3008,0.3194,0.3257,0.3419,0.3516
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1039800000,1096400000,1172300000,1261000000,1413400000,1766100000,1958747000,1951559000,1948442000,2050873000,2193804000,2355022000,2405354000,2291669000,2383712000,2219935000,2366667000,2594372000,2648430000,3019036000,3314030000,3277390000,3370833000,3705136000,4615290000,4934167000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",451200000,480600000,526400000,598000000,644500000,691400000,726100000,786100000,935400000,1039800000,1096400000,1172300000,1261000000,1413400000,1766100000,1958747000,1951559000,1948442000,2050873000,2193804000,2355022000,2405354000,2291669000,2383712000,2219935000,2366667000,2594372000,2648430000,3019036000,3314030000,3277390000,3370833000,3705136000,4615290000,4934167000,4386739000,5162506000
9,Other Expenses,17200000,19900000,21600000,24300000,24600000,28800000,29800000,31100000,34400000,37400000,43200000,50400000,58900000,69300000,90000000,92303000,- -,- -,- -,- -,- -,73423000,87702000,88698000,118874000,99929000,102184000,106430000,142648000,155505000,154048000,159002000,181623000,258782000,285193000,296419000,308710000
10,Operating Expenses,468400000,500500000,548000000,622300000,669100000,720200000,755900000,817200000,969800000,1077200000,1139600000,1222700000,1319900000,1482700000,1856100000,2051050000,1951559000,1948442000,2050873000,2193804000,2355022000,2478777000,2379371000,2472410000,2338809000,2466596000,2696556000,2754860000,3161684000,3469535000,3431438000,3529835000,3886759000,4874072000,5219360000,4683158000,5471216000
11,COGS and Expenses,2043400000,2153500000,2344200000,2651500000,2839400000,2986200000,3099600000,3314800000,3958400000,4383500000,4751100000,5175200000,5439700000,6024900000,7353700000,7723107000,7650733000,7653191000,7877557000,8461348000,9073986000,9661224000,10005343000,10215183000,9386559000,10421241000,11549393000,11990637000,13019607000,14217421000,14155630000,14269941000,15289162000,17625358000,18295396000,15565750000,17707590000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1097000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27885000,28061000,27036000,20482000,26971000,25088000,21662000,21084000,41486000,101925000,95711000,93713000,62150000
14,Depreciation and Amortization,- -,- -,- -,- -,24600000,28800000,29800000,31100000,34400000,37400000,43200000,50400000,58900000,69300000,90000000,92303000,85793000,70151000,69013000,62207000,65529000,73423000,87702000,88698000,90411000,89332000,88936000,98383000,133957000,148313000,141675000,147487000,167691000,241635000,270288000,272842000,290971000
15,EBITDA,242000000,240600000,262100000,290500000,346500000,362000000,364900000,385100000,459200000,512200000,554000000,595700000,624500000,658400000,718000000,739053000,581806000,280797000,621215000,698126000,774593000,844339000,904447000,857166000,762461000,879176000,1006778000,1137797000,1205232000,1291140000,1287018000,1242911000,1218445000,1419172000,1196299000,553426000,1553467000
16,EBITDA ratio,0.1062,0.1005,0.1006,0.0987,0.1096,0.1091,0.1062,0.1050,0.1047,0.1054,0.1053,0.1041,0.1040,0.0995,0.0900,0.0883,0.0708,0.0340,0.0735,0.0767,0.0792,0.0807,0.0834,0.0778,0.0758,0.0784,0.0808,0.0874,0.0856,0.0842,0.0842,0.0810,0.0747,0.0757,0.0617,0.0335,0.0823
17,Operating Income,236100000,240600000,262000000,290500000,321800000,333200000,335000000,354000000,425900000,474900000,510800000,545300000,565500000,589100000,628000000,646750000,569935000,605736000,571743000,635919000,709064000,796718000,837852000,800080000,670953000,786348000,909484000,1023231000,1058236000,1124226000,1124414000,1069772000,1019639000,1109715000,1096909000,971683000,898790000
18,Operating Income ratio,0.1036,0.1005,0.1005,0.0987,0.1018,0.1004,0.0975,0.0965,0.0971,0.0977,0.0971,0.0953,0.0942,0.0891,0.0787,0.0773,0.0693,0.0733,0.0677,0.0699,0.0725,0.0762,0.0773,0.0726,0.0667,0.0702,0.0730,0.0786,0.0752,0.0733,0.0736,0.0697,0.0625,0.0592,0.0566,0.0588,0.0476
19,Total Other Income Expenses (Gains),100000,- -,100000,- -,100000,- -,100000,- -,- -,-100000,- -,- -,100000,- -,- -,- -,-73922000,- -,- -,- -,- -,-25802000,-21107000,-31612000,-26788000,-24565000,-18678000,-4299000,-13932000,-6487000,-733000,4568000,-10371000,-34103000,-266609000,-592315000,301556000
20,Income Before Tax,236200000,240600000,262100000,290500000,321900000,333200000,335100000,354000000,425900000,474800000,510800000,545300000,565600000,589100000,628000000,646750000,496013000,605736000,571743000,635919000,709064000,770916000,816745000,768468000,644165000,761783000,890806000,1018932000,1044304000,1117739000,1123681000,1074340000,1009268000,1075612000,830300000,379368000,1200346000
21,Income Before Tax Ratio,0.1036,0.1005,0.1006,0.0987,0.1018,0.1004,0.0976,0.0965,0.0971,0.0977,0.0971,0.0953,0.0942,0.0891,0.0787,0.0773,0.0603,0.0733,0.0677,0.0699,0.0725,0.0737,0.0753,0.0698,0.0640,0.0680,0.0715,0.0783,0.0742,0.0729,0.0735,0.0700,0.0619,0.0574,0.0428,0.0229,0.0636
22,Income Tax expense (Gain),115800000,119000000,113800000,109100000,122400000,126600000,127400000,134200000,167000000,186300000,201600000,215200000,223200000,233300000,250400000,261427000,198866000,238236000,218101000,240367000,271630000,295511000,310406000,293051000,244590000,286272000,325690000,370891000,359345000,406453000,418009000,387100000,392511000,265138000,209215000,215973000,301556000
23,Net Income,126200000,121600000,148300000,181400000,199500000,206600000,207700000,219800000,257800000,288500000,309200000,330100000,342400000,355800000,377600000,385323000,297147000,-27590000,334101000,395552000,437434000,475405000,506339000,475417000,399575000,475511000,565116000,648041000,684959000,711286000,705672000,687240000,616757000,810474000,621085000,-29102000,898790000
24,Net Income ratio,0.0554,0.0508,0.0569,0.0617,0.0631,0.0622,0.0605,0.0599,0.0588,0.0594,0.0588,0.0577,0.0570,0.0538,0.0473,0.0460,0.0361,-0.0033,0.0395,0.0435,0.0447,0.0455,0.0467,0.0432,0.0397,0.0424,0.0454,0.0498,0.0487,0.0464,0.0462,0.0448,0.0378,0.0433,0.0320,-0.0018,0.0476
25,EPS,0.69,0.67,0.83,1.05,1.15,1.19,1.21,1.28,1.38,1.55,1.68,1.82,1.91,1.98,2.11,2.20,1.72,-0.16,1.92,2.26,2.51,2.77,2.99,2.93,2.51,3.01,3.61,4.17,4.43,4.64,4.65,4.61,4.19,5.53,4.26,-0.20,6.27
26,EPS Diluted,0.69,0.67,0.83,1.05,1.15,1.19,1.21,1.28,1.38,1.55,1.68,1.82,1.90,1.98,2.11,2.20,1.71,-0.16,1.91,2.25,2.50,2.76,2.98,2.92,2.50,3.00,3.58,4.14,4.40,4.61,4.63,4.59,4.18,5.50,4.24,-0.20,6.23
27,Weighted Average Shares Outstanding,182898551,181492537,178674699,172761905,173478261,173613445,171652893,171718750,186811594,186061500,183922500,181567500,179592000,179416000,178746000,175009000,172765000,174369000,173995000,174687000,174054000,171576000,169129000,162351000,159410000,158032000,156656000,155413000,154636000,153299000,151667000,149051000,147140000,146657000,145736000,144474000,143435000
28,Weighted Average Shares Outstanding Diluted,182898551,181492537,178674699,172761905,173478261,173613445,171652893,171718750,186811594,186306306,184083333,183100775,180165000,180081000,179238000,175327000,173633000,175104000,174480000,175660000,175007000,172486000,170135000,162986000,159707000,158461000,157660000,156420000,155714000,154375000,152496000,149804000,147701000,147241000,146417000,145115000,144221000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40987/000095014495000710/0000950144-95-000710-index.html,https://www.sec.gov/Archives/edgar/data/40987/000095014496001008/0000950144-96-001008-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40987/000095014401003447/0000950144-01-003447-index.html,https://www.sec.gov/Archives/edgar/data/40987/000095014402002108/0000950144-02-002108-index.html,https://www.sec.gov/Archives/edgar/data/40987/000095014403003508/0000950144-03-003508-index.htm,- -,https://www.sec.gov/Archives/edgar/data/40987/000095014405002175/0000950144-05-002175-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000095014406001772/0000950144-06-001772-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000095014407001699/0000950144-07-001699-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000095014408001503/0000950144-08-001503-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000095014409001684/0000950144-09-001684-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000095012310017728/0000950123-10-017728-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000095012311018264/0000950123-11-018264-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000119312512079802/0001193125-12-079802-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000119312513076665/0001193125-13-076665-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000119312514071170/0001193125-14-071170-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000119312515064165/0001193125-15-064165-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000119312516479829/0001193125-16-479829-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000004098717000007/0000040987-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000004098718000002/0000040987-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000004098719000015/0000040987-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000004098720000010/0000040987-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000004098721000009/0000040987-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000004098722000013/0000040987-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
