,https://roic.ai/company/HEXO,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,4096841,4933952,47541000,80784000,123769000
2,COGS,- -,- -,- -,- -,-2351354,-1466478,20616000,138759000,74971000
3,Gross Profit,- -,- -,- -,- -,6448195,6400430,26925000,-57975000,48798000
4,Gross Profit Ratio,- -,- -,- -,- -,1.5739,1.2972,0.5664,-0.7177,0.3943
5,Research and Development Exp.,- -,- -,- -,- -,86378,- -,2822000,4639000,3835000
6,General and Administrative Exp.,- -,29290,215548,78057,4267215,14370951,73955000,78583000,69918000
7,Selling and Marketing Exp.,- -,- -,- -,- -,2986424,8335083,31191000,12474000,10348000
8,"Selling, General and Administrative Exp.",- -,29290,215548,78057,7253639,22706034,105146000,91057000,80266000
9,Other Expenses,- -,- -,- -,- -,591652,1660952,3514000,10011000,8147000
10,Operating Expenses,- -,29290,215548,78057,7931669,24366986,111482000,105707000,92248000
11,COGS and Expenses,- -,29290,215548,78057,5580315,22900508,132098000,244466000,167219000
12,Interest Income ,- -,- -,- -,- -,92158,2115351,5187000,1902000,1601000
13,Interest Expense (Gain),- -,- -,- -,- -,522618,1529408,469000,10043000,32124000
14,Depreciation and Amortization,- -,- -,- -,- -,591652,1660952,3631000,68250000,16866000
15,EBITDA,- -,-29290,-215548,-78057,-11303300,-20159439,-81304000,-474219000,-66169000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-2.7590,-4.0859,-1.7102,-5.8702,-0.5346
17,Operating Income,- -,-29290,-215548,-78057,-1483474,-17966556,-84557000,-476551000,-85495000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-0.3621,-3.6414,-1.7786,-5.8991,-0.6908
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-10934096,-5383243,-847000,-75961000,-29664000
20,Income Before Tax,- -,-29290,-215548,-78057,-12417570,-23349799,-85404000,-552512000,-115159000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-3.0310,-4.7325,-1.7964,-6.8394,-0.9304
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-3840000,-6023000,-397000
23,Net Income,- -,-29290,-215548,-78057,-12417570,-23349799,-81564000,-546489000,-114762000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-3.0310,-4.7325,-1.7157,-6.7648,-0.9272
25,EPS,- -,-0.07,-0.48,-0.18,-0.84,-0.68,-1.52,-4.53,-0.89
26,EPS Diluted,- -,-0.07,-0.48,-0.18,-0.84,-0.68,-1.52,-4.53,-0.89
27,Weighted Average Shares Outstanding,- -,444444,425266,444444,14639030,33542877,53185138,120616437,127300903
28,Weighted Average Shares Outstanding Diluted,- -,444444,425266,444444,14639030,33542877,53185138,120616437,127300903
29,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1690947/000106299319004069/0001062993-19-004069-index.html,- -,https://www.sec.gov/Archives/edgar/data/1690947/000119312521282506/0001193125-21-282506-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,475458,922279,809071,38452823,39341688,113568000,184173000,67462000
32,Short-Term Investments,- -,- -,- -,- -,2871550,205446830,25937000,- -,- -
33,Cash and Short-Term Investments,- -,475458,922279,809071,41324373,244788518,139505000,184173000,67462000
34,Net Receivables,- -,- -,- -,- -,846990,14881061,48294000,36159000,50970000
35,Inventory,- -,- -,- -,- -,5193425,12746583,93642000,72504000,149611000
36,Other Current Assets,- -,16783,- -,2704,200677,4203693,33112000,12867000,425515000
37,Total Current Assets,- -,492241,922279,811775,47565465,276619855,314553000,305703000,693558000
38,PP&E,- -,- -,- -,- -,5849695,54333051,258793000,285465000,393902000
39,Goodwill,- -,- -,- -,- -,- -,- -,111877000,- -,88189000
40,Intangible Assets,- -,- -,- -,- -,2763764,4044527,128149000,17028000,50608000
41,Intangible Assets,- -,- -,- -,- -,2763764,4044527,240026000,17028000,138797000
42,Investments,- -,- -,- -,- -,- -,- -,67126000,79515000,77171000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,542000,5257000,8375000
45,Total Non-Current Assets,- -,- -,- -,- -,8613459,58377578,566487000,387265000,618245000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,492241,922279,811775,56178924,334997433,881040000,692968000,1311803000
48,Accounts Payable,- -,- -,- -,- -,1672406,8994789,45581000,32451000,63557000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,3117000,34702000,422994000
50,Tax Payable,- -,- -,- -,- -,- -,- -,3494000,7121000,6591000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,4763000,4763000
52,Other Current Liabilities,- -,21531,44005,11558,1355587,3129769,3987000,10571000,12324000
53,Total Current Liabilities,- -,21531,44005,11558,3027993,12124558,52685000,82487000,503638000
54,Long-Term Debt,- -,- -,- -,- -,20711441,- -,30257000,80174000,75244000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,20396000,- -,136000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,946000,-26468000,520000
58,Total Non-Current Liabilities,- -,- -,- -,- -,20711441,- -,51599000,53706000,75900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,29116000,43885000
61,Total Liabilities,- -,21531,44005,11558,23739434,12124558,104284000,136193000,579538000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,500000,972272,972272,45159336,347232724,799706000,1023788000,1267967000
64,Retained Earnings,- -,-29290,-244838,-322895,-19784568,-43134367,-124698000,-659231000,-773993000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-500000,-1382200,-7954000,161363000,1152000
66,Other Total Stockholders Equity,- -,- -,150840,150840,7564722,20156718,108702000,27377000,235152000
67,Total Stockholders Equity,- -,470710,878274,800217,32439490,322872875,775756000,553297000,730278000
68,Total Liabilities And Stockholders Equity,- -,492241,922279,811775,56178924,334997433,880040000,689490000,1309816000
69,Minority Interest,- -,- -,- -,- -,- -,- -,1000000,3478000,1987000
70,Total Liabilities & Equity,- -,492241,922279,811775,56178924,334997433,881040000,692968000,1311803000
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1690947/000106299319004069/0001062993-19-004069-index.html,- -,https://www.sec.gov/Archives/edgar/data/1690947/000119312521282506/0001193125-21-282506-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,- -,-29290,-215548,-78057,-12417570,-23349799,-81564000,-546489000,-114762000
74,Depreciation and Amortization,- -,- -,- -,- -,591652,1660952,3631000,68250000,16866000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-3840000,-6023000,-397000
76,Stock Based Compensation,- -,- -,119226,- -,658620,4996513,28944000,25790000,14859000
77,Change in Working Capital,- -,17968,26037,-35151,1216755,-7213106,-71767000,-56549000,431000
78,Accounts Receivable,- -,- -,- -,- -,692158,-292389,-17845000,267000,- -
79,Inventory,- -,- -,- -,- -,1121828,-2502567,-90748000,-71999000,1139000
80,Accounts Payable,- -,21531,22474,-32447,75034,3399059,6630000,6623000,- -
81,Other Working Capital,- -,- -,- -,- -,-512221,- -,946000,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,4639496,1720926,-3840000,420467000,83003000
83,Cash Provided by Operating Activities,- -,-11322,-70285,-113208,-5311047,-22184514,-128436000,-94554000,- -
84,CAPEX,- -,- -,- -,- -,-3467602,-47501747,-141044000,-109896000,-32340000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,35939000,-30494000,- -
86,Purchases of Investments,- -,- -,- -,- -,-2871550,-202575280,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,119810000,33291000,- -
88,Other Investing Activites,- -,- -,- -,- -,-361683,-11780244,-25360000,23199000,-421611000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-6339152,-260077027,-7645000,-83044000,-451615000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-7841000,- -
91,Common Stock Issued,- -,500000,600000,- -,21158434,149500000,- -,196843000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-13220,-82894,- -,27013134,133650406,150607000,59201000,377972000
95,Cash Used/Provided by Financing Activities,- -,486780,517106,- -,48171568,283150406,150607000,248203000,377972000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,486780,446821,-113208,36521369,888865,14526000,70605000,377972000
98,Cash at the End of Period,- -,475458,922279,809071,38452823,39341688,113568000,184173000,- -
99,Cash at the Beginning of Period,- -,- -,475458,922279,1931454,38452823,99042000,113568000,184173000
100,Free Cash Flow,- -,-11322,-70285,-113208,-8778649,-69686261,-269480000,-204450000,- -
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1690947/000106299319004069/0001062993-19-004069-index.html,- -,https://www.sec.gov/Archives/edgar/data/1690947/000119312521282506/0001193125-21-282506-index.htm
102,Forex Rate,undefined,0.8927,0.7509,0.7616,0.8013,0.7687,0.758,0.7453,0.8017
